Rk,Player,G,Season,Age,Team,PLAY_G,PLAY_GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PLAY_PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
350,Earl Clark,5,2011-12,24,ORL,5,0,17.6,1.6,3.6,1.6,3.6,0.0,0.0,0.8,1.4,1.6,5.0,6.6,0.2,0.4,1.0,0.8,1.2,4.0,.444,.444,,.571,.474,.444,F,clarkea01
351,Earl Clark,4,2012-13,25,LAL,4,1,20.5,1.8,4.8,1.8,3.8,0.0,1.0,0.0,0.0,0.5,2.5,3.0,0.3,0.3,0.3,1.5,1.0,3.5,.368,.467,.000,,.368,.368,F,clarkea01
352,Gary Clark,5,2019-20,25,ORL,5,5,28.8,2.2,6.6,0.0,0.2,2.2,6.4,0.8,1.0,0.8,4.8,5.6,1.4,1.0,0.4,0.4,1.4,7.4,.333,.000,.344,.800,.526,.500,F,clarkga01
353,Ian Clark,16,2015-16,24,GSW,16,0,9.6,1.6,3.3,1.3,2.2,0.4,1.1,0.5,0.6,0.1,0.9,1.1,1.0,0.5,0.0,0.6,1.1,4.1,.491,.571,.333,.800,.575,.547,G,clarkia01
354,Ian Clark,16,2016-17,25,GSW,16,0,13.7,2.5,4.9,1.7,2.7,0.8,2.3,1.0,1.1,0.3,1.4,1.6,0.7,0.4,0.0,0.7,1.1,6.8,.506,.628,.361,.941,.630,.589,G,clarkia01
355,Ian Clark,9,2017-18,26,NOP,9,0,21.1,3.1,7.3,2.0,4.2,1.1,3.1,0.4,0.4,0.2,0.9,1.1,1.2,0.9,0.2,1.0,2.2,7.8,.424,.474,.357,1.000,.517,.500,G,clarkia01
356,Brandon Clarke,12,2021-22,25,MEM,12,0,24.7,4.7,7.6,4.7,7.5,0.0,0.1,3.0,4.5,3.1,3.8,6.9,2.0,0.8,0.8,1.0,1.9,12.3,.615,.622,.000,.667,.645,.615,F,clarkbr01
357,Jordan Clarkson,19,2017-18,25,CLE,19,0,15.1,1.9,6.5,1.4,4.1,0.6,2.4,0.3,0.3,0.5,1.2,1.7,0.7,0.4,0.2,0.7,1.1,4.7,.301,.338,.239,.833,.358,.346,G,clarkjo01
358,Jordan Clarkson,7,2019-20,27,UTA,7,0,28.6,6.4,13.9,4.0,6.9,2.4,7.0,1.4,1.4,0.3,3.1,3.4,2.1,0.9,0.0,1.0,2.1,16.7,.464,.583,.347,1.000,.577,.552,G,clarkjo01
359,Jordan Clarkson,11,2020-21,28,UTA,11,0,27.1,6.1,15.0,3.0,6.2,3.1,8.8,2.3,2.4,0.5,2.5,3.1,1.5,0.6,0.3,2.1,1.4,17.5,.406,.485,.351,.962,.547,.509,G,clarkjo01
360,Jordan Clarkson,6,2021-22,29,UTA,6,0,28.3,6.7,12.2,5.2,8.2,1.5,4.0,2.7,3.0,0.8,2.3,3.2,1.3,0.5,0.2,1.7,2.8,17.5,.548,.633,.375,.889,.649,.610,G,clarkjo01
361,Nic Claxton,12,2020-21,21,BRK,12,0,10.8,1.2,2.4,1.2,2.4,0.0,0.0,0.2,0.3,1.2,1.6,2.8,0.6,0.3,1.0,0.3,1.7,2.5,.483,.483,,.667,.495,.483,C,claxtni01
362,Nic Claxton,4,2021-22,22,BRK,4,0,24.5,4.8,6.0,4.8,6.0,0.0,0.0,1.0,5.5,1.8,4.5,6.3,1.5,1.3,2.3,0.5,1.5,10.5,.792,.792,,.182,.624,.792,C,claxtni01
363,Amir Coffey,10,2020-21,23,LAC,10,0,1.6,0.3,0.4,0.2,0.3,0.1,0.1,0.0,0.1,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.0,0.7,.750,.667,1.000,.000,.788,.875,G,coffeam01
364,Norris Cole,19,2011-12,23,MIA,19,0,8.9,0.6,1.9,0.5,1.3,0.2,0.6,0.4,0.5,0.1,0.5,0.5,0.6,0.4,0.0,0.3,1.3,1.8,.324,.360,.250,.778,.415,.365,G,coleno01
365,Norris Cole,21,2012-13,24,MIA,21,0,19.9,2.3,4.9,1.5,3.3,0.8,1.5,0.7,0.9,0.3,1.6,1.9,2.0,0.7,0.1,1.1,1.9,6.1,.480,.457,.531,.737,.584,.564,G,coleno01
366,Norris Cole,20,2013-14,25,MIA,20,0,20.2,1.6,3.9,0.9,1.9,0.8,2.0,0.7,0.8,0.1,1.1,1.1,1.8,0.5,0.1,1.0,1.7,4.6,.410,.447,.375,.867,.544,.506,G,coleno01
367,Norris Cole,4,2014-15,26,NOP,4,0,26.5,3.8,9.0,3.0,5.5,0.8,3.5,0.5,0.8,0.3,1.5,1.8,1.8,0.0,0.3,2.0,3.8,8.8,.417,.545,.214,.667,.469,.458,G,coleno01
368,Norris Cole,4,2016-17,28,OKC,4,0,6.3,0.5,2.0,0.3,1.0,0.3,1.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.3,0.5,1.0,1.3,.250,.250,.250,,.313,.313,G,coleno01
369,Jason Collins,5,2011-12,33,ATL,5,4,17.0,1.2,2.2,1.2,2.2,0.0,0.0,0.0,0.0,0.8,1.6,2.4,0.0,0.2,0.0,2.0,3.2,2.4,.545,.545,,,.545,.545,C,collija04
370,John Collins,18,2020-21,23,ATL,18,18,32.0,5.6,10.1,4.4,7.0,1.1,3.1,1.7,2.0,2.0,6.7,8.7,0.9,0.4,0.6,1.3,3.3,13.9,.549,.635,.357,.833,.632,.604,F,collijo01
371,John Collins,5,2021-22,24,ATL,5,4,24.4,3.8,7.8,3.0,5.6,0.8,2.2,1.0,2.0,0.4,4.2,4.6,1.2,0.4,0.2,1.0,2.4,9.4,.487,.536,.364,.500,.541,.538,F,collijo01
372,Zach Collins,4,2017-18,20,POR,4,0,17.5,2.8,7.5,2.0,4.0,0.8,3.5,0.8,1.0,0.8,2.3,3.0,1.5,0.8,0.5,0.5,2.5,7.0,.367,.500,.214,.750,.441,.417,C-F,colliza01
373,Zach Collins,16,2018-19,21,POR,16,0,17.2,2.6,5.1,2.1,3.8,0.4,1.3,1.3,1.6,1.0,2.6,3.6,0.9,0.4,1.4,1.3,3.4,6.8,.506,.567,.333,.800,.592,.549,C-F,colliza01
374,Darren Collison,11,2011-12,24,IND,11,0,18.6,3.3,6.4,2.9,5.4,0.4,1.0,1.8,2.1,0.3,1.0,1.3,3.0,1.3,0.0,1.0,1.0,8.7,.514,.542,.364,.870,.599,.543,G,collida01
375,Darren Collison,13,2013-14,26,LAC,13,0,19.2,2.7,6.9,2.6,6.0,0.1,0.9,3.0,3.5,0.8,1.3,2.1,2.4,0.5,0.1,0.9,1.3,8.5,.389,.436,.083,.867,.501,.394,G,collida01
376,Darren Collison,7,2017-18,30,IND,7,7,30.6,4.4,9.7,3.3,6.4,1.1,3.3,1.3,1.7,0.1,2.9,3.0,4.7,1.0,0.0,1.3,1.0,11.3,.456,.511,.348,.750,.539,.515,G,collida01
377,Darren Collison,4,2018-19,31,IND,4,4,29.3,4.8,11.3,3.8,8.5,1.0,2.8,1.5,1.5,1.0,2.0,3.0,4.0,0.5,0.0,2.5,2.8,12.0,.422,.441,.364,1.000,.504,.467,G,collida01
378,Nick Collison,20,2011-12,31,OKC,20,0,16.6,1.7,2.6,1.7,2.6,0.0,0.0,0.2,0.4,1.5,1.9,3.4,1.0,0.6,0.3,0.6,2.6,3.5,.647,.647,,.429,.638,.647,F,collini01
379,Nick Collison,11,2012-13,32,OKC,11,0,16.2,2.0,4.3,2.0,4.3,0.0,0.0,1.0,1.1,2.3,2.4,4.6,1.1,0.5,1.0,0.9,3.4,5.0,.468,.468,,.917,.526,.468,F,collini01
380,Nick Collison,17,2013-14,33,OKC,17,2,10.8,0.7,1.7,0.6,1.4,0.1,0.3,0.4,0.6,0.7,1.5,2.2,0.8,0.2,0.4,0.4,1.6,1.9,.414,.417,.400,.700,.494,.448,F,collini01
381,Nick Collison,9,2015-16,35,OKC,9,0,8.8,0.4,0.7,0.4,0.7,0.0,0.0,0.1,0.2,0.3,0.9,1.2,0.6,0.9,0.0,0.1,1.9,1.0,.667,.667,,.500,.654,.667,F,collini01
382,Mike Conley,7,2011-12,24,MEM,7,7,39.6,4.6,10.9,3.0,7.7,1.6,3.1,3.4,4.6,0.6,2.7,3.3,7.1,0.9,0.0,2.3,2.7,14.1,.421,.389,.500,.750,.550,.493,G,conlemi01
383,Mike Conley,15,2012-13,25,MEM,15,15,38.3,5.5,14.4,4.3,10.1,1.2,4.3,4.7,6.2,0.8,3.9,4.7,7.1,1.7,0.3,2.3,2.3,17.0,.384,.428,.281,.763,.496,.426,G,conlemi01
384,Mike Conley,7,2013-14,26,MEM,7,7,38.1,6.3,14.6,5.9,10.7,0.4,3.9,2.9,3.7,0.7,3.9,4.6,7.9,2.0,0.1,2.1,2.0,15.9,.431,.547,.111,.769,.489,.446,G,conlemi01
385,Mike Conley,8,2014-15,27,MEM,8,8,30.4,5.1,12.0,3.9,7.9,1.3,4.1,2.9,3.5,0.0,1.1,1.1,5.0,1.4,0.0,1.5,1.3,14.4,.427,.492,.303,.821,.531,.479,G,conlemi01
386,Mike Conley,6,2016-17,29,MEM,6,6,37.3,8.3,17.2,5.5,10.8,2.8,6.3,5.2,6.2,0.2,3.2,3.3,7.0,1.7,0.5,2.0,1.8,24.7,.485,.508,.447,.838,.620,.568,G,conlemi01
387,Mike Conley,5,2019-20,32,UTA,5,5,33.0,6.2,12.8,2.6,6.0,3.6,6.8,3.8,4.4,0.6,2.2,2.8,5.2,1.6,0.2,1.0,2.0,19.8,.484,.433,.529,.864,.672,.625,G,conlemi01
388,Mike Conley,6,2020-21,33,UTA,6,6,29.3,4.8,11.3,1.8,5.2,3.0,6.2,2.7,2.7,0.5,3.0,3.5,7.7,0.2,0.5,2.3,2.5,15.3,.426,.355,.486,1.000,.613,.559,G,conlemi01
389,Mike Conley,6,2021-22,34,UTA,6,6,29.0,3.2,9.5,2.3,5.3,0.8,4.2,2.0,2.5,0.3,2.8,3.2,4.8,0.8,0.3,2.2,3.2,9.2,.333,.438,.200,.800,.432,.377,G,conlemi01
390,Pat Connaughton,6,2015-16,23,POR,6,0,1.3,0.5,0.8,0.2,0.3,0.3,0.5,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.3,.600,.500,.667,,.800,.800,G,connapa01
391,Pat Connaughton,4,2017-18,25,POR,4,0,14.8,1.5,3.8,1.0,1.3,0.5,2.5,0.5,0.5,0.5,0.5,1.0,1.5,0.3,0.3,0.3,2.3,4.0,.400,.800,.200,1.000,.504,.467,G,connapa01
392,Pat Connaughton,15,2018-19,26,MIL,15,0,21.6,2.5,5.1,1.5,2.3,1.0,2.8,0.3,0.5,0.7,5.5,6.2,1.4,0.4,0.9,0.5,0.9,6.2,.481,.629,.357,.500,.577,.578,G,connapa01
393,Pat Connaughton,10,2019-20,27,MIL,10,0,17.1,1.5,3.5,0.7,1.2,0.8,2.3,0.2,0.2,0.5,3.4,3.9,1.1,0.2,0.2,0.5,1.2,4.0,.429,.583,.348,1.000,.557,.543,G,connapa01
394,Pat Connaughton,23,2020-21,28,MIL,23,1,23.7,2.4,5.2,0.8,1.0,1.6,4.1,0.5,0.6,1.3,3.1,4.4,0.9,0.4,0.3,0.5,1.7,6.9,.462,.750,.389,.846,.633,.618,G,connapa01
395,Pat Connaughton,12,2021-22,29,MIL,12,0,26.5,3.5,7.3,1.4,2.0,2.1,5.3,0.4,0.4,0.3,4.0,4.3,0.9,0.4,0.3,0.6,1.2,9.5,.477,.708,.391,1.000,.632,.619,G,connapa01
396,Daequan Cook,16,2011-12,24,OKC,16,0,6.8,0.9,2.3,0.4,0.8,0.5,1.5,0.0,0.1,0.0,0.6,0.6,0.3,0.2,0.0,0.0,0.4,2.3,.378,.462,.333,.000,.475,.486,G,cookda02
397,Daequan Cook,6,2012-13,25,CHI,6,0,6.0,0.2,1.7,0.0,0.3,0.2,1.3,0.0,0.0,0.0,0.5,0.5,0.7,0.2,0.0,0.7,1.0,0.5,.100,.000,.125,,.150,.150,G,cookda02
398,Quinn Cook,17,2017-18,24,GSW,17,0,10.3,1.8,3.9,1.4,2.1,0.4,1.8,0.8,1.0,0.1,1.2,1.4,0.6,0.2,0.1,0.3,0.8,4.8,.448,.639,.226,.824,.544,.500,G,cookqu01
399,Quinn Cook,17,2018-19,25,GSW,17,0,11.4,1.6,4.1,1.0,2.1,0.6,2.0,0.2,0.2,0.1,0.9,1.1,0.7,0.2,0.1,0.4,0.8,4.2,.400,.472,.324,1.000,.495,.479,G,cookqu01
400,Quinn Cook,6,2019-20,26,LAL,6,0,4.0,0.8,1.7,0.5,1.0,0.3,0.7,0.2,0.2,0.0,0.2,0.2,0.8,0.0,0.0,0.2,0.2,2.2,.500,.500,.500,1.000,.623,.600,G,cookqu01
401,Chris Copeland,9,2012-13,28,NYK,9,1,10.3,1.3,3.3,0.1,0.8,1.2,2.6,0.2,0.2,0.2,0.8,1.0,0.1,0.6,0.0,0.4,1.0,4.1,.400,.143,.478,1.000,.599,.583,F,copelch01
402,Chris Copeland,12,2013-14,29,IND,12,0,6.8,1.0,2.3,0.5,1.0,0.5,1.3,0.5,0.8,0.1,0.3,0.4,0.1,0.3,0.3,0.4,1.1,3.0,.429,.500,.375,.667,.563,.536,F,copelch01
403,DeMarcus Cousins,8,2018-19,28,GSW,8,5,16.6,2.6,6.6,2.3,5.1,0.4,1.5,2.0,3.1,1.1,3.8,4.9,2.4,0.6,0.8,2.4,3.0,7.6,.396,.439,.250,.640,.477,.425,C-F,couside01
404,DeMarcus Cousins,7,2020-21,30,LAC,7,0,8.3,2.7,6.0,2.1,4.6,0.6,1.4,1.6,2.0,0.9,1.1,2.0,0.7,0.3,0.4,0.7,1.9,7.6,.452,.469,.400,.786,.550,.500,C-F,couside01
405,DeMarcus Cousins,5,2021-22,31,DEN,5,0,11.4,3.8,5.8,3.0,4.6,0.8,1.2,2.2,3.0,0.6,2.8,3.4,1.2,0.6,0.2,1.4,1.8,10.6,.655,.652,.667,.733,.744,.724,C-F,couside01
406,Robert Covington,10,2017-18,27,PHI,10,8,28.1,2.7,8.3,1.2,3.5,1.5,4.8,1.2,1.6,1.2,4.1,5.3,2.5,1.1,0.9,1.1,3.0,8.1,.325,.343,.313,.750,.450,.416,F-C,covinro01
407,Robert Covington,12,2019-20,29,HOU,12,12,31.6,3.9,7.9,1.1,2.3,2.8,5.7,0.5,0.6,0.7,4.3,5.0,1.3,2.5,1.1,1.0,3.8,11.2,.495,.481,.500,.857,.683,.674,F-C,covinro01
408,Robert Covington,6,2020-21,30,POR,6,6,38.0,3.0,6.0,1.2,2.3,1.8,3.7,1.5,1.7,1.5,6.3,7.8,1.2,1.5,1.0,1.3,3.3,9.3,.500,.500,.500,.900,.693,.653,F-C,covinro01
409,Allen Crabbe,11,2015-16,23,POR,11,0,27.5,3.5,6.6,2.1,3.5,1.4,3.2,1.3,1.7,0.5,2.5,2.9,1.4,0.6,0.1,0.5,2.1,9.5,.521,.605,.429,.737,.645,.623,G-F,crabbal01
410,Allen Crabbe,4,2016-17,24,POR,4,0,23.0,2.3,6.0,1.5,2.8,0.8,3.3,0.3,0.8,0.0,3.0,3.0,0.5,0.3,0.0,0.3,2.3,5.5,.375,.545,.231,.333,.434,.438,G-F,crabbal01
411,Torrey Craig,14,2018-19,28,DEN,14,11,23.6,2.4,4.9,1.1,2.4,1.2,2.6,0.6,1.1,1.5,3.6,5.1,0.9,0.5,0.4,0.4,2.7,6.6,.478,.485,.472,.563,.605,.601,G-F,craigto01
412,Torrey Craig,19,2019-20,29,DEN,19,3,19.7,1.7,4.1,1.2,1.9,0.6,2.2,0.5,0.7,0.7,2.6,3.3,0.7,0.4,0.4,0.5,2.3,4.5,.423,.611,.262,.692,.514,.494,G-F,craigto01
413,Torrey Craig,22,2020-21,30,PHO,22,0,12.1,1.5,3.4,0.8,1.7,0.7,1.7,0.4,0.6,0.9,2.0,2.9,0.4,0.0,0.4,0.5,1.5,4.0,.427,.447,.405,.615,.539,.527,G-F,craigto01
414,Torrey Craig,9,2021-22,31,PHO,9,0,7.7,0.9,2.4,0.6,1.3,0.3,1.1,0.1,0.2,0.6,1.1,1.7,0.6,0.4,0.2,0.4,0.7,2.2,.364,.417,.300,.500,.437,.432,G-F,craigto01
415,Jamal Crawford,6,2012-13,32,LAC,6,0,26.8,4.0,10.3,3.0,6.7,1.0,3.7,1.8,1.8,0.3,1.7,2.0,1.7,0.5,0.2,0.7,1.5,10.8,.387,.450,.273,1.000,.486,.435,G,crawfja01
416,Jamal Crawford,13,2013-14,33,LAC,13,0,24.1,5.2,13.2,3.2,7.1,2.1,6.1,3.0,3.4,0.4,1.1,1.5,2.0,0.9,0.2,1.2,1.8,15.5,.398,.446,.342,.886,.531,.477,G,crawfja01
417,Jamal Crawford,14,2014-15,34,LAC,14,0,27.1,4.8,13.3,3.5,8.0,1.3,5.3,1.9,2.1,0.4,1.7,2.1,1.9,0.9,0.2,1.2,2.4,12.7,.360,.438,.243,.867,.447,.409,G,crawfja01
418,Jamal Crawford,6,2015-16,35,LAC,6,1,33.2,6.5,17.2,5.8,13.7,0.7,3.5,3.7,4.2,0.3,1.8,2.2,2.2,1.7,0.0,1.5,1.5,17.3,.379,.427,.190,.880,.456,.398,G,crawfja01
419,Jamal Crawford,7,2016-17,36,LAC,7,0,28.0,5.0,11.9,4.1,8.3,0.9,3.6,1.7,1.7,0.3,1.0,1.3,1.9,0.6,0.1,1.3,1.7,12.6,.422,.500,.240,1.000,.498,.458,G,crawfja01
420,Jamal Crawford,5,2017-18,37,MIN,5,0,24.6,4.2,9.4,2.8,6.0,1.4,3.4,2.0,2.6,0.2,2.4,2.6,2.4,1.0,0.0,1.0,1.2,11.8,.447,.467,.412,.769,.560,.521,G,crawfja01
421,Jordan Crawford,5,2012-13,24,BOS,5,0,11.8,1.4,4.6,0.8,2.2,0.6,2.4,0.2,0.4,0.0,0.6,0.6,0.0,0.4,0.0,0.6,0.6,3.6,.304,.364,.250,.500,.377,.370,G,crawfjo02
422,Jordan Crawford,6,2013-14,25,GSW,6,0,9.5,2.0,5.5,1.7,4.3,0.3,1.2,1.8,2.3,0.7,0.8,1.5,0.3,0.2,0.0,0.8,1.2,6.2,.364,.385,.286,.786,.472,.394,G,crawfjo02
423,Jae Crowder,7,2013-14,23,DAL,7,0,11.6,1.1,2.6,0.7,1.6,0.4,1.0,0.0,0.0,0.6,1.1,1.7,0.3,0.3,0.1,0.4,1.9,2.7,.444,.455,.429,,.528,.528,F,crowdja01
424,Jae Crowder,4,2014-15,24,BOS,4,1,25.0,3.8,7.3,3.0,4.8,0.8,2.5,2.5,3.3,2.0,3.0,5.0,2.0,1.0,0.8,1.3,3.5,10.8,.517,.632,.300,.769,.619,.569,F,crowdja01
425,Jae Crowder,6,2015-16,25,BOS,6,6,32.8,3.3,12.0,1.7,5.2,1.7,6.8,1.2,1.8,0.8,5.7,6.5,2.2,1.5,0.5,1.2,2.8,9.5,.278,.323,.244,.636,.371,.347,F,crowdja01
426,Jae Crowder,18,2016-17,26,BOS,18,18,33.1,4.8,11.1,3.1,6.2,1.7,4.9,2.2,2.7,1.1,5.3,6.4,2.7,1.1,0.3,0.7,2.9,13.6,.435,.500,.352,.833,.554,.513,F,crowdja01
427,Jae Crowder,11,2017-18,27,UTA,11,2,29.4,3.2,9.8,1.2,3.8,2.0,6.0,1.6,2.5,0.4,4.7,5.1,1.7,1.4,0.2,1.3,2.3,10.0,.324,.310,.333,.643,.457,.426,F,crowdja01
428,Jae Crowder,5,2018-19,28,UTA,5,3,26.0,3.4,9.2,1.6,3.2,1.8,6.0,2.8,3.8,0.8,5.0,5.8,0.8,1.0,0.0,0.2,1.4,11.4,.370,.500,.300,.737,.524,.467,F,crowdja01
429,Jae Crowder,21,2019-20,29,MIA,21,21,31.4,3.9,9.6,1.2,1.9,2.6,7.7,1.7,2.2,0.5,5.0,5.6,1.9,0.7,0.6,0.7,2.6,12.0,.403,.650,.342,.761,.570,.540,F,crowdja01
430,Jae Crowder,22,2020-21,30,PHO,22,22,33.1,3.5,8.4,1.0,1.9,2.5,6.5,1.4,1.6,0.5,5.6,6.1,1.9,0.9,0.8,0.9,3.0,10.8,.413,.524,.380,.886,.594,.560,F,crowdja01
431,Jae Crowder,13,2021-22,31,PHO,13,13,29.5,3.2,8.1,1.8,3.2,1.5,4.8,1.5,2.0,0.6,4.1,4.7,2.4,1.0,0.5,1.5,3.6,9.4,.400,.548,.302,.731,.524,.490,F,crowdja01
432,Dante Cunningham,7,2011-12,24,MEM,7,0,7.0,0.6,1.6,0.6,1.6,0.0,0.0,0.0,0.0,0.9,0.7,1.6,0.0,0.1,0.3,0.1,0.4,1.1,.364,.364,,,.364,.364,F,cunnida01
433,Dante Cunningham,4,2014-15,27,NOP,4,0,18.8,2.3,2.8,2.3,2.8,0.0,0.0,0.8,0.8,1.0,3.5,4.5,0.5,0.8,1.0,0.0,1.8,5.3,.818,.818,,1.000,.852,.818,F,cunnida01
434,Dante Cunningham,5,2018-19,31,SAS,5,0,2.6,0.4,0.6,0.0,0.2,0.4,0.4,0.0,0.0,0.4,0.8,1.2,0.0,0.0,0.0,0.0,0.0,1.2,.667,.000,1.000,,1.000,1.000,F,cunnida01
435,Seth Curry,16,2018-19,28,POR,16,0,20.4,1.9,5.1,0.6,1.9,1.3,3.3,0.6,0.7,0.3,1.3,1.6,0.8,0.8,0.3,0.4,1.7,5.6,.366,.300,.404,.818,.518,.494,G,curryse01
436,Seth Curry,6,2019-20,29,DAL,6,0,28.8,5.2,8.8,3.5,5.3,1.7,3.5,0.8,0.8,0.3,1.5,1.8,1.3,1.0,0.0,1.3,2.3,12.8,.585,.656,.476,1.000,.697,.679,G,curryse01
437,Seth Curry,12,2020-21,30,PHI,12,12,31.8,7.1,12.3,3.7,5.5,3.4,6.8,1.3,1.6,0.3,2.0,2.3,2.3,0.8,0.3,0.8,2.8,18.8,.578,.667,.506,.789,.727,.718,G,curryse01
438,Seth Curry,4,2021-22,31,BRK,4,4,33.0,5.5,9.8,2.5,4.0,3.0,5.8,0.5,0.8,0.5,2.0,2.5,3.0,0.3,0.8,0.8,3.8,14.5,.564,.625,.522,.667,.719,.718,G,curryse01
439,Stephen Curry,12,2012-13,24,GSW,12,12,41.4,8.5,19.6,5.0,10.8,3.5,8.8,2.9,3.2,0.4,3.4,3.8,8.1,1.7,0.2,3.3,2.9,23.4,.434,.465,.396,.921,.558,.523,G,curryst01
440,Stephen Curry,7,2013-14,25,GSW,7,7,42.3,7.3,16.6,4.1,8.4,3.1,8.1,5.3,6.0,0.6,3.0,3.6,8.4,1.7,0.1,3.7,2.6,23.0,.440,.492,.386,.881,.599,.534,G,curryst01
441,Stephen Curry,21,2014-15,26,GSW,21,21,39.3,9.5,20.9,4.9,9.9,4.7,11.0,4.6,5.5,1.0,4.0,5.0,6.4,1.9,0.1,3.9,2.2,28.3,.456,.493,.422,.835,.607,.567,G,curryst01
442,Stephen Curry,18,2015-16,27,GSW,18,17,34.1,8.2,18.8,3.8,7.8,4.4,11.0,4.2,4.6,0.8,4.7,5.5,5.2,1.4,0.3,4.2,2.2,25.1,.438,.486,.404,.916,.603,.556,G,curryst01
443,Stephen Curry,17,2016-17,28,GSW,17,17,35.4,8.9,18.4,4.6,8.2,4.2,10.1,6.1,6.7,1.3,4.9,6.2,6.7,2.0,0.2,3.4,2.2,28.1,.484,.564,.419,.904,.659,.599,G,curryst01
444,Stephen Curry,15,2017-18,29,GSW,15,14,37.0,9.1,20.3,4.9,9.5,4.3,10.8,3.0,3.1,0.6,5.5,6.1,5.4,1.7,0.7,2.9,2.5,25.5,.451,.514,.395,.957,.590,.556,G,curryst01
445,Stephen Curry,22,2018-19,30,GSW,22,22,38.5,8.6,19.6,4.5,8.5,4.2,11.1,6.7,7.1,0.8,5.2,6.0,5.7,1.1,0.2,3.0,3.1,28.2,.441,.524,.377,.943,.620,.548,G,curryst01
446,Stephen Curry,22,2021-22,33,GSW,22,18,34.7,9.2,20.0,5.0,9.6,4.1,10.4,4.9,5.9,0.5,4.7,5.2,5.9,1.3,0.4,2.6,2.7,27.4,.459,.526,.397,.829,.606,.563,G,curryst01
447,Samuel Dalembert,7,2013-14,32,DAL,7,7,19.3,1.6,3.4,1.6,3.4,0.0,0.0,1.4,2.1,3.3,5.1,8.4,0.0,0.3,1.4,0.6,2.1,4.6,.458,.458,,.667,.523,.458,C,dalemsa01
448,Erick Dampier,4,2011-12,36,ATL,4,0,13.8,1.8,3.3,1.8,3.3,0.0,0.0,0.5,0.8,1.8,1.8,3.5,0.0,0.0,0.3,0.8,1.5,4.0,.538,.538,,.667,.559,.538,C,dampier01
449,Marquis Daniels,15,2011-12,31,BOS,15,0,6.1,0.7,1.3,0.7,1.1,0.0,0.1,0.5,0.7,0.1,0.6,0.7,0.2,0.1,0.1,0.1,0.9,2.0,.579,.647,.000,.800,.641,.579,G-F,daniema01
450,Troy Daniels,4,2013-14,22,HOU,4,0,17.0,2.3,4.3,0.3,0.5,2.0,3.8,1.3,1.3,0.8,1.5,2.3,0.3,0.5,0.0,0.5,2.5,7.8,.529,.500,.533,1.000,.807,.765,G,danietr01
451,Troy Daniels,4,2015-16,24,CHO,4,0,4.5,0.3,2.0,0.3,1.3,0.0,0.8,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,.125,.200,.000,,.125,.125,G,danietr01
452,Troy Daniels,6,2016-17,25,MEM,6,0,11.3,0.5,1.5,0.0,0.0,0.5,1.5,0.0,0.0,0.2,0.7,0.8,0.3,0.3,0.0,0.3,0.2,1.5,.333,,.333,,.500,.500,G,danietr01
453,Troy Daniels,6,2019-20,28,DEN,6,0,5.0,1.0,2.0,0.5,1.0,0.5,1.0,0.2,0.3,0.2,0.3,0.5,0.3,0.0,0.0,0.0,0.3,2.7,.500,.500,.500,.500,.621,.625,G,danietr01
454,Anthony Davis,4,2014-15,21,NOP,4,4,43.0,11.8,21.8,11.8,21.3,0.0,0.5,8.0,9.0,2.3,8.8,11.0,2.0,1.3,3.0,3.3,3.0,31.5,.540,.553,.000,.889,.613,.540,F-C,davisan02
455,Anthony Davis,9,2017-18,24,NOP,9,9,39.8,11.8,22.7,11.1,20.2,0.7,2.4,5.9,7.1,2.7,10.8,13.4,1.7,2.0,2.3,2.6,3.3,30.1,.520,.549,.273,.828,.584,.534,F-C,davisan02
456,Anthony Davis,21,2019-20,26,LAL,21,21,36.6,9.8,17.1,8.7,14.2,1.1,2.9,7.1,8.5,2.6,7.1,9.7,3.5,1.2,1.4,2.5,2.7,27.7,.571,.609,.383,.832,.665,.603,F-C,davisan02
457,Anthony Davis,5,2020-21,27,LAL,5,5,28.8,5.0,12.4,4.6,10.2,0.4,2.2,7.0,8.4,1.4,5.2,6.6,2.6,0.6,1.6,1.2,1.8,17.4,.403,.451,.182,.833,.541,.419,F-C,davisan02
458,Baron Davis,4,2011-12,32,NYK,4,4,24.3,2.8,5.8,1.8,2.3,1.0,3.5,1.3,1.3,0.0,0.8,0.8,3.3,0.0,0.0,3.3,3.8,7.8,.478,.778,.286,1.000,.615,.565,G,davisba01
459,Ed Davis,8,2012-13,23,MEM,8,0,6.0,0.6,1.5,0.6,1.5,0.0,0.0,0.4,0.5,0.5,0.9,1.4,0.0,0.0,0.1,0.3,0.9,1.6,.417,.417,,.750,.472,.417,F,davised01
460,Ed Davis,7,2013-14,24,MEM,7,0,3.6,0.4,1.4,0.4,1.4,0.0,0.0,0.0,0.1,1.1,1.0,2.1,0.0,0.1,0.4,0.3,0.3,0.9,.300,.300,,.000,.287,.300,F,davised01
