Rk,Player,G,Season,Age,Team,PLAY_G,PLAY_GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PLAY_PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
172,Dāvis Bertāns,13,2016-17,24,SAS,13,0,8.6,0.9,2.1,0.3,0.5,0.6,1.5,0.3,0.5,0.4,1.2,1.5,0.2,0.2,0.3,0.5,0.5,2.8,.444,.571,.400,.667,.607,.593,F,bertada01
173,Dāvis Bertāns,5,2017-18,25,SAS,5,0,16.4,0.6,3.6,0.0,0.4,0.6,3.2,1.6,2.2,0.2,2.0,2.2,1.2,0.4,0.0,0.2,2.0,3.4,.167,.000,.188,.727,.372,.250,F,bertada01
174,Dāvis Bertāns,5,2018-19,26,SAS,5,0,15.8,1.0,3.0,0.4,0.8,0.6,2.2,0.6,1.0,0.0,1.6,1.6,1.0,0.0,0.2,0.2,2.0,3.2,.333,.500,.273,.600,.465,.433,F,bertada01
175,Dāvis Bertāns,4,2020-21,28,WAS,4,2,26.5,2.8,6.8,0.8,1.0,2.0,5.8,1.8,1.8,0.0,2.8,2.8,0.3,0.3,0.5,0.3,3.0,9.3,.407,.750,.348,1.000,.615,.556,F,bertada01
176,Dāvis Bertāns,18,2021-22,29,DAL,18,0,10.7,1.2,3.1,0.2,0.2,1.1,2.8,0.6,0.7,0.2,1.2,1.4,0.3,0.4,0.1,0.2,1.4,4.1,.400,.750,.373,.833,.606,.573,F,bertada01
177,Patrick Beverley,6,2012-13,24,HOU,6,5,33.3,4.7,10.8,3.3,6.8,1.3,4.0,1.2,1.2,1.8,3.7,5.5,2.8,1.2,0.7,1.0,4.0,11.8,.431,.488,.333,1.000,.521,.492,G,beverpa01
178,Patrick Beverley,6,2013-14,25,HOU,6,6,33.7,3.2,8.3,2.0,4.7,1.2,3.7,1.2,1.7,2.2,2.0,4.2,1.8,0.5,0.3,0.7,3.5,8.7,.380,.429,.318,.700,.478,.450,G,beverpa01
179,Patrick Beverley,5,2015-16,27,HOU,5,5,25.8,2.0,7.4,1.4,4.6,0.6,2.8,1.2,1.2,0.8,3.6,4.4,2.2,0.4,0.4,0.8,3.4,5.8,.270,.304,.214,1.000,.366,.311,G,beverpa01
180,Patrick Beverley,11,2016-17,28,HOU,11,11,29.5,4.1,9.9,2.2,5.2,1.9,4.7,1.0,1.3,1.9,3.6,5.5,3.0,1.5,0.2,1.6,3.5,11.1,.413,.421,.404,.786,.530,.509,G,beverpa01
181,Patrick Beverley,6,2018-19,30,LAC,6,6,32.5,3.3,7.8,1.2,2.8,2.2,5.0,1.0,1.3,1.3,6.7,8.0,4.7,1.0,1.0,1.7,3.5,9.8,.426,.412,.433,.750,.584,.564,G,beverpa01
