,WS,ORtg,DRtg,PER,TRB%,AST%,STL%,TOV%,USG%,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,PLAY_PTS,Performance1,Performance2
7,0.020185322569933307,0.468842336676789,-0.5461288903286472,-0.4346287494092772,0.7452913323834863,-0.4102072185082602,-0.3059078979823558,1.139986653896797,-1.0962503238971006,0.37145441691438225,1.070448411497441,0.7186150162677792,-0.701573359992622,-0.7781184008935019,-1.013206395847991,-0.360042838270247,-0.5596194176845003,-1.0501801213879856,-1.0524993857283549,-0.8026726663680375,-0.6787576180962378,0.8525572576087385,-0.11921147202033891,0.22559636405773642,-0.5589430495622505,-0.6555575273500794,0.6196479759509388,-0.45379543378270804,1.4717628097771593,-0.929388045899548,1.2820539622313858,1.2413780334529423,0.005058634956978525,-1.5737654475332412,0.5858730351964652,0.9202051202151225,-0.7676411773562598,0,0
8,-0.4507689492827888,-1.1784860904650076,-0.7922983806633552,0.9837617164089949,0.9793692077029985,-0.42128524890708074,1.5570089615525402,0.34134444089712734,1.136557561302236,-0.11523798239226075,1.070448411497441,-1.2495870910178324,-0.9011045277098847,-0.1660614947211625,-0.23861884880452977,0.38864491258582984,0.44687447955833537,-1.1607140858451115,-1.1180611600173795,-0.02594760698545332,0.09868887922194274,0.7075636412000651,-0.21860984048654572,0.09245691424513165,-0.7696367400965695,0.2798960645503587,0.014087707488172905,0.022819702927621404,0.15702830106303103,-0.3008860777599664,0.17049347335510315,-0.25490803843485804,-0.833901121165782,-0.5852193894041314,-0.8144210149269733,-0.8644487415969787,-0.46095585592462124,0,0
9,1.0195273140622967,-0.5733450355965926,-1.530806851667479,1.411866301448671,3.214903644862991,-0.7776285600691432,1.2399167301423448,0.5391034650684737,0.37983187636020127,-0.532402896083669,1.0880661890113026,0.8880220834050383,0.3665052436703737,0.5667413317164673,0.23923615534168513,1.223545192328364,1.1036944406698577,-1.2344033954831957,-1.2491847085954293,0.18588650011888802,1.288853887462121,3.8007607912517636,2.8296067924771484,3.383391007048993,-0.7257422212352531,1.438076702141378,1.4943461415082668,0.5312091820853058,1.7534916330730437,0.23909448641629366,0.9089336577781771,0.3881239924590733,-1.239723514825164,-3.0034659396179646,-0.7402073832607383,0.015702188302557905,0.04251921342565156,0,0
10,-0.07745153866782606,0.06541496676451228,-0.4845865177449702,-0.8545005539674224,-0.49314393820230595,0.4123365386041685,0.7048235896376409,0.8965909318397547,-1.2036866865740568,1.4143667011429029,-0.22445823577134807,-0.5149764453408083,0.28043297524331956,-0.728154571818209,-0.6779371590679854,-0.6731304431736974,-0.7261870696929978,-0.29025911574524293,-0.16195195163576767,-0.6437970860397817,-0.47719741508782076,-0.48138401335105674,-0.1547108893296982,-0.28135769484410345,0.6657140266684792,0.9480772016221003,-0.16253403748013381,-0.15193918053283267,-1.2046610115337442,-0.7257888167839089,-0.24877934262454682,0.8271170135501223,0.1748016553818165,-1.4184610804774396,-0.4687417305868817,-0.11823382276911176,-0.17152158382351257,2,1
11,-0.6805027404304587,-0.3043934556550747,0.5616338161775388,-0.5828187980768574,-0.8279297366243991,1.6890795420682425,-0.028452195498435393,2.1211756584392485,-0.703874042816046,2.665861442217128,0.2776484233736926,-1.2865486329386888,-0.7524342458813366,-0.9405008453882043,-0.8975963141997132,-0.5097803884414626,-0.40368374346377933,-1.0501801213879856,-1.074353310491363,-0.37900445215935524,-0.4484031003723324,-0.6843750763231994,-1.0137967882162051,-0.993141676534565,1.0212596294451428,-0.38828507252138283,-0.8942526952059757,0.1499170727170427,-0.875977384355212,-0.9205359055032158,-0.2195277508120137,-0.7660360629915728,0.6333029174489063,0.45194368797722906,-0.7792671894008631,-1.1253630488794484,-0.36128312645933897,2,1
12,-0.8642897733485946,0.6369370741402376,-0.05378990965923117,-1.8812458911642307,-0.392436015099725,-1.2687545744168562,-0.028452195498435393,-0.4649038884168251,-2.0304795645662796,-0.8105128385446079,0.2776484233736926,1.0605092790357025,-0.6507124741039081,-1.3651933925281947,-1.3484756326279965,-1.0815055800042848,-1.2117140553347883,-0.7185782280166069,-0.6809826647572141,-1.085118142507159,-1.053083709397584,-0.10440061068850576,-0.7298014497413269,-0.5629988386784586,-1.0593405645812581,-0.25464884510703445,0.014087707488172905,-1.2481539949665903,-0.3125197377634432,-1.3542907849234904,0.2016951712884725,1.3774040399881966,-0.022256333847018354,-1.6926070501498556,-0.19337009729900778,0.27313763815459496,-0.8826481728931244,2,1
13,-0.5426624657418568,-0.4388692456258336,-1.859032838780422,-0.4793209863090237,1.6108351039137756,-0.1351027969375487,-0.821182774023923,2.273297984724901,-1.3640627062222657,0.7654435020673792,-1.1670093327629154,0.4814451222756164,-0.5307329484177103,-0.965482759925851,-1.0864261142252336,-0.42810536107534514,-0.47456359538228887,-1.2712480503022379,-1.3366004076474625,-1.1557295115419395,-1.0338874995872587,0.9008884630782963,1.030969648802919,1.0756405436305179,-0.18145018735492874,-0.87828457304066,2.1671908842446737,-0.2313750366512209,1.565672417542454,-1.1713465500659597,0.9973384685893908,0.3496519906107172,2.753464781759138,-2.8774218156306466,-0.5605322750161703,0.14094105579814156,-0.8979824389647062,1,0
14,1.2492611052099662,-0.3043934556550747,-1.530806851667479,1.7035419527943856,1.7632579064474112,-0.8921015408569559,-1.6139133525494107,0.5695279303256044,0.7161544030011057,-0.8105128385446079,-0.779418227457972,0.6908938598271368,1.383722961444655,1.3828172066129203,0.8249939023596264,2.131045496396336,1.8502955475448244,-1.2712480503022379,-1.2928925581214459,1.315668404675374,1.7111705032892803,2.331492144977207,2.734941679652188,2.796211895054943,-0.6906266061461999,-1.0564662095931243,2.6381822041601577,1.2937934008218333,-0.6881581688246226,1.106604245256843,1.1689478072229222,0.5859800019648983,-0.8885310587737757,-0.8175007036093329,0.46283464585507306,0.3357570719023879,0.8194553610524689,0,0
15,-0.08319488344651788,-0.7078208255673514,0.6847185613448928,-0.5263654462034936,-0.6537322480145297,-0.5154485072970557,-0.18699831120353272,-0.9212708672737793,0.5853623093074208,-0.2542929536227302,0.594768418623192,1.171393904798272,0.8672893508823268,0.933142744935283,0.9868480166672152,0.4975449490739866,0.5177543314768449,1.1604991677545384,1.0673313162834477,-0.02594760698545332,0.32904339694584833,0.011594282438432782,-0.2754089081815217,-0.19430497765893892,-0.2692392250775616,0.2798960645503587,0.2159411303090948,0.022819702927621404,0.2509379088283264,0.8410400333668789,-0.26633029771206684,-0.1889560352662497,0.6176943638466225,-1.444120062860571,-0.33398539940345107,0.02265990316342302,0.7887868289093052,1,0
16,2.455363508735232,0.5024612841694787,-1.0384678709980633,2.945515694008394,1.0229185798554656,-0.219111194128605,0.44718615161685726,-1.0125442630451704,1.7017662519070889,-0.6714578673141385,-0.7529915611871804,0.700134245307351,1.3211249480431597,2.319639001774664,1.9001676616886098,2.7844457153252753,2.5945339926891746,-0.5527772813309176,-0.3859546804566026,2.745548627629677,2.690177203615879,1.2295406602712893,2.0391531003887367,1.9052017309244371,-0.005872111909662765,1.4826221112794933,3.5465226068543068,0.7218552367694376,0.06311869329773652,2.239678215987356,0.5098119383804952,0.33865999008261705,-0.47295331911296623,0.39522383218293616,0.4218218494079424,-0.16519839807995593,2.349048401692765,1,1
