,WS,ORtg,DRtg,PER,TRB%,AST%,STL%,TOV%,USG%,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,PLAY_PTS,Pos_0,Pos_1,Pos_2,Pos_3,Pos_4,Season_2011,Season_2012,Season_2013,Season_2014,Season_2015,Season_2016,Season_2017,Season_2018,Season_2019,Season_2020,Season_2021,Performance1,Performance2
824,1.1851211470244016,-0.2148374253061158,0.25286193128445705,0.8127976326729085,-1.257877577210177,1.5045581669441543,-0.08511087423285704,-0.12332722004057071,1.4160145318378126,-0.3940936103316162,1.2113849161135313,1.0603606085660802,0.6291326687343072,0.9089182324784336,1.2815409542036602,0.6228308130699676,0.9500182041032058,0.754481523809604,0.9407141629917529,1.836451485619569,1.5684552378524392,-0.702057750636908,-0.9135767808657316,-0.9174738348046686,1.3416842842748438,0.2599583982898992,-1.0047187998322131,1.1063069524641533,-0.24835579094697785,1.2539922733942357,-0.8558916966988289,-1.0263962238520357,0.2795928766307834,0.9810289254114842,-0.35464297207756973,-1.080475359991719,1.4379275177782853,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
825,2.1263574463770745,0.9874756355937728,1.4009984618966742,1.9516263620906402,-1.362775985578961,1.4852078071765809,-0.5395246797634549,-0.47803615941422445,2.142998505353882,-0.14212322905283345,0.6812970277152877,0.9569949207006143,0.8748155625699665,1.7073071952091354,1.8049247317477977,0.9110309585167546,0.8740788725241424,1.9600082584275582,2.0530815058293506,2.947676282167853,2.440692270093568,-0.702057750636908,-1.064512727766721,-1.0290649833427068,1.2081435500055682,-0.20004417696975133,-0.8226661832837197,1.216901933507863,0.1076974957655873,2.283813904606994,-0.31783596571080747,0.04453935012631402,0.4238898585979499,1.3662943898007098,1.082865804623306,0.07892586968673258,1.3198374661502774,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
826,0.1766536834322526,-0.882789125806054,0.023234625162013623,-0.8271157376886252,-1.2998369405576906,-0.6723573069078373,-0.6909959482736538,-0.9214223336312913,0.25944911942588417,-1.1500047541679645,1.123036934713824,1.1292710671430572,1.1204984564056268,0.77585340535665,0.9884460387789435,0.09446387975085745,0.3678166619970511,1.5581660135549065,1.2982608089038377,-0.3859981074769982,-0.4055548877459035,-0.8096834355117738,-0.8129528162650718,-0.880276785291989,-0.4388588393154992,-0.20004417696975133,-0.2765083336382391,0.00035714202705163894,1.3538839992595637,0.6699143333034173,-0.6099233625328763,-0.9939436307011765,0.698054124335566,0.2104979966330341,-0.5143661694887784,-0.1809399231722307,0.41448040366888206,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
827,0.8825809079467574,-0.34842776540610343,-0.4360199870828732,0.6533616105544262,-1.1529791688413928,-0.24664939202122568,-0.08511087423285704,-0.8327450987878777,1.0855672711486901,-0.8980343728891818,0.7696450091149949,0.991450149989103,0.5830671261401202,1.1750478867220007,1.2815409542036602,0.3826640251976449,0.5956346567342423,1.8595476972093954,1.4968978344105515,0.22517553062455772,0.05351723448626925,-0.9173091203866397,-0.6620168693640822,-0.8430797357793096,-0.1272637926871893,0.2599583982898992,0.2696495160072415,0.22154710411447187,-0.9604623643721073,1.17713991285597,-0.31783596571080747,-0.7180965889188751,0.8567808044994492,1.0621374442302687,0.30706741719743513,0.25883295705063025,0.7031449743151243,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
828,0.6136562509888506,-0.34842776540610343,0.25286193128445705,0.15227696961062437,-0.9851417154513384,-0.7110580264429838,-0.9939384852940523,-1.1283358815992557,0.8707765517007605,-0.646063991610399,1.0346889533141168,1.0948158378545687,0.7980396582463227,1.3081127138437842,1.3652823586107228,0.3826640251976449,0.4437559935761145,2.2613899420820465,1.8941718854239793,-0.05263066851251319,-0.1760188266298171,-0.9173091203866397,-0.4104569578624329,-0.6198974387032331,-0.4833724174052578,-0.43004546459957643,-0.09445571708974562,0.00035714202705163894,-0.4263824343032604,1.238621801286583,-0.21022481951320404,-0.24753398823141795,0.7557729171224326,1.0013060551161803,0.44397301497847114,0.5386884262833577,1.4510486346258418,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
829,0.3111160119112057,-0.48201810550609103,0.4824892374069005,-0.12104192544963192,-1.0480807604726088,-0.7594339258619169,-0.8424672167838532,-1.2761312730049446,0.8377318256318483,-0.3940936103316162,0.8579929905147022,1.0259053792775914,0.9055259242994245,1.3968225985916405,1.4280884119160193,0.4306973827721093,0.46906910410246944,2.160929380863884,1.9736266956266653,-0.05263066851251319,-0.1760188266298171,-0.702057750636908,-0.6117048870637524,-0.6570944882159123,-0.4833724174052578,-0.43004546459957643,-0.2765083336382391,-0.11023783901665835,-0.6044090776595425,1.269362745501889,-0.24097086128394726,-0.15017620877884064,0.676409577040491,0.7985347580692195,0.3298850168276078,0.45872972078829205,0.23078476780309196,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
830,-1.4705098404349248,-1.0163794659060414,0.9417438496517874,-0.2804779475681142,-0.7543652170400137,-0.10152169376442609,-1.44835229082465,-1.6603992906597358,1.4160145318378126,0.8657582960622976,-3.2060141538718314,-0.559035167992883,0.19918760452190112,1.130692944348073,1.4908944652213152,0.09446387975085745,0.3171904409443417,2.3618505033002095,2.370900746640093,-0.6082430667866551,-0.7269053733084242,-0.8096834355117738,-0.4104569578624329,-0.5827003891905536,-0.1717773707769479,-1.1200493274890522,-0.2765083336382391,-0.4420227821477888,-0.7824357210158251,0.9773237754564796,-0.8405186758134569,-0.7830017752205932,0.46717895318809993,1.2953244358342735,-0.6969069665301598,-0.26089862866729635,0.75562944170535,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
831,0.8489653258270186,2.056198356393674,-0.4360199870828732,-0.4626905442749511,1.5743794487469918,-1.2722184597026083,-1.296881022314451,-0.5667133942576376,-1.5414884513298335,-0.8980343728891818,1.2113849161135313,-0.4901247094159058,-0.061850470178487736,-0.9539893472265374,-1.1888304758046686,-0.43390305356825226,-0.5940815380044226,-1.2547297005536528,-1.3237479277847852,-0.3859981074769982,-0.08420440218338249,2.203835740984471,0.7467186350451541,1.3143491359560984,-1.0620489325721192,-1.1200493274890522,-0.09445571708974562,-1.1055926684100497,0.6417774258344342,-0.9593557101078125,1.603791644960695,1.0181171446520856,-2.3105379496798535,-1.6043051119372644,0.7634194098008885,0.9184922773849195,-0.8582679305440933,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
832,-1.3024319298362332,-1.2835601461060169,0.023234625162013623,-1.8065084449878748,-1.3208166222314475,-0.8852112643511432,2.6413719589507294,0.8816814415181141,-1.624100266502114,-1.4019751354467473,-0.2905307676814921,-1.1792292951856773,-1.27490975849206,-1.5306035980875998,-1.3981839868223238,-1.4426035626320075,-1.4547272959004778,-0.3505846495901873,-0.3702902053525588,-1.1638554650607968,-1.185977495540597,-0.5944320657620421,-1.6179445330703497,-1.4382325279821808,-0.8839946202130851,0.9499622611793743,0.08759689945874785,-0.9949976873663395,0.1076974957655873,-1.4358403454450592,-0.9327568011256892,-0.10149731905255197,0.2651631784340667,-1.6651365010513526,-0.8794477635715411,-0.2808883050410627,-1.5012026560743592,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
833,-1.1343540192375416,-1.4171504862060045,-0.6656472932053167,-1.7837318703995202,-1.1739588505151497,-1.0496893223755157,3.2472570329915262,-0.30068168972739734,-1.9215028011223239,-1.1500047541679645,-0.2905307676814921,-1.3859606709166088,-1.2441993967626024,-1.5749585404615276,-1.4819253912293857,-1.4426035626320075,-1.5053535169531869,-0.5515057720265131,-0.4497450155552442,-1.3305391845430392,-1.323699132210249,-0.8096834355117738,-1.4166966038690303,-1.3266413794441425,-0.9730217763926022,1.4099648364390251,0.8158073656527222,-1.32678263049747,-0.24835579094697785,-1.5588041223062838,-0.9788758637818052,1.0505697378029446,-0.13886837107399916,-3.348138266541126,-1.5867933521068938,-0.6806818325163909,-1.0419635664098836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
