Player,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
Andrew Wiggins,19-27,635,34.8,7.1,15.9,5.7,11.8,1.5,4.1,3.4,4.7,1.3,3.2,4.5,2.3,1.0,0.7,2.0,2.2,19.1,0.449,0.483,0.354,0.72,0.532,0.495,F-G
Aaron Wiggins,23-24,120,20.9,2.9,5.8,2.1,3.7,0.8,2.2,1.0,1.3,1.0,2.2,3.2,1.2,0.6,0.2,0.9,1.7,7.5,0.489,0.573,0.346,0.776,0.582,0.553,G
Hassan Whiteside,25-32,492,25.5,5.4,9.3,5.4,9.2,0.0,0.1,2.2,3.6,3.2,7.9,11.1,0.7,0.5,2.3,1.5,2.7,13.1,0.587,0.589,0.308,0.606,0.603,0.588,C
Isaiah Whitehead,21-22,89,20.5,2.7,6.7,2.2,4.8,0.6,1.9,1.2,1.5,0.4,2.0,2.4,2.4,0.6,0.4,1.9,2.2,7.2,0.411,0.452,0.305,0.788,0.493,0.454,G
Okaro White,24-26,44,12.7,0.9,2.4,0.5,1.3,0.4,1.1,0.5,0.6,0.7,1.5,2.2,0.5,0.3,0.3,0.4,1.3,2.7,0.381,0.414,0.34,0.88,0.509,0.457,F
Derrick White,23-28,345,26.5,4.1,9.1,2.7,5.1,1.4,4.0,2.2,2.6,0.5,2.8,3.4,3.8,0.8,0.8,1.3,2.2,11.7,0.447,0.521,0.352,0.846,0.572,0.524,G
Coby White,19-22,269,26.9,4.6,10.9,2.5,5.2,2.1,5.7,1.4,1.6,0.3,3.0,3.4,3.3,0.6,0.1,1.5,2.1,12.6,0.419,0.476,0.367,0.854,0.542,0.515,G
Russell Westbrook,24-34,782,34.4,8.5,19.3,7.1,14.8,1.4,4.5,5.3,7.0,1.6,6.7,8.3,9.0,1.6,0.3,4.3,2.7,23.7,0.44,0.48,0.308,0.764,0.53,0.476,G
David West,32-37,438,23.0,4.3,8.5,4.2,8.3,0.0,0.2,1.7,2.2,1.3,4.0,5.3,2.5,0.7,0.8,1.5,2.0,10.3,0.506,0.511,0.273,0.77,0.546,0.509,F-C
Blake Wesley,19,37,18.1,1.9,5.8,1.3,4.4,0.5,1.4,0.7,1.2,0.3,1.9,2.2,2.7,0.7,0.1,1.8,1.8,5.0,0.321,0.301,0.385,0.591,0.393,0.367,G
Martell Webster,26-28,186,25.3,3.0,7.1,1.4,3.1,1.6,4.0,1.7,2.1,0.5,2.5,3.0,1.4,0.5,0.2,0.9,1.8,9.3,0.425,0.463,0.397,0.829,0.584,0.538,G-F
Briante Weber,23-25,45,13.6,1.3,3.2,1.2,2.6,0.1,0.6,0.5,0.7,0.5,1.4,1.9,1.4,0.9,0.2,0.7,1.2,3.2,0.408,0.457,0.192,0.733,0.461,0.426,G
Travis Wear,24-27,68,13.2,1.6,4.1,1.2,3.0,0.4,1.1,0.4,0.5,0.5,1.7,2.1,0.7,0.3,0.2,0.6,1.3,4.0,0.388,0.397,0.364,0.824,0.463,0.438,F
Earl Watson,33-34,72,13.8,0.6,1.8,0.5,1.3,0.1,0.5,0.3,0.4,0.4,1.0,1.4,3.0,0.6,0.1,1.2,1.8,1.5,0.305,0.344,0.2,0.724,0.376,0.332,G
C.J. Watson,28-32,295,19.7,2.2,5.4,1.4,3.1,0.9,2.3,1.3,1.5,0.3,1.6,1.9,2.3,0.8,0.1,1.0,1.5,6.6,0.415,0.446,0.374,0.818,0.544,0.496,G
Trendon Watford,21-22,110,18.6,2.9,5.4,2.6,4.4,0.3,0.9,1.3,1.8,0.9,3.1,4.0,1.9,0.5,0.4,1.0,2.1,7.5,0.547,0.592,0.333,0.737,0.609,0.576,F
Lindy Waters III,24-25,66,15.1,2.1,5.3,0.5,0.7,1.7,4.7,0.3,0.4,0.3,1.9,2.2,0.8,0.5,0.3,0.3,1.1,6.3,0.399,0.667,0.36,0.8,0.567,0.557,G
Yuta Watanabe,24-28,179,13.3,1.6,3.5,0.8,1.7,0.7,1.8,0.5,0.7,0.5,1.9,2.5,0.7,0.4,0.3,0.4,1.1,4.3,0.439,0.492,0.39,0.687,0.561,0.54,F
TyTy Washington Jr.,21,31,14.0,1.9,5.2,1.3,2.6,0.6,2.6,0.3,0.6,0.1,1.4,1.5,1.5,0.5,0.1,0.5,0.9,4.7,0.363,0.488,0.238,0.556,0.432,0.422,G
P.J. Washington,21-24,260,30.2,4.8,10.7,3.1,5.9,1.8,4.8,1.5,2.1,1.2,4.3,5.5,2.3,0.9,1.0,1.6,2.6,12.9,0.45,0.519,0.366,0.711,0.554,0.532,F
Duane Washington Jr.,21-22,79,17.2,3.4,8.6,1.8,4.5,1.5,4.1,0.8,1.1,0.1,1.4,1.5,1.9,0.4,0.1,1.2,1.1,9.1,0.391,0.409,0.371,0.729,0.498,0.48,G
Hakim Warrick,30,28,17.5,2.4,5.9,2.4,5.8,0.0,0.1,2.1,3.1,0.8,2.4,3.2,0.9,0.5,0.2,1.0,1.3,6.9,0.406,0.414,0.0,0.682,0.476,0.406,F
T.J. Warren,21-29,374,27.4,6.0,11.9,5.3,9.9,0.7,2.0,1.8,2.3,1.3,2.7,4.0,1.2,0.9,0.5,1.0,2.3,14.6,0.506,0.537,0.354,0.78,0.563,0.536,F
Brad Wanamaker,29-32,191,16.2,1.9,4.4,1.5,3.1,0.4,1.3,1.4,1.5,0.3,1.5,1.7,2.4,0.6,0.2,1.0,1.6,5.5,0.421,0.47,0.3,0.907,0.539,0.464,G
Luke Walton,32,50,17.1,1.4,3.6,1.0,2.3,0.4,1.3,0.2,0.4,0.8,2.1,2.9,3.3,0.8,0.3,1.2,2.0,3.4,0.392,0.447,0.299,0.5,0.453,0.448,F
Tyrone Wallace,23-27,112,15.3,2.0,4.7,1.8,4.0,0.2,0.7,0.9,1.4,0.4,1.7,2.1,1.1,0.5,0.2,0.8,1.7,5.1,0.422,0.462,0.207,0.656,0.474,0.438,G
Rasheed Wallace,38,21,14.1,2.6,6.8,1.6,3.5,1.0,3.3,0.7,1.0,0.5,3.4,4.0,0.3,0.6,0.7,0.5,1.9,7.0,0.387,0.452,0.319,0.7,0.484,0.465,F-C
Gerald Wallace,30-32,159,23.8,2.0,4.5,1.5,3.1,0.4,1.4,1.1,1.9,0.8,2.9,3.7,2.1,1.2,0.4,1.4,1.4,5.4,0.432,0.5,0.287,0.569,0.504,0.478,F
John Wall,22-32,512,34.4,7.0,16.2,5.8,12.6,1.2,3.6,4.0,5.2,0.5,3.5,4.1,9.0,1.6,0.7,3.7,2.1,19.3,0.433,0.463,0.329,0.776,0.521,0.47,G
Lonnie Walker IV,20-24,264,21.0,3.7,8.7,2.4,4.9,1.3,3.8,1.2,1.5,0.3,2.0,2.3,1.5,0.5,0.3,0.9,1.3,9.9,0.422,0.477,0.349,0.8,0.526,0.497,G
Kemba Walker,22-32,684,33.7,6.9,16.4,4.6,9.9,2.3,6.5,3.9,4.6,0.6,3.2,3.8,5.3,1.3,0.4,2.1,1.5,20.0,0.422,0.46,0.363,0.844,0.544,0.493,G
Henry Walker,27,24,26.2,2.4,7.0,0.5,1.5,1.9,5.5,0.6,0.8,0.3,3.1,3.4,1.2,1.0,0.4,1.0,3.2,7.3,0.345,0.361,0.341,0.778,0.497,0.479,F
Dion Waiters,21-28,419,28.2,5.0,12.2,3.7,8.2,1.4,4.0,1.7,2.5,0.4,2.2,2.6,2.8,0.9,0.3,1.8,1.9,13.1,0.412,0.444,0.346,0.694,0.495,0.468,G
Ish Wainright,27-28,105,12.1,1.2,3.2,0.5,0.9,0.7,2.2,0.3,0.4,0.7,1.2,1.8,0.6,0.6,0.3,0.3,1.6,3.4,0.378,0.495,0.328,0.767,0.513,0.492,F
Moritz Wagner,21-25,253,16.1,2.8,5.8,2.1,3.3,0.8,2.4,1.8,2.2,0.8,2.9,3.7,1.2,0.5,0.3,1.1,2.3,8.2,0.49,0.615,0.319,0.822,0.611,0.557,F-C
Franz Wagner,20-21,159,31.7,6.3,13.2,4.9,9.2,1.4,4.0,2.9,3.4,1.0,3.3,4.3,3.2,0.9,0.3,1.8,2.2,16.9,0.477,0.528,0.358,0.85,0.575,0.531,G-F
Dwyane Wade,31-37,458,29.7,6.9,14.7,6.4,13.0,0.5,1.7,3.6,4.7,1.0,3.2,4.2,4.4,1.2,0.6,2.6,1.8,17.8,0.471,0.493,0.296,0.752,0.533,0.487,G
Dean Wade,23-26,170,18.6,1.9,4.2,0.8,1.4,1.0,2.9,0.4,0.5,0.5,2.6,3.1,1.0,0.6,0.3,0.4,1.5,5.1,0.439,0.599,0.362,0.699,0.574,0.561,F
Sasha Vujačić,29-32,105,12.6,1.4,4.0,0.7,1.9,0.7,2.1,0.5,0.6,0.4,1.6,2.0,1.3,0.5,0.1,0.6,1.2,4.0,0.359,0.372,0.347,0.778,0.477,0.45,G
Nikola Vučević,22-32,772,32.1,7.6,15.3,6.7,12.8,0.9,2.5,1.7,2.2,2.5,8.3,10.9,2.9,0.9,0.9,1.8,2.5,17.8,0.497,0.526,0.348,0.768,0.547,0.526,C
Noah Vonleh,19-27,362,16.2,1.8,3.9,1.5,3.1,0.3,0.8,0.8,1.2,1.3,3.6,4.9,0.7,0.4,0.4,0.8,1.8,4.7,0.459,0.501,0.307,0.692,0.526,0.492,F-C
Gabe Vincent,23-26,195,21.0,2.8,6.9,1.3,2.6,1.5,4.4,0.7,0.8,0.3,1.4,1.7,2.3,0.8,0.1,1.2,2.0,7.7,0.399,0.499,0.339,0.852,0.527,0.505,G
Charlie Villanueva,28-31,215,12.2,2.3,5.8,1.2,2.5,1.1,3.3,0.4,0.6,0.5,2.2,2.7,0.5,0.3,0.4,0.5,1.1,6.0,0.39,0.467,0.331,0.631,0.493,0.484,F
Jan Veselý,22-23,105,13.1,1.4,2.7,1.4,2.7,0.0,0.0,0.3,0.9,1.2,1.8,3.0,0.5,0.6,0.5,0.6,2.2,3.1,0.509,0.51,0.0,0.326,0.491,0.509,F
Rashad Vaughn,19-21,139,12.0,1.2,3.4,0.6,1.5,0.6,1.9,0.1,0.2,0.1,1.0,1.1,0.5,0.4,0.2,0.3,0.9,3.0,0.337,0.366,0.313,0.692,0.432,0.424,G
Devin Vassell,20-22,171,24.4,4.2,9.7,2.4,5.1,1.7,4.7,1.2,1.5,0.4,3.2,3.7,1.9,0.9,0.4,0.8,1.7,11.2,0.427,0.483,0.367,0.816,0.541,0.515,G-F
Greivis Vásquez,26-30,265,26.2,4.0,9.6,2.7,6.0,1.3,3.6,1.1,1.3,0.3,2.6,2.9,5.4,0.6,0.1,2.0,2.1,10.4,0.416,0.451,0.359,0.821,0.51,0.484,G
Anderson Varejão,30-38,188,21.1,2.9,5.9,2.9,5.8,0.0,0.1,1.3,1.9,2.3,4.8,7.2,1.6,0.8,0.4,1.0,2.0,7.0,0.488,0.495,0.0,0.702,0.526,0.488,F-C
Fred VanVleet,22-28,417,29.7,4.9,12.2,2.5,5.8,2.4,6.4,2.4,2.7,0.4,2.9,3.3,5.3,1.3,0.4,1.7,2.1,14.6,0.402,0.434,0.373,0.869,0.543,0.5,G
Jarred Vanderbilt,19-23,244,20.5,2.5,4.4,2.4,4.0,0.1,0.5,1.0,1.6,2.1,4.5,6.6,1.5,1.0,0.5,1.0,2.1,6.2,0.573,0.606,0.288,0.643,0.607,0.588,F
Denzel Valentine,23-28,256,18.8,2.7,6.8,1.2,2.8,1.4,3.9,0.3,0.4,0.4,3.0,3.3,1.8,0.6,0.1,0.9,1.6,7.0,0.394,0.441,0.36,0.787,0.507,0.498,G
Jonas Valančiūnas,20-30,774,26.0,5.4,9.6,5.1,8.9,0.2,0.7,2.5,3.2,2.8,6.7,9.5,1.2,0.4,1.0,1.7,2.9,13.5,0.561,0.577,0.357,0.789,0.615,0.574,C
Tyler Ulis,21-23,133,20.9,3.0,7.4,2.5,5.7,0.5,1.7,1.0,1.3,0.3,1.3,1.7,4.0,0.9,0.1,1.5,1.5,7.5,0.403,0.439,0.28,0.808,0.469,0.435,G
Beno Udrih,30-34,269,18.1,2.6,5.8,2.3,4.6,0.4,1.2,0.9,1.1,0.3,1.5,1.8,3.3,0.5,0.1,1.2,1.1,6.6,0.458,0.491,0.331,0.851,0.528,0.492,G
Ekpe Udoh,25-31,265,12.7,1.1,2.4,1.1,2.4,0.0,0.0,0.7,1.0,1.0,1.5,2.5,0.6,0.4,0.9,0.5,1.5,2.9,0.47,0.471,0.0,0.716,0.523,0.47,C-F
Myles Turner,19-26,493,28.8,5.0,10.1,4.0,7.3,1.0,2.8,2.4,3.1,1.4,5.4,6.8,1.2,0.7,2.3,1.4,3.0,13.4,0.498,0.553,0.353,0.771,0.586,0.546,C-F
Evan Turner,24-31,562,27.5,4.0,9.3,3.6,7.8,0.4,1.5,1.6,2.0,0.6,4.1,4.6,3.8,0.8,0.3,1.9,2.0,10.1,0.434,0.459,0.297,0.789,0.495,0.457,G
Ronny Turiaf,30-32,98,13.5,1.2,2.1,1.2,2.1,0.0,0.0,0.4,1.2,1.0,2.3,3.3,0.6,0.3,0.9,0.5,1.5,2.8,0.554,0.554,0.0,0.389,0.532,0.554,F
P.J. Tucker,27-37,835,29.2,2.5,5.9,1.5,3.1,1.0,2.8,0.9,1.1,1.5,4.1,5.6,1.4,1.1,0.3,1.0,2.5,6.9,0.425,0.479,0.366,0.752,0.539,0.512,F
Allonzo Trier,23-24,88,19.9,3.2,7.1,2.4,5.0,0.8,2.1,2.4,3.0,0.4,2.1,2.6,1.7,0.4,0.2,1.6,1.7,9.7,0.454,0.483,0.384,0.801,0.574,0.51,G
Gary Trent Jr.,20-24,270,28.9,5.1,12.2,2.7,5.9,2.4,6.3,1.7,2.1,0.4,1.9,2.3,1.5,1.2,0.2,0.7,1.6,14.4,0.421,0.461,0.384,0.827,0.55,0.52,G
Karl-Anthony Towns,20-27,511,34.1,8.5,16.2,6.9,12.0,1.6,4.2,4.4,5.3,2.9,8.2,11.2,3.2,0.8,1.3,2.7,3.4,23.0,0.526,0.571,0.395,0.835,0.623,0.577,C-F
Axel Toupane,23-28,33,12.5,1.0,2.7,0.6,1.3,0.5,1.4,0.5,0.7,0.2,0.9,1.2,0.6,0.3,0.3,0.2,1.6,3.1,0.378,0.432,0.326,0.75,0.502,0.461,G-F
Juan Toscano-Anderson,26-29,191,16.1,1.7,3.4,1.3,2.1,0.4,1.3,0.4,0.7,0.5,2.6,3.1,1.9,0.6,0.3,0.9,1.8,4.3,0.506,0.612,0.331,0.646,0.582,0.568,F
Obi Toppin,22-24,201,14.7,2.7,5.5,1.9,3.0,0.8,2.5,0.8,1.0,0.6,2.3,3.0,0.9,0.3,0.3,0.6,1.1,7.0,0.492,0.632,0.325,0.766,0.589,0.566,F
Anthony Tolliver,27-35,549,18.8,1.9,4.6,0.6,1.1,1.3,3.5,0.7,0.9,0.6,2.4,2.9,0.8,0.3,0.2,0.6,1.4,5.9,0.412,0.498,0.384,0.772,0.584,0.557,F-C
Jamaal Tinsley,34-35,74,18.0,1.2,3.4,0.7,1.5,0.5,1.9,0.2,0.4,0.3,1.4,1.7,4.2,0.9,0.2,1.6,1.6,3.2,0.354,0.446,0.282,0.692,0.448,0.433,G
Xavier Tillman Sr.,22-24,173,17.1,2.6,4.7,2.4,4.0,0.2,0.7,0.7,1.2,1.5,2.7,4.2,1.3,0.9,0.4,0.7,1.6,6.2,0.552,0.603,0.279,0.606,0.585,0.574,F
Matisse Thybulle,22-25,267,20.5,1.8,4.0,1.0,1.8,0.7,2.2,0.3,0.5,0.6,1.4,2.0,1.0,1.5,0.8,0.5,2.0,4.6,0.447,0.588,0.334,0.662,0.551,0.54,G
Marcus Thornton,25-29,286,20.5,3.6,8.8,2.1,4.6,1.5,4.2,1.2,1.4,0.7,1.8,2.4,1.2,0.7,0.1,0.8,1.4,9.8,0.408,0.455,0.356,0.843,0.523,0.492,G
JT Thor,19-20,102,12.1,1.2,2.9,0.7,1.4,0.5,1.5,0.4,0.7,0.5,1.5,1.9,0.5,0.3,0.3,0.5,0.9,3.2,0.406,0.51,0.307,0.672,0.51,0.485,F
Tristan Thompson,21-30,670,27.1,3.7,7.0,3.7,6.9,0.0,0.1,1.7,2.9,3.3,5.2,8.6,1.0,0.5,0.7,1.1,2.3,9.1,0.526,0.528,0.278,0.61,0.553,0.527,F-C
Klay Thompson,22-32,650,33.8,7.7,16.8,4.4,9.0,3.2,7.8,1.9,2.3,0.5,3.2,3.7,2.4,0.9,0.6,1.7,2.1,20.5,0.456,0.49,0.416,0.851,0.576,0.552,G-F
Jason Thompson,26-29,292,23.1,3.0,6.1,3.0,6.0,0.0,0.1,1.2,1.9,1.7,4.3,6.0,0.9,0.4,0.7,1.0,2.7,7.2,0.494,0.497,0.263,0.646,0.524,0.495,F-C
Hollis Thompson,22-25,265,24.2,2.8,6.8,1.4,3.2,1.4,3.6,0.8,1.1,0.8,2.4,3.1,1.1,0.6,0.3,0.8,2.0,7.7,0.413,0.444,0.386,0.707,0.533,0.514,G-F
Tyrus Thomas,26-28,28,13.1,1.8,4.9,1.6,4.6,0.1,0.3,1.0,1.2,0.6,1.6,2.1,0.7,0.5,0.5,0.6,1.8,4.6,0.358,0.357,0.375,0.848,0.426,0.369,F
Lance Thomas,24-31,357,18.7,1.9,4.7,1.5,3.5,0.5,1.2,0.9,1.2,0.7,1.8,2.5,0.7,0.4,0.1,0.7,1.7,5.3,0.414,0.425,0.382,0.793,0.507,0.463,F
Isaiah Thomas,23-32,485,28.7,6.0,13.9,4.0,8.4,2.0,5.5,4.5,5.1,0.5,1.9,2.4,4.9,0.9,0.1,2.3,2.1,18.5,0.433,0.48,0.361,0.875,0.573,0.505,G
Cam Thomas,20-21,124,17.1,3.4,7.7,2.6,5.3,0.8,2.5,1.9,2.3,0.2,1.9,2.1,1.3,0.4,0.1,1.0,1.0,9.5,0.437,0.492,0.319,0.853,0.543,0.488,G
Daniel Theis,25-30,313,19.5,3.0,5.5,2.5,3.9,0.5,1.6,1.1,1.5,1.5,3.4,4.9,1.3,0.5,0.9,0.8,2.6,7.6,0.543,0.629,0.326,0.714,0.613,0.589,C
Jason Terry,35-40,388,20.0,2.2,5.2,0.9,1.8,1.3,3.4,0.6,0.7,0.2,1.2,1.4,1.7,0.7,0.2,0.8,1.3,6.2,0.416,0.483,0.379,0.838,0.56,0.538,G
Miloš Teodosić,30-31,60,21.4,2.8,6.7,1.2,2.4,1.6,4.3,0.7,0.9,0.3,2.1,2.4,4.0,0.4,0.1,2.0,2.2,8.0,0.42,0.496,0.378,0.811,0.563,0.543,G
Garrett Temple,26-36,665,21.6,2.3,5.7,1.3,2.7,1.0,3.0,0.8,1.0,0.4,2.0,2.4,1.7,0.8,0.3,0.9,1.9,6.4,0.403,0.464,0.346,0.751,0.52,0.493,G
Sebastian Telfair,27-29,75,17.4,2.1,5.8,1.2,3.0,0.9,2.8,1.0,1.4,0.2,1.3,1.5,2.6,0.6,0.1,1.1,1.8,6.2,0.364,0.388,0.338,0.757,0.485,0.446,G
Mirza Teletović,27-32,324,17.8,2.9,7.1,1.2,2.5,1.7,4.5,0.7,1.0,0.6,2.6,3.2,0.8,0.3,0.3,0.8,1.7,8.1,0.406,0.468,0.371,0.755,0.543,0.524,F
Jeff Teague,24-32,619,29.6,4.9,11.0,3.8,8.1,1.0,2.8,3.2,3.8,0.4,2.3,2.7,6.5,1.2,0.3,2.5,2.0,14.0,0.443,0.471,0.363,0.854,0.553,0.49,G
Terry Taylor,22-23,64,15.3,2.7,4.6,2.5,3.7,0.3,0.9,0.7,1.0,1.9,1.5,3.4,0.8,0.3,0.2,0.5,1.4,6.4,0.59,0.66,0.298,0.677,0.631,0.619,G-F
Jeff Taylor,23-25,132,19.4,2.3,5.5,1.6,3.6,0.6,1.9,1.0,1.4,0.6,1.4,2.0,0.8,0.5,0.2,0.7,1.8,6.1,0.409,0.458,0.319,0.665,0.495,0.465,F
Isaiah Taylor,22-23,71,17.2,2.3,5.6,2.0,4.4,0.3,1.2,1.4,2.0,0.3,1.0,1.4,2.9,0.5,0.2,1.2,1.7,6.3,0.413,0.457,0.244,0.699,0.487,0.438,G
Jayson Tatum,19-24,439,34.0,7.9,17.2,5.4,10.7,2.4,6.5,4.3,5.1,0.9,6.1,7.0,3.3,1.1,0.7,2.3,2.1,22.5,0.458,0.509,0.375,0.847,0.579,0.529,F
Jae'Sean Tate,25-27,179,26.7,4.4,8.8,3.6,6.4,0.8,2.5,1.6,2.2,1.7,3.4,5.1,2.7,1.0,0.5,1.6,3.4,11.2,0.498,0.573,0.307,0.705,0.567,0.541,F
Keifer Sykes,28,32,17.7,2.2,5.9,1.3,3.1,0.8,2.8,0.5,0.5,0.3,1.2,1.4,1.9,0.4,0.1,1.0,1.6,5.6,0.363,0.42,0.3,0.882,0.456,0.434,G
Edmond Sumner,22-27,161,14.0,2.2,4.7,1.7,3.1,0.5,1.6,1.2,1.5,0.3,1.2,1.5,1.1,0.6,0.2,0.8,1.5,6.2,0.47,0.535,0.341,0.811,0.576,0.527,G
Jared Sullinger,20-24,269,24.3,4.4,10.0,3.8,8.1,0.5,1.9,1.5,2.1,2.5,4.9,7.5,1.8,0.7,0.6,1.2,2.9,10.8,0.436,0.476,0.272,0.723,0.493,0.463,F
Jalen Suggs,20-21,101,25.3,3.8,9.8,2.7,5.9,1.1,3.9,2.1,2.8,0.8,2.5,3.3,3.6,1.2,0.5,2.3,2.6,10.8,0.387,0.465,0.271,0.752,0.487,0.442,G
Rodney Stuckey,26-30,317,25.1,4.0,9.6,3.5,7.8,0.5,1.7,2.7,3.3,0.5,2.3,2.7,2.7,0.7,0.1,1.6,1.6,11.3,0.421,0.446,0.312,0.809,0.511,0.45,G
Max Strus,23-26,189,23.1,3.5,8.2,1.2,2.1,2.3,6.1,0.7,0.9,0.4,2.2,2.7,1.5,0.4,0.2,0.7,1.7,10.0,0.427,0.595,0.371,0.82,0.583,0.566,G
Amar'e Stoudemire,30-33,205,20.3,4.2,7.5,4.2,7.5,0.0,0.0,2.1,2.9,1.7,3.3,5.0,0.6,0.4,0.7,1.3,2.4,10.6,0.562,0.563,0.0,0.749,0.603,0.562,F-C
Greg Stiemsma,27-29,148,15.4,1.4,2.8,1.4,2.8,0.0,0.0,0.5,0.7,1.0,2.4,3.4,0.5,0.5,1.0,0.7,2.5,3.2,0.498,0.499,0.0,0.705,0.528,0.498,C
Isaiah Stewart,19-21,189,24.8,3.6,7.1,3.0,5.4,0.5,1.7,1.3,1.8,2.6,5.1,7.8,1.1,0.4,1.0,1.2,2.8,9.0,0.501,0.554,0.328,0.721,0.568,0.539,F-C
DeShawn Stevenson,31,56,20.7,1.8,4.7,0.4,0.9,1.4,3.7,0.2,0.4,0.3,1.9,2.2,0.9,0.5,0.1,0.4,1.2,5.1,0.374,0.415,0.364,0.522,0.522,0.519,G
Lamar Stevens,23-25,165,16.0,2.1,4.5,1.8,3.4,0.3,1.1,0.8,1.1,0.7,2.1,2.8,0.6,0.5,0.3,0.6,1.4,5.3,0.467,0.529,0.281,0.71,0.532,0.502,F
Lance Stephenson,22-31,500,24.2,3.7,8.2,2.9,5.8,0.7,2.3,1.2,1.7,0.7,3.7,4.4,3.1,0.7,0.1,1.7,2.1,9.2,0.448,0.498,0.32,0.697,0.518,0.493,G-F
Nik Stauskas,21-28,343,19.5,2.2,5.8,1.1,2.5,1.2,3.3,1.0,1.3,0.2,1.8,2.0,1.5,0.4,0.2,1.0,1.2,6.7,0.389,0.435,0.354,0.812,0.527,0.49,G
Jerry Stackhouse,38,37,14.7,1.8,4.6,1.0,2.2,0.8,2.4,0.5,0.6,0.1,0.8,0.9,0.9,0.2,0.1,0.6,0.8,4.9,0.384,0.434,0.337,0.87,0.5,0.471,G-F
Tiago Splitter,28-32,236,21.0,3.2,5.9,3.2,5.9,0.0,0.1,2.0,2.7,1.7,3.6,5.4,1.4,0.6,0.6,1.1,1.9,8.4,0.544,0.547,0.154,0.733,0.593,0.544,F-C
Omari Spellman,21-22,95,17.8,2.4,5.7,1.5,3.2,0.9,2.5,1.1,1.4,1.6,2.8,4.3,1.0,0.6,0.5,0.9,1.4,6.8,0.417,0.458,0.366,0.766,0.536,0.498,F
Marreese Speights,25-30,440,14.3,3.1,6.9,2.6,5.4,0.5,1.4,1.5,1.8,1.2,2.7,4.0,0.7,0.2,0.5,0.9,2.2,8.1,0.447,0.469,0.363,0.818,0.531,0.485,C-F
Jeremy Sochan,19,56,26.0,4.5,9.9,3.9,7.5,0.6,2.4,1.4,2.1,1.7,3.6,5.3,2.5,0.8,0.4,1.7,2.5,11.0,0.453,0.519,0.246,0.698,0.509,0.483,F
Tony Snell,22-30,601,21.8,2.2,5.2,1.0,2.1,1.2,3.1,0.5,0.5,0.3,2.0,2.3,1.1,0.4,0.2,0.5,1.4,6.1,0.431,0.486,0.394,0.846,0.567,0.549,G-F
Josh Smith,27-32,294,29.3,5.5,12.8,4.6,9.9,0.8,2.8,1.7,3.2,1.5,4.9,6.4,3.2,1.1,1.4,2.4,2.5,13.4,0.428,0.468,0.292,0.519,0.474,0.461,F
Jason Smith,26-32,367,16.9,2.8,6.1,2.6,5.5,0.2,0.5,1.0,1.3,1.0,2.5,3.5,0.9,0.3,0.7,0.9,2.3,6.9,0.468,0.479,0.348,0.813,0.52,0.483,F-C
Jalen Smith,20-22,146,16.2,3.0,6.2,2.3,4.0,0.7,2.3,1.3,1.7,1.6,3.4,5.1,0.6,0.3,0.7,0.8,1.8,8.0,0.485,0.592,0.297,0.76,0.573,0.539,F
Jabari Smith Jr.,19,79,31.0,4.6,11.3,3.1,6.3,1.5,4.9,2.1,2.6,1.5,5.7,7.2,1.3,0.5,0.9,1.3,2.9,12.8,0.408,0.487,0.307,0.786,0.514,0.475,F
J.R. Smith,27-34,439,30.2,4.5,11.1,2.3,5.3,2.2,5.8,1.1,1.5,0.5,3.0,3.5,2.3,1.0,0.3,1.2,2.4,12.4,0.409,0.445,0.377,0.719,0.526,0.508,G-F
Ish Smith,24-34,693,20.3,3.3,7.7,2.9,6.4,0.4,1.3,0.7,1.0,0.4,2.2,2.5,4.0,0.7,0.3,1.3,1.3,7.8,0.431,0.454,0.324,0.678,0.476,0.459,G
Greg Smith,22-25,141,12.5,1.7,2.7,1.7,2.7,0.0,0.0,0.8,1.4,1.1,2.2,3.3,0.3,0.2,0.4,0.5,1.9,4.1,0.616,0.618,0.0,0.576,0.623,0.616,C
Dennis Smith Jr.,20-25,270,24.2,4.0,9.9,3.1,6.9,0.9,3.0,1.5,2.2,0.6,2.4,3.0,4.4,1.1,0.4,2.1,2.1,10.3,0.403,0.448,0.299,0.667,0.476,0.448,G
Marcus Smart,20-28,581,30.0,3.6,9.2,2.0,4.4,1.6,4.9,1.9,2.4,0.8,2.7,3.5,4.6,1.6,0.4,1.9,2.6,10.6,0.386,0.456,0.323,0.777,0.514,0.471,G
Donald Sloan,25-28,185,16.6,2.0,4.9,1.5,3.3,0.5,1.6,0.9,1.2,0.2,1.9,2.1,3.0,0.4,0.0,1.0,0.8,5.4,0.411,0.45,0.33,0.752,0.503,0.464,G
Chris Singleton,23-24,82,14.3,1.4,3.8,1.3,3.1,0.2,0.7,0.7,1.2,0.8,2.1,2.9,0.5,0.6,0.3,0.8,1.8,3.7,0.38,0.407,0.255,0.611,0.437,0.403,F
Kyle Singler,24-29,356,21.9,2.4,5.7,1.5,3.3,0.8,2.3,1.0,1.2,0.9,2.0,2.9,0.8,0.6,0.3,0.8,2.1,6.5,0.418,0.458,0.362,0.786,0.527,0.493,F
