Rk,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
20,McKinley Wright IV,2.9,12.6,25.0,1.1,1.3,15.5,16.5,2021-22,2022-23,23-24,32,1,4.9,10.3,3.9,7.2,1.0,3.1,1.3,1.9,0.9,3.9,4.8,6.2,0.8,0.5,2.0,2.5,12.1,.475,.535,.333,.684,.544,.525,G,DALMIN,wrighmc01
21,Dorell Wright,2.8,17.2,11.5,1.6,1.4,9.2,17.7,2012-13,2014-15,27-29,195,23,4.5,11.6,1.9,4.4,2.6,7.2,2.2,2.7,0.9,5.6,6.5,2.7,1.1,0.7,1.3,2.3,13.8,.387,.422,.365,.817,.539,.500,F-G,PHIPOR,wrighdo01
22,Delon Wright,4.3,12.4,20.5,2.8,1.4,12.9,15.3,2015-16,2022-23,23-30,461,84,4.5,9.8,3.3,6.5,1.2,3.3,2.1,2.6,1.4,4.1,5.5,5.3,2.1,0.6,1.6,1.9,12.2,.455,.507,.353,.805,.556,.515,G,ATLDALDETMEMSACTORWAS,wrighde01
23,Chris Wright,8.8,9.4,6.9,2.9,3.2,10.7,16.7,2013-14,2013-14,25,8,0,6.0,10.0,6.0,9.7,0.0,0.3,1.7,4.3,2.9,2.9,5.7,1.4,2.0,1.4,1.4,4.9,13.7,.600,.618,.000,.400,.577,.600,F,MIL,wrighch01
24,Chris Wright,0.0,0.0,0.0,0.0,0.0,33.3,34.2,2012-13,2012-13,23,3,0,9.0,18.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,18.0,.500,.500,,,.500,.500,G,DAL,wrighch02
25,Brandan Wright,9.4,15.5,5.0,1.5,5.0,7.7,16.2,2012-13,2017-18,25-30,265,31,6.7,10.6,6.7,10.5,0.0,0.1,2.1,3.1,3.0,4.9,7.9,1.1,1.0,2.2,1.0,2.8,15.4,.631,.634,.000,.667,.645,.631,F-C,BOSDALHOUMEMPHO,wrighbr03
26,Metta World Peace,4.4,11.9,7.1,2.5,1.3,9.5,17.8,2012-13,2016-17,33-37,164,74,4.5,11.9,2.6,6.1,1.9,5.8,1.8,2.5,1.4,3.9,5.3,1.6,1.7,0.6,1.4,3.2,12.8,.382,.432,.328,.713,.491,.462,F,LALNYK,artesro01
27,Robert Woodard II,11.2,23.1,7.6,0.6,3.9,4.7,21.0,2020-21,2021-22,21-22,25,0,4.1,14.9,3.3,10.8,0.8,4.1,2.1,4.1,3.7,7.4,11.2,2.1,0.4,1.7,0.8,2.9,11.2,.278,.308,.200,.500,.334,.306,F,SAC,woodaro01
28,Christian Wood,6.6,27.3,10.1,1.2,3.3,11.1,24.4,2015-16,2022-23,20-27,289,139,8.0,15.4,6.0,10.2,2.0,5.2,4.1,5.9,2.2,8.7,10.9,2.2,0.9,1.4,2.3,2.9,22.0,.518,.588,.379,.693,.611,.582,F,CHODALDETHOUMILNOPPHI,woodch01
29,Nate Wolters,3.0,10.7,21.4,1.4,0.9,12.4,16.2,2013-14,2017-18,22-26,84,31,4.4,10.3,4.0,8.8,0.4,1.6,1.4,2.2,1.0,3.3,4.2,4.8,1.0,0.4,1.6,2.0,10.5,.423,.452,.261,.635,.466,.442,G,MILNOPUTA,woltena01
