Rk,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
373,Rodney Purvis,0.4,9.9,8.5,0.5,0.8,8.1,18.7,2017-18,2017-18,23,16,2,4.3,13.3,2.7,6.8,1.6,6.5,1.6,1.9,0.1,3.2,3.4,2.1,0.4,0.4,1.2,3.2,11.9,.327,.400,.250,.867,.423,.388,G,ORL,purviro01
374,Jacob Pullen,0.0,0.0,0.0,0.0,0.0,33.3,21.3,2017-18,2017-18,28,3,0,6.0,12.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,.500,1.000,.000,,.500,.500,G,PHI,pulleja01
375,Joel Przybilla,7.6,26.2,7.6,0.7,2.1,45.0,5.7,2012-13,2012-13,33,12,1,0.5,2.1,0.5,2.1,0.0,0.0,0.0,1.1,2.6,8.5,11.1,2.1,0.5,1.1,2.1,5.3,1.1,.250,.250,,.000,.205,.250,C,MIL,przybjo01
376,Payton Pritchard,3.4,10.8,15.9,1.3,0.5,11.1,18.0,2020-21,2022-23,23-25,185,9,5.5,12.8,2.3,4.8,3.2,8.0,0.9,1.0,1.1,3.6,4.7,4.0,0.9,0.2,1.7,2.5,15.1,.430,.478,.400,.890,.570,.555,G,BOS,pritcpa01
377,Tayshaun Prince,2.9,12.1,9.9,1.1,0.8,8.5,13.8,2012-13,2015-16,32-35,293,217,4.1,9.4,3.6,8.2,0.5,1.2,0.9,1.3,0.9,3.7,4.6,2.3,0.7,0.4,0.9,1.3,9.5,.431,.441,.368,.701,.475,.455,F,BOSDETMEMMIN,princta01
378,Taurean Prince,2.2,14.6,10.8,1.6,1.5,13.9,19.5,2016-17,2022-23,22-28,424,222,5.5,13.1,3.0,6.4,2.5,6.7,2.1,2.5,0.7,4.9,5.6,2.6,1.2,0.6,2.3,3.1,15.6,.421,.473,.372,.818,.549,.516,F,ATLBRKCLEMIN,princta02
379,Joshua Primo,3.3,9.3,11.8,1.0,2.0,17.3,15.7,2021-22,2022-23,19-20,54,16,3.7,10.1,2.2,5.0,1.5,5.1,1.7,2.3,1.2,3.1,4.3,3.4,0.7,0.9,2.3,3.0,10.8,.372,.442,.302,.750,.485,.448,G,SAS,primojo01
380,Pablo Prigioni,3.6,9.2,24.4,3.1,0.1,23.8,10.9,2012-13,2015-16,35-38,270,51,2.6,6.2,1.0,2.0,1.6,4.2,0.6,0.7,1.1,2.8,4.0,6.0,2.1,0.0,2.0,3.4,7.5,.425,.522,.379,.872,.574,.554,G,HOULACNYK,prigipa01
381,Ronnie Price,2.3,7.0,21.3,3.2,0.6,18.5,13.7,2012-13,2016-17,29-33,189,40,3.0,8.5,1.6,4.0,1.4,4.5,1.1,1.4,0.8,2.2,3.0,5.3,2.3,0.3,2.1,4.5,8.3,.347,.401,.300,.756,.456,.426,G,LALORLPHOPOR,pricero01
382,A.J. Price,1.8,8.5,25.6,1.3,0.1,11.8,19.2,2012-13,2014-15,26-28,111,22,4.9,12.6,3.0,6.7,1.9,5.9,1.4,1.9,0.6,2.7,3.3,5.6,0.9,0.1,1.8,2.0,13.1,.388,.442,.326,.739,.487,.464,G,CLEINDMINPHOWAS,priceaj01
383,Jason Preston,1.8,17.9,30.9,0.8,0.0,19.3,18.3,2022-23,2022-23,23,14,0,5.2,11.9,3.8,6.7,1.5,5.2,0.0,0.6,0.6,5.8,6.4,7.8,0.6,0.0,2.9,2.0,11.9,.439,.565,.278,.000,.489,.500,G,LAC,prestja01
384,Phil Pressey,1.9,10.2,31.4,2.9,0.6,22.4,15.7,2013-14,2015-16,22-24,148,11,3.1,9.0,2.2,5.6,0.9,3.4,1.3,2.1,0.6,3.2,3.9,7.7,2.1,0.3,2.9,3.2,8.3,.341,.392,.254,.630,.419,.388,G,BOSPHIPHO,pressph01
385,Alex Poythress,8.8,14.4,6.1,0.8,2.0,9.2,14.6,2016-17,2018-19,23-25,52,2,4.8,10.2,3.6,6.9,1.2,3.4,1.7,2.5,3.0,4.8,7.8,1.5,0.6,0.8,1.1,4.9,12.5,.472,.528,.358,.667,.553,.531,F,ATLINDPHI,poythal01
386,Norman Powell,1.8,10.8,10.3,1.7,1.1,10.9,21.8,2015-16,2022-23,22-29,481,196,6.6,14.2,4.3,8.2,2.3,6.1,3.4,4.1,0.6,3.5,4.1,2.4,1.3,0.4,2.0,2.9,19.0,.465,.524,.386,.827,.592,.548,G,LACPORTOR,powelno01
387,Myles Powell,2.2,10.6,8.0,1.0,0.0,14.4,18.0,2021-22,2021-22,24,11,0,3.5,11.8,2.8,7.6,0.7,4.2,1.4,1.4,0.7,3.5,4.2,2.1,0.7,0.0,2.1,5.5,9.0,.294,.364,.167,1.000,.364,.324,G,PHI,powelmy01
388,Josh Powell,0.0,27.7,0.0,0.0,3.9,14.3,16.1,2013-14,2013-14,31,1,0,3.8,11.4,3.8,11.4,0.0,0.0,0.0,0.0,0.0,9.5,9.5,0.0,0.0,1.9,1.9,1.9,7.6,.333,.333,,,.333,.333,F,HOU,poweljo01
389,Dwight Powell,9.3,17.2,8.0,1.7,2.1,11.0,15.1,2014-15,2022-23,23-31,587,243,5.3,8.9,4.9,7.5,0.4,1.3,3.3,4.4,3.0,5.5,8.6,1.9,1.2,0.9,1.3,4.3,14.3,.599,.654,.292,.741,.661,.621,F-C,BOSDAL,poweldw01
390,Micah Potter,8.9,23.6,7.0,1.2,1.1,10.0,15.2,2021-22,2022-23,23-24,10,0,6.5,11.3,4.8,7.4,1.7,3.9,0.9,0.9,3.0,7.8,10.8,1.7,0.9,0.4,1.3,3.9,15.6,.577,.647,.444,1.000,.670,.654,C,DETUTA,pottemi01
391,Kristaps Porziņģis,6.2,21.5,9.3,1.2,4.9,9.0,27.0,2015-16,2022-23,20-27,402,401,8.0,17.7,5.9,11.8,2.1,5.9,4.5,5.4,2.0,7.2,9.2,2.0,0.8,2.1,2.0,3.5,22.7,.453,.500,.359,.827,.563,.512,F-C,DALNYKWAS,porzikr01
392,Bobby Portis,9.2,24.1,8.7,1.2,1.4,9.4,22.1,2015-16,2022-23,20-27,523,142,7.5,15.8,5.7,11.2,1.8,4.6,1.8,2.4,3.1,8.2,11.3,2.0,0.9,0.6,1.8,3.0,18.6,.474,.513,.381,.754,.551,.530,F,CHIMILNYKWAS,portibo01
393,Otto Porter Jr.,5.0,16.6,8.7,2.2,1.4,7.9,16.7,2013-14,2022-23,20-29,512,318,5.6,11.8,3.8,7.2,1.8,4.6,1.5,1.9,1.6,5.4,7.0,2.1,1.6,0.6,1.1,2.4,14.6,.478,.529,.397,.797,.578,.555,F,CHIGSWORLTORWAS,porteot01
394,Michael Porter Jr.,5.4,20.1,6.1,1.2,2.1,8.3,22.1,2019-20,2022-23,21-24,187,133,7.9,15.6,4.7,8.0,3.2,7.6,2.0,2.5,1.7,6.5,8.1,1.5,0.8,0.8,1.5,2.7,21.0,.506,.590,.417,.797,.627,.608,F,DEN,portemi01
395,Kevin Porter Jr.,2.9,12.8,25.8,1.8,0.9,16.9,23.7,2019-20,2022-23,19-22,196,146,6.5,15.1,4.1,8.3,2.4,6.8,2.9,4.0,1.0,4.1,5.1,6.0,1.3,0.4,3.4,3.1,18.3,.431,.491,.357,.725,.544,.511,G,CLEHOU,porteke02
396,Jontay Porter,7.8,19.9,2.5,2.7,1.7,28.9,18.9,2020-21,2020-21,21,11,0,5.3,10.0,3.3,4.7,2.0,5.3,2.0,3.3,2.7,6.7,9.3,0.7,2.0,0.7,4.7,8.0,14.7,.533,.714,.375,.600,.640,.633,F-C,MEM,portejo01
397,Jordan Poole,1.4,9.3,19.8,1.3,0.8,13.2,26.1,2019-20,2022-23,20-23,266,115,7.2,17.0,4.1,8.0,3.1,9.0,4.1,4.7,0.5,3.1,3.6,4.7,0.9,0.3,2.9,3.1,21.6,.421,.515,.339,.878,.564,.511,G,GSW,poolejo01
398,Yves Pons,7.2,10.6,1.7,0.7,5.0,5.6,10.3,2021-22,2021-22,22,12,0,2.5,8.1,1.0,3.5,1.5,4.6,0.0,1.0,2.5,3.5,6.1,0.5,0.5,2.0,0.5,3.0,6.6,.313,.286,.333,.000,.385,.406,F,MEM,ponsyv01
399,Shamorie Ponds,0.0,9.4,32.4,0.0,8.9,0.0,22.8,2019-20,2019-20,21,4,0,9.8,16.4,6.5,9.8,3.3,6.5,6.5,6.5,0.0,3.3,3.3,6.5,0.0,3.3,0.0,6.5,29.5,.600,.667,.500,1.000,.765,.700,G,TOR,pondssh01
400,Quincy Pondexter,3.7,9.2,8.1,1.1,0.7,11.2,14.1,2012-13,2018-19,24-30,225,34,3.7,8.8,2.1,4.4,1.6,4.5,1.9,2.4,1.2,2.9,4.0,2.0,0.7,0.3,1.3,3.0,10.9,.418,.474,.364,.777,.550,.510,G-F,CHIMEMNOPSAS,pondequ01
401,Aleksej Pokusevski,5.0,18.9,14.4,1.3,3.7,16.8,19.8,2020-21,2022-23,19-21,140,65,5.2,13.2,3.3,7.2,1.8,6.0,1.0,1.5,1.8,6.4,8.2,3.5,0.9,1.5,2.8,2.4,13.2,.389,.463,.301,.693,.474,.458,F,OKC,pokusal01
402,Vincent Poirier,12.3,23.9,8.1,0.6,6.5,18.3,16.6,2019-20,2020-21,26-27,32,0,4.3,10.2,4.0,9.6,0.2,0.6,1.7,2.8,4.0,8.1,12.1,2.1,0.4,2.6,2.6,7.0,10.4,.417,.422,.333,.615,.456,.427,C,BOSPHI,poirivi01
403,Jakob Poeltl,13.2,20.3,11.0,1.3,5.0,14.5,15.3,2016-17,2022-23,21-27,488,235,6.1,9.7,6.1,9.6,0.0,0.0,1.6,3.0,4.4,6.7,11.1,2.8,1.0,2.1,1.9,4.0,13.7,.628,.628,.500,.536,.626,.628,C,SASTOR,poeltja01
404,Miles Plumlee,10.8,20.1,4.7,1.4,3.6,16.6,14.4,2012-13,2018-19,24-30,346,168,4.8,8.8,4.8,8.8,0.0,0.0,1.3,2.4,3.5,6.5,9.9,1.1,1.0,1.6,2.0,3.4,10.8,.542,.542,,.543,.550,.542,C-F,ATLCHOINDMILPHO,plumlmi01
405,Mason Plumlee,10.4,23.0,16.1,1.6,3.2,17.4,16.5,2013-14,2022-23,23-32,740,446,5.4,9.0,5.4,8.9,0.0,0.1,2.8,5.0,3.4,7.5,10.9,4.0,1.2,1.4,2.4,4.4,13.6,.595,.601,.049,.567,.605,.595,C-F,BRKCHODENDETLACPOR,plumlma01
406,Marshall Plumlee,13.2,20.5,7.4,0.9,1.9,23.7,12.5,2016-17,2017-18,24-25,29,1,2.8,5.4,2.8,5.4,0.0,0.0,3.2,5.7,4.4,6.6,11.0,1.9,0.6,0.8,2.4,5.4,8.8,.515,.515,,.571,.558,.515,C,MILNYK,plumlma02
407,Tibor Pleiß,8.6,12.8,4.0,0.6,2.1,23.6,19.1,2015-16,2015-16,26,12,0,4.8,11.0,4.8,10.1,0.0,0.9,0.9,0.9,2.6,4.0,6.6,0.9,0.4,0.9,3.5,8.3,10.5,.440,.478,.000,1.000,.464,.440,C,UTA,pleisti01
408,Dexter Pittman,33.4,16.9,0.0,0.0,0.0,17.4,23.0,2012-13,2013-14,24-25,13,0,4.1,12.3,4.1,12.3,0.0,0.0,0.0,5.1,10.3,5.1,15.4,0.0,0.0,0.0,3.1,8.2,8.2,.333,.333,,.000,.282,.333,C,ATLMEMMIA,pittmde01
409,Scotty Pippen Jr.,6.9,6.5,8.2,3.0,2.6,11.1,23.7,2022-23,2022-23,22,6,0,4.5,13.5,3.4,10.1,1.1,3.4,5.6,10.1,2.3,2.3,4.5,2.3,2.3,1.1,2.3,3.4,15.8,.333,.333,.333,.556,.439,.375,G,LAL,pippesc02
410,Theo Pinson,2.6,15.4,18.2,1.5,0.6,15.0,18.3,2018-19,2022-23,23-27,127,1,3.9,12.1,1.9,4.6,2.0,7.5,1.8,2.0,0.9,5.1,6.0,4.7,1.1,0.2,2.3,3.3,11.5,.320,.416,.261,.902,.444,.401,G,BRKDALNYK,pinsoth01
411,Mickaël Piétrus,1.5,9.7,3.5,1.7,1.2,13.1,14.7,2012-13,2012-13,30,19,16,3.2,9.1,1.3,3.2,1.9,6.0,1.1,1.7,0.5,2.9,3.4,0.8,1.1,0.6,1.5,3.1,9.3,.347,.412,.313,.667,.472,.449,G-F,TOR,pietrmi01
412,Paul Pierce,1.9,17.3,16.0,1.6,1.1,13.6,22.5,2012-13,2016-17,35-39,318,263,5.6,13.0,3.5,7.4,2.1,5.6,3.6,4.5,0.6,5.5,6.1,3.4,1.1,0.5,2.4,3.2,16.9,.431,.481,.366,.799,.564,.511,F-G,BOSBRKLACWAS,piercpa01
413,Jamorko Pickett,3.5,16.8,5.8,0.0,3.6,8.9,13.6,2021-22,2021-22,24,13,0,3.7,10.2,1.0,2.3,2.7,8.0,0.2,0.4,1.2,5.3,6.5,1.4,0.0,1.4,1.0,2.5,10.2,.360,.455,.333,.500,.491,.490,G-F,DET,pickeja01
414,Johan Petro,10.9,25.3,7.1,1.5,2.0,17.2,18.3,2012-13,2012-13,27,31,8,4.9,11.3,4.8,10.8,0.1,0.4,1.1,1.2,3.4,8.1,11.5,1.6,1.0,0.9,2.5,4.9,11.0,.436,.443,.250,.917,.468,.441,C,ATL,petrojo01
415,Alec Peters,3.7,14.0,7.9,0.4,0.7,4.9,15.5,2017-18,2017-18,22,20,0,4.5,11.8,1.6,2.6,2.9,9.3,1.3,1.6,1.3,4.6,5.9,1.9,0.3,0.3,0.6,2.1,13.1,.378,.625,.310,.800,.523,.500,F,PHO,peteral01
416,Reggie Perry,11.9,21.3,9.9,1.8,2.8,13.3,21.3,2020-21,2021-22,20-21,36,1,6.5,14.2,5.9,10.9,0.6,3.3,1.7,2.5,3.8,7.1,10.9,2.4,1.4,1.1,2.4,6.6,15.4,.459,.542,.189,.679,.502,.481,F-C,BRKINDPOR,perryre01
417,London Perrantes,1.7,5.0,9.4,1.5,1.3,6.2,10.9,2017-18,2017-18,23,14,0,1.1,7.1,1.1,5.5,0.0,1.6,1.6,2.7,0.5,1.6,2.2,2.7,1.1,0.5,0.5,3.3,3.8,.154,.200,.000,.600,.230,.154,G,CLE,perralo01
418,Kendrick Perkins,7.4,20.2,7.5,1.0,2.7,26.8,11.5,2012-13,2017-18,28-33,246,148,2.8,6.0,2.8,6.0,0.0,0.0,1.0,1.8,2.3,6.7,9.0,1.9,0.7,1.2,2.5,4.7,6.5,.460,.462,.000,.542,.479,.460,C,CLENOPOKC,perkike01
419,Norvel Pelle,9.6,22.3,4.0,0.6,10.7,23.0,12.9,2019-20,2021-22,26-28,40,0,3.9,7.3,3.9,7.2,0.0,0.1,1.2,2.1,3.1,7.3,10.4,1.1,0.4,4.4,2.5,7.5,8.9,.529,.537,.000,.550,.540,.529,F-C,BRKNYKPHISACUTA,pelleno01
420,Nikola Peković,12.6,18.5,5.4,1.0,1.4,9.9,22.6,2012-13,2015-16,27-30,159,148,7.2,14.3,7.2,14.3,0.0,0.0,4.3,5.7,4.2,5.8,9.9,1.1,0.7,0.7,1.8,2.8,18.8,.507,.507,,.763,.560,.507,C,MIN,pekovni01
421,Gary Payton II,6.3,14.7,10.6,3.4,1.6,12.2,13.9,2016-17,2022-23,24-30,164,40,5.3,9.6,4.1,6.2,1.2,3.4,0.8,1.4,2.1,4.9,6.9,2.7,2.5,0.6,1.4,4.1,12.5,.548,.664,.341,.593,.613,.609,G,GSWLALMILPORWAS,paytoga02
422,Elfrid Payton,4.2,12.2,32.5,2.2,0.9,17.4,20.4,2014-15,2021-22,20-27,500,395,5.6,12.6,5.1,10.8,0.5,1.8,1.8,2.9,1.4,4.0,5.4,7.7,1.6,0.4,2.9,2.7,13.5,.447,.474,.287,.623,.490,.467,G,NOPNYKORLPHO,paytoel01
423,Cameron Payne,1.8,11.5,27.1,1.8,1.0,13.8,21.4,2015-16,2022-23,21-28,327,56,6.1,14.6,4.0,8.7,2.1,5.8,1.5,1.8,0.6,3.8,4.4,6.8,1.3,0.4,2.5,3.4,15.9,.420,.458,.363,.816,.515,.493,G,CHICLEOKCPHO,payneca01
424,Adreian Payne,6.4,19.6,7.3,1.6,1.6,16.0,17.8,2014-15,2017-18,23-26,107,24,4.5,11.0,4.1,9.5,0.4,1.5,1.7,2.5,2.0,6.1,8.1,1.7,1.2,0.7,2.3,5.2,11.0,.406,.430,.254,.680,.455,.423,F-C,ATLMINORL,paynead01
425,Sasha Pavlović,1.5,10.9,8.9,2.4,0.7,10.3,11.8,2012-13,2012-13,29,39,1,2.9,8.1,1.6,4.0,1.2,4.1,0.1,0.4,0.5,3.3,3.8,2.2,1.6,0.3,1.0,4.0,7.0,.353,.407,.300,.167,.423,.429,G-F,POR,pavloal01
426,Chris Paul,1.9,13.4,44.0,2.9,0.6,13.7,23.1,2012-13,2022-23,27-37,729,729,6.8,14.3,5.0,9.5,1.8,4.8,3.8,4.3,0.6,4.4,5.0,10.2,2.1,0.2,2.6,2.6,19.1,.472,.522,.372,.885,.589,.534,G,HOULACOKCPHO,paulch01
427,Brandon Paul,1.1,12.0,9.0,2.2,1.0,16.6,13.6,2017-18,2017-18,26,64,2,3.4,7.9,2.5,4.6,0.9,3.4,1.4,2.7,0.4,3.9,4.2,2.3,1.6,0.4,1.8,3.6,9.2,.433,.548,.278,.512,.504,.492,G,SAS,paulbr01
428,Justin Patton,6.0,16.0,9.1,2.4,4.2,6.1,14.1,2017-18,2020-21,20-23,22,6,4.4,10.8,3.2,6.0,1.2,4.9,0.5,0.7,2.1,5.2,7.3,2.3,1.8,1.7,0.7,5.4,10.5,.404,.531,.250,.667,.469,.461,C,HOUMINOKCPHI,pattoju01
429,Patrick Patterson,5.6,15.2,7.6,1.3,1.5,9.3,14.0,2012-13,2020-21,23-31,603,97,4.3,9.8,2.5,4.9,1.8,4.9,1.0,1.3,1.8,4.8,6.6,1.8,0.9,0.6,1.1,2.7,11.4,.439,.509,.370,.766,.550,.532,F,HOULACOKCSACTOR,pattepa01
430,Lamar Patterson,1.3,12.8,14.3,1.1,0.4,20.3,13.6,2015-16,2016-17,24-25,40,0,2.6,7.9,1.5,3.3,1.1,4.6,1.5,2.1,0.4,4.3,4.7,3.7,0.8,0.2,2.2,4.2,7.7,.326,.450,.236,.720,.439,.395,G-F,ATL,pattela01
431,Anžejs Pasečņiks,10.2,16.7,5.9,0.9,2.4,16.9,16.1,2019-20,2020-21,24-25,28,0,5.0,9.5,5.0,9.2,0.0,0.3,2.8,4.7,3.5,5.3,8.8,1.5,0.7,1.0,2.4,6.3,12.7,.521,.540,.000,.586,.547,.521,C,WAS,pasecan01
432,Eric Paschall,4.9,13.0,11.0,0.8,0.7,10.9,21.0,2019-20,2021-22,23-25,158,31,6.8,13.7,5.7,10.3,1.1,3.4,3.5,4.6,1.6,4.3,5.9,2.5,0.6,0.3,1.9,2.8,18.1,.494,.550,.326,.758,.577,.535,F,GSWUTA,pascher01
433,Chandler Parsons,2.6,13.6,15.0,1.5,0.9,11.5,19.4,2012-13,2019-20,24-31,377,312,5.9,12.8,3.9,7.5,2.0,5.2,1.8,2.5,0.8,4.4,5.3,3.4,1.1,0.4,1.8,2.3,15.6,.463,.523,.376,.729,.563,.540,F,ATLDALHOUMEM,parsoch01
434,Tony Parker,1.0,8.0,31.7,1.2,0.3,13.3,24.0,2012-13,2018-19,30-36,448,358,7.3,14.9,6.8,13.5,0.5,1.4,3.0,3.8,0.3,2.6,2.9,7.0,0.8,0.1,2.5,1.8,18.0,.490,.503,.359,.787,.545,.506,G,CHOSAS,parketo01
435,Jabari Parker,6.0,16.5,11.8,1.6,1.2,11.9,23.3,2014-15,2021-22,19-26,310,190,7.5,15.1,6.6,12.4,0.9,2.7,2.7,3.6,1.9,5.3,7.2,2.6,1.1,0.5,2.3,2.6,18.5,.494,.531,.326,.743,.554,.523,F,ATLBOSCHIMILSACWAS,parkeja01
436,Jeremy Pargo,1.4,7.3,23.7,1.0,0.2,15.3,22.7,2012-13,2019-20,26-33,42,11,5.7,14.0,4.2,9.8,1.4,4.2,2.2,3.2,0.5,2.2,2.7,5.2,0.7,0.1,2.8,2.8,14.9,.404,.429,.346,.667,.484,.456,G,CLEGSWPHI,pargoje01
437,Jannero Pargo,1.5,6.5,27.8,2.0,0.4,15.7,24.9,2012-13,2014-15,33-35,70,0,6.4,16.0,3.2,7.3,3.2,8.7,1.0,1.1,0.5,2.1,2.5,5.6,1.4,0.2,3.1,2.9,16.8,.397,.437,.364,.846,.510,.496,G,ATLCHACHOWAS,pargoja01
438,Kostas Papanikolaou,4.8,11.3,13.6,1.9,1.3,21.5,14.1,2014-15,2015-16,24-25,69,7,3.1,8.7,1.7,4.1,1.4,4.6,0.7,1.1,1.6,3.7,5.2,3.3,1.4,0.6,2.5,3.1,8.2,.354,.416,.297,.688,.449,.432,F,DENHOU,papanko01
439,Georgios Papagiannis,8.9,20.8,9.6,0.7,4.4,17.6,17.3,2016-17,2017-18,19-20,39,0,5.6,10.9,5.6,10.7,0.0,0.2,0.9,1.1,2.8,6.5,9.3,2.2,0.5,1.7,2.4,4.2,12.1,.514,.521,.000,.857,.533,.514,C,PORSAC,papagge01
440,Kevin Pangos,1.4,5.9,24.6,0.9,0.0,12.8,14.6,2021-22,2021-22,29,24,3,3.3,10.0,2.0,4.3,1.3,5.6,0.7,0.9,0.4,2.0,2.4,6.5,0.7,0.0,1.5,2.4,8.5,.326,.450,.231,.750,.408,.391,G,CLE,pangoke01
441,Trayvon Palmer,0.0,13.4,0.0,0.0,0.0,50.0,5.0,2021-22,2021-22,27,1,0,0.0,2.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,4.2,4.2,0.0,0.0,0.0,2.1,4.2,0.0,.000,.000,,,.000,.000,G,DET,palmetr01
442,Marcus Paige,0.0,15.7,16.1,0.0,0.0,0.0,23.0,2017-18,2017-18,24,5,0,5.1,18.0,2.6,7.7,2.6,10.3,2.6,2.6,0.0,5.1,5.1,3.9,0.0,0.0,0.0,0.0,15.4,.286,.333,.250,1.000,.403,.357,G,CHO,paigema01
443,Jaysean Paige,0.0,16.3,18.1,0.0,0.0,25.0,24.5,2021-22,2021-22,27,1,0,0.0,15.4,0.0,5.1,0.0,10.3,0.0,0.0,0.0,5.1,5.1,5.1,0.0,0.0,5.1,10.3,0.0,.000,.000,.000,,.000,.000,G,DET,paigeja01
444,Zaza Pachulia,12.7,21.7,13.5,1.9,1.2,18.4,16.5,2012-13,2018-19,28-34,461,302,4.3,9.1,4.3,9.0,0.0,0.1,3.1,3.9,4.0,7.1,11.1,3.3,1.4,0.5,2.4,4.0,11.7,.476,.479,.000,.787,.542,.476,C,ATLDALDETGSWMIL,pachuza01
445,Tariq Owens,14.6,7.5,0.0,3.2,0.0,0.0,16.7,2019-20,2019-20,24,3,0,2.4,12.0,2.4,7.2,0.0,4.8,4.8,4.8,4.8,2.4,7.2,0.0,2.4,0.0,0.0,2.4,9.6,.200,.333,.000,1.000,.340,.200,F,PHO,owensta01
446,Travis Outlaw,3.9,13.4,7.2,1.0,1.4,7.6,17.4,2012-13,2013-14,28-29,101,6,4.9,12.0,3.6,8.0,1.3,4.0,1.9,2.5,1.3,4.2,5.5,1.6,0.7,0.6,1.1,3.1,13.0,.406,.443,.329,.769,.495,.460,F,SAC,outlatr01
447,Kelly Oubre Jr.,4.1,14.7,5.9,1.8,1.6,8.3,21.4,2015-16,2022-23,20-27,527,202,6.4,14.8,4.3,8.3,2.1,6.5,2.9,3.8,1.3,4.8,6.1,1.4,1.4,0.7,1.5,3.6,17.8,.434,.516,.330,.751,.542,.506,F,CHOGSWPHOWAS,oubreke01
448,Daniel Oturu,13.5,18.1,7.2,1.1,4.4,12.1,17.5,2020-21,2021-22,21-22,33,0,4.8,11.1,4.6,10.0,0.2,1.1,2.3,3.3,4.2,5.9,10.1,1.9,0.8,1.7,1.7,4.8,12.1,.431,.462,.167,.706,.481,.440,F-C,LACTOR,oturuda01
449,Cedi Osman,2.2,12.4,12.7,1.4,0.6,10.8,18.6,2017-18,2022-23,22-27,404,183,5.4,12.5,3.0,5.8,2.4,6.7,1.8,2.5,0.7,3.9,4.6,3.1,1.0,0.2,1.6,3.0,14.9,.427,.512,.353,.715,.545,.521,F,CLE,osmande01
450,Daniel Orton,9.2,18.2,7.7,1.4,4.2,19.0,14.1,2012-13,2013-14,22-23,35,4,3.3,7.4,3.3,7.4,0.0,0.0,3.2,4.8,2.9,5.9,8.8,1.9,1.0,1.9,2.2,5.2,9.9,.452,.452,,.681,.523,.452,C-F,OKCPHI,ortonda01
451,Chinanu Onuaku,4.5,16.3,7.4,1.9,1.1,33.7,12.1,2016-17,2017-18,20-21,6,1,3.4,5.8,3.4,5.8,0.0,0.0,1.9,1.9,1.5,5.4,6.8,1.9,1.5,0.5,3.4,4.9,8.8,.583,.583,,1.000,.654,.583,F-C,HOU,onuakch01
452,Arinze Onuaku,9.7,22.3,10.9,0.4,2.5,15.4,11.4,2013-14,2016-17,26-29,19,1,4.3,6.6,4.3,6.6,0.0,0.0,1.1,2.9,3.1,6.9,10.0,2.6,0.3,1.1,1.4,3.4,9.7,.652,.652,,.400,.620,.652,C,CLEMINNOPORL,onuakar01
453,Miye Oni,4.8,12.1,7.0,1.1,1.2,12.6,10.7,2019-20,2021-22,22-24,80,1,2.6,7.5,0.6,1.3,2.0,6.2,0.5,0.6,1.6,4.2,5.8,2.0,0.8,0.5,1.1,4.1,7.8,.350,.440,.330,.750,.499,.486,G,UTA,onimi01
454,Eugene Omoruyi,7.2,12.3,6.6,2.0,0.4,11.3,19.2,2021-22,2022-23,24-25,44,6,5.6,12.7,4.2,7.7,1.4,4.9,2.9,4.3,2.4,4.0,6.4,1.6,1.5,0.2,1.8,5.0,15.5,.442,.542,.286,.671,.532,.498,F,DALDETOKC,omorueu01
455,Kelly Olynyk,5.7,19.4,15.0,1.7,1.8,15.3,19.7,2013-14,2022-23,22-31,678,234,5.9,12.3,3.9,7.0,1.9,5.3,2.7,3.4,1.9,6.3,8.2,3.5,1.2,0.8,2.5,4.5,16.4,.478,.561,.368,.794,.595,.557,C-F,BOSDETHOUMIAUTA,olynyke01
456,Cameron Oliver,5.6,17.1,10.1,1.1,3.4,5.5,17.8,2020-21,2021-22,24-25,6,0,8.0,13.3,6.6,8.9,1.4,4.4,0.8,1.9,1.9,5.5,7.5,2.2,0.8,1.4,0.8,4.4,18.3,.604,.750,.313,.429,.646,.656,F,ATLHOU,oliveca01
457,Victor Oladipo,2.0,13.6,19.6,2.5,1.2,13.7,25.2,2013-14,2022-23,21-30,504,397,6.9,15.8,5.1,10.6,1.8,5.2,3.2,4.1,0.6,4.3,5.0,4.4,1.8,0.5,2.8,2.7,18.8,.436,.480,.347,.788,.534,.493,G,HOUINDMIAOKCORL,oladivi01
458,KZ Okpala,4.8,12.6,6.5,1.2,2.7,11.1,11.6,2019-20,2022-23,20-23,98,12,3.2,7.8,2.1,4.1,1.0,3.7,0.9,1.3,1.5,4.0,5.5,1.8,0.9,1.0,1.0,4.7,8.3,.409,.518,.286,.667,.496,.476,F,MIASAC,okpalkz01
459,Isaac Okoro,3.7,7.9,8.1,1.5,1.2,10.9,13.0,2020-21,2022-23,20-22,210,174,3.8,8.3,2.7,5.0,1.1,3.4,1.9,2.6,1.2,2.5,3.7,2.1,1.1,0.5,1.2,3.1,10.7,.459,.546,.330,.749,.565,.526,G-F,CLE,okorois01
