,Player,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,WS,ORtg,DRtg,VORP,PER,TRB%,AST%,TOV%,USG%,HOF,MVP
143,Victor Oladipo,2,32.3,6.2,14.2,4.6,9.5,1.6,4.6,2.9,3.7,0.6,3.9,4.5,3.9,1.6,0.5,2.5,2.4,16.8,0.436,0.48,0.345,0.79,0.533,0.492,G,25.5,103.0,107.0,10.8,16.0,7.7,19.6,13.7,25.1,0,0
144,Mehmet Okur,1,29.1,4.8,10.4,3.8,7.9,0.9,2.5,3.0,3.8,2.0,5.0,7.0,1.7,0.5,0.7,1.6,2.9,13.5,0.458,0.484,0.375,0.797,0.558,0.503,C-F,54.7,112.0,105.0,14.5,17.1,14.5,10.1,11.4,21.4,0,0
146,Charles Oakley,1,31.4,3.8,8.0,3.7,7.8,0.1,0.2,2.1,2.7,3.1,6.5,9.5,2.5,1.1,0.3,2.2,3.4,9.7,0.471,0.477,0.253,0.761,0.526,0.474,F-C,89.7,105.0,102.0,15.4,13.4,17.3,11.9,19.1,15.8,0,0
147,Shaquille O'Neal,15,34.7,9.4,16.1,9.4,16.1,0.0,0.0,4.9,9.3,3.5,7.4,10.9,2.5,0.6,2.3,2.7,3.4,23.7,0.582,0.583,0.045,0.527,0.586,0.582,C,181.7,113.0,101.0,75.5,26.4,17.8,13.9,11.9,29.5,1,1
148,Jermaine O'Neal,6,27.1,5.1,10.9,5.1,10.8,0.0,0.1,3.0,4.2,2.0,5.2,7.2,1.4,0.5,1.8,1.9,2.9,13.2,0.467,0.469,0.147,0.715,0.517,0.467,C-F,66.0,102.0,100.0,15.6,17.9,15.3,9.5,12.7,24.8,0,0
149,Dirk Nowitzki,14,33.8,7.3,15.6,6.0,12.2,1.3,3.4,4.8,5.4,1.0,6.6,7.5,2.4,0.8,0.8,1.6,2.4,20.7,0.471,0.496,0.38,0.879,0.577,0.512,F,206.3,116.0,104.0,84.8,22.4,12.7,12.6,8.4,26.5,0,1
151,Joakim Noah,2,27.7,3.3,6.8,3.3,6.8,0.0,0.0,2.1,2.9,3.2,5.8,9.0,2.8,0.8,1.3,1.7,2.8,8.8,0.491,0.493,0.0,0.7,0.54,0.491,C,61.9,112.0,100.0,20.9,17.6,18.2,16.1,17.2,16.0,0,0
152,Norm Nixon,2,35.5,6.8,14.1,6.7,13.6,0.1,0.4,2.0,2.6,0.6,2.0,2.6,8.3,1.5,0.1,3.1,2.6,15.7,0.483,0.489,0.294,0.772,0.517,0.488,G,47.6,106.0,109.0,10.2,15.3,4.0,31.3,16.9,20.6,0,0
153,Jameer Nelson,1,27.9,4.3,9.9,3.0,6.3,1.3,3.6,1.4,1.7,0.5,2.5,3.0,5.1,0.9,0.1,2.1,2.5,11.3,0.436,0.474,0.368,0.81,0.532,0.502,G,48.3,107.0,109.0,11.6,14.4,6.1,30.1,16.4,20.7,0,0
155,Calvin Natt,1,31.4,6.7,12.7,6.7,12.5,0.0,0.1,3.8,4.9,2.3,4.5,6.8,2.2,0.9,0.3,2.1,2.3,17.2,0.528,0.531,0.219,0.768,0.579,0.529,F,57.2,114.0,107.0,15.4,17.9,11.8,9.8,12.4,21.3,0,0
156,Steve Nash,8,31.3,5.2,10.6,3.8,7.4,1.4,3.2,2.5,2.8,0.5,2.5,3.0,8.5,0.7,0.1,2.9,1.6,14.3,0.49,0.518,0.428,0.904,0.605,0.556,G,129.7,118.0,111.0,48.2,20.0,5.4,41.5,19.5,21.0,1,1
157,Larry Nance,3,33.4,6.9,12.7,6.9,12.6,0.0,0.1,3.2,4.2,2.5,5.5,8.0,2.6,0.9,2.2,1.9,2.9,17.1,0.546,0.548,0.145,0.755,0.586,0.546,F-C,109.6,116.0,104.0,43.5,19.9,13.6,11.8,11.3,20.6,0,0
158,Dikembe Mutombo,8,30.8,3.5,6.7,3.5,6.7,0.0,0.0,2.8,4.1,3.2,7.1,10.3,1.0,0.4,2.8,1.8,2.8,9.8,0.518,0.518,0.0,0.684,0.573,0.518,C,117.0,111.0,99.0,33.9,17.2,19.1,5.3,17.5,15.0,1,0
