Rk,Player,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
155,Willie Naulls,1956-57,1965-66,22-31,716,,4,28.8,6.3,15.6,6.3,15.6,,,3.1,3.9,,,9.1,1.6,,,,3.1,15.8,.406,.406,,.812,.457,.406,F-C,BOSNYKSFWSTL,naullwi01
156,Calvin Natt,1979-80,1989-90,23-33,599,371,1,31.4,6.7,12.7,6.7,12.5,0.0,0.1,3.8,4.9,2.3,4.5,6.8,2.2,0.9,0.3,2.1,2.3,17.2,.528,.531,.219,.768,.579,.529,F,DENINDNJNPORSAS,nattca01
157,Steve Nash,1996-97,2013-14,22-39,1217,1053,8,31.3,5.2,10.6,3.8,7.4,1.4,3.2,2.5,2.8,0.5,2.5,3.0,8.5,0.7,0.1,2.9,1.6,14.3,.490,.518,.428,.904,.605,.556,G,DALLALPHO,nashst01
158,Larry Nance,1981-82,1993-94,22-34,920,795,3,33.4,6.9,12.7,6.9,12.6,0.0,0.1,3.2,4.2,2.5,5.5,8.0,2.6,0.9,2.2,1.9,2.9,17.1,.546,.548,.145,.755,.586,.546,F-C,CLEPHO,nancela01
159,Dikembe Mutombo,1991-92,2008-09,25-42,1196,997,8,30.8,3.5,6.7,3.5,6.7,0.0,0.0,2.8,4.1,3.2,7.1,10.3,1.0,0.4,2.8,1.8,2.8,9.8,.518,.518,.000,.684,.573,.518,C,ATLDENHOUNJNNYKPHI,mutomdi01
160,Dejounte Murray,2016-17,2022-23,20-26,389,318,1,27.7,5.6,12.4,4.8,9.7,0.9,2.7,1.7,2.2,1.0,4.9,5.9,5.0,1.4,0.3,1.9,1.8,13.9,.456,.488,.337,.783,.521,.492,G,ATLSAS,murrade01
161,Calvin Murphy,1970-71,1982-83,22-34,1002,0,1,30.5,7.2,15.0,7.2,14.9,0.0,0.1,3.4,3.9,0.5,1.0,2.1,4.4,1.2,0.1,0.8,3.2,17.9,.482,.484,.139,.892,.536,.483,G,HOUSDR,murphca01
162,Jeff Mullins,1964-65,1975-76,22-33,804,,3,30.6,6.7,14.5,6.7,14.5,,,2.8,3.4,0.2,0.4,4.3,3.8,0.2,0.0,,2.7,16.2,.463,.463,,.814,.507,.463,G-F,GSWSFWSTL,mullije01
163,Chris Mullin,1985-86,2000-01,22-37,986,822,5,32.6,6.8,13.4,6.0,11.3,0.8,2.2,3.7,4.2,1.0,3.1,4.1,3.5,1.6,0.6,2.3,2.1,18.2,.509,.533,.384,.865,.594,.540,F-G,GSWIND,mullich01
164,Alonzo Mourning,1992-93,2007-08,22-37,838,686,7,31.0,6.1,11.6,6.1,11.5,0.0,0.1,4.8,7.0,2.6,5.9,8.5,1.1,0.5,2.8,2.6,3.4,17.1,.527,.530,.247,.692,.583,.529,C-F,CHHMIANJN,mournal01
165,Ja Morant,2019-20,2022-23,20-23,244,242,2,32.2,8.2,17.4,6.9,13.4,1.3,3.9,4.9,6.5,1.0,3.8,4.8,7.4,1.0,0.3,3.3,1.6,22.5,.472,.516,.322,.754,.557,.508,G,MEM,moranja01
166,Earl Monroe,1967-68,1979-80,23-35,926,,4,32.0,7.5,16.1,7.5,16.1,0.0,0.0,3.9,4.9,0.3,1.1,3.0,3.9,0.5,0.1,0.3,2.6,18.8,.464,.464,,.807,.517,.464,G,BALNYK,monroea01
167,Sidney Moncrief,1979-80,1990-91,22-33,767,513,5,30.2,5.4,10.7,5.2,10.2,0.1,0.5,4.7,5.6,1.9,2.8,4.7,3.6,1.2,0.3,2.0,2.1,15.6,.502,.513,.284,.831,.591,.509,G,ATLMIL,moncrsi01
168,Jack Molinas,1953-54,1953-54,22-22,32,,1,29.9,3.6,9.1,3.6,9.1,,,4.4,5.8,,,7.1,1.6,,,,2.6,11.6,.390,.390,,.759,.494,.390,F,FTW,molinja01
