Rk,Player,WS,ORtg,DRtg,VORP,PER,TRB%,USG%,TOV%,AST%,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
238,World B. Free,67.7,110,109,22.0,18.8,4.8,29.0,10.9,19.0,1975-76,1987-88,22-34,886,387,1,30.4,7.3,16.1,7.1,15.4,0.2,0.7,5.3,7.1,1.1,1.6,2.7,3.7,1.0,0.3,2.1,2.6,20.3,.456,.461,.337,.753,.527,.463,G,CLEGSWHOUPHISDC,freewo01
239,Walt Frazier,113.5,104,98,15.5,19.1,7.6,21.7,12.9,23.0,1967-68,1979-80,22-34,825,,7,37.5,7.4,15.2,7.4,15.2,0.0,0.0,4.0,5.1,0.5,1.8,5.9,6.1,0.8,0.1,0.2,2.6,18.9,.490,.490,.000,.786,.542,.490,G,CLENYK,fraziwa01
240,Steve Francis,54.1,106,105,22.7,18.3,8.6,25.0,17.2,28.4,1999-00,2007-08,22-30,576,543,3,37.6,6.2,14.4,5.2,11.4,1.0,2.9,4.8,6.1,1.7,3.9,5.6,6.0,1.5,0.4,3.5,3.1,18.1,.429,.451,.341,.797,.533,.463,G,HOUNYKORL,francst01
241,De'Aaron Fox,22.6,110,115,8.0,18.3,6.2,27.8,13.1,30.2,2017-18,2022-23,20-25,390,375,1,32.3,7.5,15.8,6.2,12.0,1.2,3.8,4.0,5.5,0.5,3.1,3.6,6.2,1.3,0.4,2.8,2.6,20.2,.472,.520,.323,.734,.554,.511,G,SAC,foxde01
242,Sleepy Floyd,50.6,108,110,16.6,15.5,5.1,21.1,16.3,27.7,1982-83,1994-95,22-34,957,584,1,27.6,4.6,10.5,4.1,8.8,0.5,1.7,3.0,3.6,0.7,2.0,2.6,5.4,1.2,0.2,2.4,2.1,12.8,.444,.467,.324,.815,.531,.470,G,GSWHOUNJNSAS,floydsl01
243,Michael Finley,85.2,108,108,28.8,16.0,7.2,21.7,9.0,14.5,1995-96,2009-10,22-36,1103,875,2,34.4,6.1,13.7,4.8,10.2,1.3,3.5,2.2,2.7,1.0,3.3,4.4,2.9,0.9,0.3,1.5,1.6,15.7,.444,.467,.375,.811,.527,.492,G-F,BOSDALPHOSAS,finlemi01
244,Patrick Ewing,126.4,106,99,50.1,21.0,16.4,28.0,13.6,9.8,1985-86,2001-02,23-39,1183,1122,11,34.3,8.2,16.3,8.2,16.2,0.0,0.1,4.6,6.2,2.3,7.5,9.8,1.9,1.0,2.4,3.0,3.4,21.0,.504,.507,.152,.740,.553,.505,C-F,NYKORLSEA,ewingpa01
245,Julius Erving,106.2,111,101,51.8,22.0,10.5,26.8,13.5,17.7,1976-77,1986-87,26-36,836,823,11,34.3,8.7,17.1,8.6,16.9,0.1,0.2,4.6,5.9,2.5,4.2,6.7,3.9,1.8,1.5,2.8,2.7,22.0,.507,.510,.261,.777,.558,.509,F-G,PHI,ervinju01
246,Alex English,100.7,111,110,38.2,19.9,9.0,26.5,10.9,17.1,1976-77,1990-91,23-37,1193,753,8,31.9,8.9,17.6,8.9,17.6,0.0,0.1,3.6,4.3,2.3,3.2,5.5,3.6,0.9,0.7,2.4,2.5,21.5,.507,.508,.217,.832,.550,.507,F,DALDENINDMIL,englial01
247,Joel Embiid,55.3,116,104,26.4,27.8,19.4,35.1,13.2,19.5,2016-17,2022-23,22-28,390,390,6,31.8,8.9,17.9,7.8,14.4,1.2,3.4,8.2,10.0,2.2,8.9,11.2,3.4,0.9,1.7,3.4,3.1,27.2,.499,.538,.338,.819,.610,.532,C,PHI,embiijo01
248,Dale Ellis,84.7,114,111,22.9,16.0,6.9,22.6,9.6,8.1,1983-84,1999-00,23-39,1209,589,1,28.8,6.1,12.6,4.6,9.1,1.4,3.5,2.2,2.8,1.3,2.2,3.5,1.4,0.8,0.2,1.5,2.1,15.7,.479,.509,.403,.784,.567,.536,G-F,CHHDALDENMILSASSEA,ellisda01
249,Sean Elliott,55.7,110,107,13.5,13.9,7.3,19.5,12.2,12.0,1989-90,2000-01,21-32,742,712,2,33.0,5.2,11.2,4.4,9.1,0.8,2.1,3.0,3.8,1.1,3.2,4.3,2.6,0.8,0.4,1.8,2.2,14.2,.465,.486,.375,.799,.553,.500,F,DETSAS,elliose01
250,Anthony Edwards,8.8,106,114,3.9,16.0,8.1,27.7,12.1,17.3,2020-21,2022-23,19-21,218,201,1,34.2,7.9,17.8,5.2,10.2,2.7,7.6,3.3,4.3,0.7,4.3,5.1,3.7,1.4,0.6,2.7,2.2,21.7,.441,.507,.352,.772,.551,.516,G,MIN,edwaran01
251,Mark Eaton,44.8,97,100,11.8,10.9,15.0,10.7,19.8,4.3,1982-83,1992-93,26-36,875,815,1,28.8,2.4,5.2,2.4,5.2,0.0,0.0,1.2,1.9,2.1,5.8,7.9,1.0,0.4,3.5,1.5,3.4,6.0,.458,.458,.000,.649,.496,.458,C,UTA,eatonma01
252,Kevin Durant,161.4,118,106,80.0,25.3,10.8,30.3,12.6,20.6,2007-08,2022-23,19-34,982,979,13,36.7,9.3,18.7,7.4,13.8,1.9,4.9,6.7,7.6,0.7,6.4,7.1,4.3,1.1,1.1,3.2,1.9,27.3,.499,.539,.384,.886,.618,.549,F-G,BRKGSWOKCPHOSEA,duranke01
253,Tim Duncan,206.4,110,96,91.1,24.2,18.4,27.0,12.3,16.4,1997-98,2015-16,21-39,1392,1389,15,34.0,7.4,14.6,7.4,14.5,0.0,0.1,4.2,6.1,2.8,8.1,10.8,3.0,0.7,2.2,2.4,2.4,19.0,.506,.509,.179,.696,.551,.507,F-C,SAS,duncati01
254,Joe Dumars,86.2,113,110,25.3,15.3,3.6,21.1,12.3,20.5,1985-86,1998-99,22-35,1018,944,6,34.5,5.9,12.8,4.9,10.2,1.0,2.5,3.4,4.0,0.7,1.5,2.2,4.5,0.9,0.1,2.0,1.8,16.1,.460,.480,.382,.843,.554,.498,G,DET,dumarjo01
255,Andre Drummond,70.2,109,101,17.9,21.8,24.8,21.8,13.5,7.7,2012-13,2022-23,19-29,780,630,2,28.3,5.6,10.3,5.6,10.1,0.0,0.2,2.1,4.3,4.3,8.4,12.7,1.3,1.3,1.4,1.9,3.0,13.2,.542,.548,.128,.475,.542,.543,C,BRKCHICLEDETLALPHI,drumman01
256,Clyde Drexler,135.6,114,105,70.2,21.1,9.9,25.4,12.8,25.2,1983-84,1997-98,21-35,1086,950,10,34.6,7.7,16.3,6.9,13.9,0.8,2.4,4.3,5.5,2.4,3.7,6.1,5.6,2.0,0.7,2.7,3.0,20.4,.472,.498,.318,.788,.547,.495,G,HOUPOR,drexlcl01
257,John Drew,68.9,107,102,18.7,20.7,12.3,30.8,12.7,9.4,1974-75,1984-85,20-30,739,104,2,29.5,7.4,15.8,7.4,15.7,0.0,0.1,5.8,7.8,2.9,4.0,6.9,1.7,1.4,0.3,1.9,3.6,20.7,.470,.472,.175,.748,.538,.471,F-G,ATLUTA,drewjo01
258,Goran Dragić,56.6,109,110,15.9,16.5,6.2,23.2,15.5,27.7,2008-09,2022-23,22-36,941,530,1,27.1,4.9,10.6,3.7,7.3,1.2,3.4,2.3,3.1,0.7,2.3,3.0,4.7,0.9,0.2,2.2,2.3,13.3,.459,.505,.361,.766,.556,.516,G,BRKCHIHOUMIAMILPHOTOR,dragigo01
259,Luka Dončić,38.9,114,110,26.2,25.2,13.7,35.7,14.4,42.1,2018-19,2022-23,19-23,326,326,4,34.3,9.4,20.1,6.6,11.9,2.8,8.2,6.1,8.2,1.0,7.6,8.6,8.0,1.1,0.4,4.0,2.3,27.6,.465,.552,.339,.738,.581,.534,G-F,DAL,doncilu01
260,James Donaldson,62.3,114,106,12.4,13.8,15.8,12.8,18.0,3.9,1980-81,1994-95,23-37,957,659,1,27.4,3.2,5.7,3.2,5.7,0.0,0.0,2.1,2.8,2.2,5.7,7.8,0.8,0.4,1.3,1.5,2.1,8.6,.571,.571,,.732,.618,.571,C,DALLACNYKSDCSEAUTA,donalja01
261,Vlade Divac,96.4,108,101,36.3,17.7,15.4,19.2,16.7,16.0,1989-90,2004-05,21-36,1134,979,1,29.8,4.6,9.3,4.5,8.9,0.1,0.4,2.5,3.7,2.5,5.7,8.2,3.1,1.1,1.4,2.2,3.2,11.8,.495,.506,.235,.692,.543,.500,C,CHHLALSAC,divacvl01
262,DeMar DeRozan,91.9,112,111,25.2,19.0,7.3,27.4,9.9,19.4,2009-10,2022-23,20-33,1026,1014,6,34.4,7.6,16.1,7.1,14.6,0.4,1.5,5.5,6.5,0.7,3.7,4.4,4.0,1.0,0.3,2.1,2.3,21.0,.468,.486,.292,.840,.553,.482,G-F,CHISASTOR,derozde01
263,Luol Deng,74.0,107,105,22.9,15.4,10.1,20.6,10.3,11.2,2004-05,2018-19,19-33,902,828,2,34.3,5.7,12.5,5.0,10.3,0.7,2.2,2.7,3.5,1.6,4.4,6.1,2.3,1.0,0.5,1.6,1.7,14.8,.456,.482,.332,.769,.528,.485,F,CHICLELALMIAMIN,denglu01
264,Walter Davis,76.9,108,107,25.3,19.1,5.8,27.4,12.7,21.1,1977-78,1991-92,23-37,1033,373,6,27.9,7.9,15.4,7.7,14.8,0.2,0.6,3.0,3.6,0.9,2.1,3.0,3.8,1.2,0.1,2.5,2.4,18.9,.511,.521,.272,.851,.558,.516,G-F,DENPHOPOR,daviswa03
265,Dale Davis,86.9,114,103,18.4,15.2,17.1,14.0,12.0,5.2,1991-92,2006-07,22-37,1094,863,1,27.1,3.3,6.2,3.3,6.2,0.0,0.0,1.4,2.5,3.0,4.8,7.9,0.9,0.6,1.2,1.0,2.6,8.0,.530,.530,.000,.562,.546,.530,F-C,DETGSWINDPOR,davisda01
266,Baron Davis,63.1,105,105,33.1,17.8,6.3,24.6,14.7,36.3,1999-00,2011-12,20-32,835,692,2,34.2,5.9,14.3,4.3,9.3,1.6,5.0,2.8,3.9,0.9,2.9,3.8,7.2,1.8,0.4,2.8,2.8,16.1,.409,.456,.320,.711,.502,.465,G,CHHCLEGSWLACNOHNYK,davisba01
267,Antonio Davis,59.6,106,104,4.4,14.1,15.0,17.6,13.4,6.4,1993-94,2005-06,25-37,903,524,1,28.9,3.5,7.9,3.5,7.9,0.0,0.0,3.0,4.1,2.6,4.9,7.5,1.1,0.5,1.0,1.5,2.8,10.0,.448,.449,.087,.727,.518,.448,F-C,CHIINDNYKTOR,davisan01
268,Anthony Davis,99.2,117,104,45.7,27.0,16.6,28.4,8.8,11.9,2012-13,2022-23,19-29,654,647,8,34.4,9.0,17.3,8.5,15.7,0.5,1.6,5.6,7.1,2.6,7.8,10.4,2.4,1.3,2.3,2.0,2.4,24.0,.519,.541,.301,.793,.589,.533,F-C,LALNOHNOP,davisan02
269,Brad Daugherty,65.2,114,105,21.3,18.9,14.8,22.2,14.6,15.5,1986-87,1993-94,21-28,548,546,5,36.5,7.0,13.1,7.0,13.1,0.0,0.0,5.0,6.7,2.2,7.3,9.5,3.7,0.8,0.7,2.8,2.7,19.0,.532,.533,.143,.747,.590,.532,C,CLE,daughbr01
270,Adrian Dantley,134.2,119,109,43.8,21.5,8.6,26.1,12.5,13.0,1976-77,1990-91,21-35,955,546,6,35.8,8.6,15.8,8.5,15.8,0.0,0.0,7.2,8.7,2.3,3.4,5.7,3.0,1.0,0.2,2.6,2.7,24.3,.540,.541,.171,.818,.617,.540,F-G,BUFDALDETINDLALMILUTA,dantlad01
271,Bob Dandridge,80.3,104,100,15.1,16.7,9.4,23.1,13.8,13.5,1969-70,1981-82,22-34,839,0,4,35.2,7.7,15.9,7.7,15.9,0.0,0.0,3.1,4.0,1.1,2.8,6.8,3.4,0.8,0.4,0.8,3.5,18.5,.484,.484,.167,.780,.524,.484,F-G,MILWSB,dandrbo01
272,Stephen Curry,127.2,118,108,65.3,23.8,7.5,28.8,13.8,31.3,2009-10,2022-23,21-34,877,871,9,34.4,8.4,17.7,4.6,8.8,3.8,9.0,3.9,4.3,0.7,4.1,4.7,6.5,1.6,0.2,3.2,2.4,24.6,.475,.524,.428,.908,.627,.583,G,GSW,curryst01
273,Terry Cummings,91.1,108,105,22.5,18.3,14.4,25.6,10.5,10.5,1982-83,1999-00,21-38,1183,815,2,28.7,6.8,14.1,6.8,13.9,0.0,0.1,2.8,4.0,2.7,4.6,7.3,1.9,1.1,0.5,1.9,3.2,16.4,.484,.486,.295,.706,.520,.485,F,GSWMILNYKPHISASSDCSEA,cummite01
274,Dave Cowens,86.3,106,96,21.5,17.0,17.1,19.0,12.6,13.7,1970-71,1982-83,22-34,766,89,8,38.6,7.5,16.3,7.5,16.3,0.0,0.0,2.6,3.4,2.1,6.7,13.6,3.8,0.8,0.6,0.7,3.8,17.6,.460,.460,.071,.783,.496,.460,C-F,BOSMIL,cowenda01
275,DeMarcus Cousins,46.8,104,104,21.6,22.0,19.0,31.4,15.3,17.9,2010-11,2021-22,20-31,654,561,4,29.8,7.0,15.2,6.3,13.2,0.7,2.0,5.0,6.7,2.6,7.6,10.2,3.0,1.3,1.1,3.3,3.7,19.6,.460,.479,.331,.737,.539,.481,C-F,DENGSWHOULACMILNOPSAC,couside01
276,Mike Conley,91.5,114,109,36.0,17.4,5.4,21.5,12.9,28.8,2007-08,2022-23,20-35,1020,983,1,31.9,5.2,11.8,3.6,7.7,1.6,4.1,2.7,3.3,0.5,2.5,3.0,5.7,1.4,0.2,2.0,2.0,14.6,.438,.469,.381,.820,.552,.505,G,MEMMINUTA,conlemi01
277,Doug Collins,38.0,107,102,8.4,16.1,4.8,22.4,14.8,14.6,1973-74,1980-81,22-29,415,197,4,33.6,7.1,14.1,7.1,14.1,0.0,0.0,3.8,4.5,1.1,2.1,3.2,3.3,1.2,0.3,1.2,3.0,17.9,.501,.501,.000,.833,.557,.501,G-F,PHI,collido01
278,Derrick Coleman,64.3,105,103,22.3,18.0,15.4,23.8,14.3,13.0,1990-91,2004-05,23-37,781,672,1,33.2,5.9,13.2,5.5,11.8,0.4,1.4,4.3,5.5,2.7,6.6,9.3,2.5,0.8,1.3,2.6,2.6,16.5,.447,.465,.295,.769,.526,.462,F-C,CHHDETNJNPHI,colemde01
279,Phil Chenier,39.3,95,97,11.5,15.3,5.3,21.3,12.5,13.5,1971-72,1980-81,21-30,578,,3,33.1,7.1,16.0,7.1,16.0,0.0,0.0,2.9,3.6,0.6,2.0,3.6,3.0,1.2,0.4,0.3,2.0,17.2,.444,.444,.400,.806,.487,.445,G,BALCAPGSWINDWSB,cheniph01
280,Maurice Cheeks,103.5,116,105,42.1,16.5,4.9,15.2,17.5,29.2,1978-79,1992-93,22-36,1101,978,4,31.6,4.5,8.5,4.4,8.3,0.0,0.2,2.1,2.7,0.6,2.2,2.8,6.7,2.1,0.3,2.1,2.1,11.1,.523,.529,.255,.793,.572,.526,G,ATLNJNNYKPHISAS,cheekma01
281,Tyson Chandler,102.1,118,103,16.9,16.1,18.8,13.2,17.9,4.7,2001-02,2019-20,19-37,1160,886,1,27.3,3.1,5.1,3.1,5.1,0.0,0.0,2.1,3.2,3.0,6.0,9.0,0.8,0.5,1.2,1.4,2.8,8.2,.597,.598,.000,.644,.626,.597,C,CHACHIDALHOULALNOHNOKNYKPHO,chandty01
282,Tom Chambers,79.0,108,108,12.0,16.5,11.2,25.4,12.1,10.1,1981-82,1997-98,22-38,1107,743,4,30.6,6.7,14.2,6.5,13.6,0.2,0.7,4.6,5.7,1.8,4.3,6.1,2.1,0.8,0.6,2.3,3.4,18.1,.468,.476,.307,.807,.542,.476,F-C,CHHPHIPHOSDCSEAUTA,chambto01
283,Cedric Ceballos,40.4,110,107,10.1,19.3,12.4,25.9,11.3,8.3,1990-91,2000-01,21-31,609,313,1,24.2,5.6,11.2,5.2,10.0,0.4,1.2,2.7,3.6,2.1,3.3,5.3,1.2,0.7,0.3,1.6,1.8,14.3,.500,.524,.309,.753,.559,.518,F,DALDETLALMIAPHO,cebalce01
284,Sam Cassell,87.5,110,108,28.8,19.5,6.2,25.7,14.4,34.4,1993-94,2007-08,24-38,993,690,1,30.0,5.7,12.6,5.1,10.6,0.7,2.0,3.6,4.2,0.6,2.6,3.2,6.0,1.1,0.2,2.4,2.8,15.7,.454,.477,.331,.861,.544,.480,G,BOSDALHOULACMILMINNJNPHO,cassesa01
285,Bill Cartwright,72.8,112,107,9.7,15.2,12.8,19.2,14.9,7.1,1979-80,1994-95,22-37,963,676,1,28.5,4.8,9.2,4.8,9.2,0.0,0.0,3.5,4.6,1.9,4.5,6.3,1.4,0.5,0.7,2.0,2.9,13.2,.525,.525,.000,.771,.588,.525,C,CHINYKSEA,cartwbi01
286,Vince Carter,125.3,108,107,57.9,18.6,8.2,26.3,9.7,19.3,1998-99,2019-20,22-43,1541,983,8,30.1,6.0,13.8,4.5,9.8,1.5,4.0,3.1,3.9,1.1,3.2,4.3,3.1,1.0,0.6,1.7,2.6,16.7,.435,.462,.371,.798,.536,.489,G-F,ATLDALMEMNJNORLPHOSACTOR,cartevi01
287,Joe Barry Carroll,35.6,102,107,8.2,16.4,12.9,24.3,14.1,8.3,1980-81,1990-91,22-32,705,533,1,32.4,7.1,15.0,7.1,15.0,0.0,0.0,3.4,4.6,2.4,5.3,7.7,1.8,1.0,1.6,2.8,3.1,17.7,.474,.475,.000,.747,.519,.474,C-F,DENGSWHOUNJNPHO,carrojo01
288,Austin Carr,32.9,102,105,5.2,15.0,5.2,22.1,11.7,14.5,1971-72,1980-81,23-32,682,,1,28.8,6.4,14.2,6.4,14.2,0.0,0.0,2.6,3.2,1.0,1.1,2.9,2.8,0.6,0.1,0.7,2.0,15.4,.449,.449,.154,.804,.491,.449,G,CLEDALWSB,carrau01
289,Andrew Bynum,37.4,114,103,9.1,19.6,17.0,19.9,13.6,7.5,2005-06,2013-14,18-26,418,319,1,25.6,4.6,8.2,4.6,8.2,0.0,0.0,2.4,3.4,2.4,5.3,7.7,1.2,0.3,1.6,1.5,2.5,11.5,.556,.557,.111,.690,.592,.556,C,CLEINDLAL,bynuman01
290,Jimmy Butler,104.8,122,107,43.6,21.6,9.0,22.9,9.5,20.6,2011-12,2022-23,22-33,751,646,6,33.2,5.9,12.6,5.1,10.2,0.8,2.4,5.6,6.6,1.6,3.7,5.4,4.2,1.6,0.5,1.6,1.4,18.1,.466,.501,.323,.842,.583,.497,F-G,CHIMIAMINPHI,butleji01
291,Caron Butler,50.9,105,108,12.6,15.0,9.0,21.7,11.8,12.3,2002-03,2015-16,22-35,881,732,2,32.2,5.2,12.0,4.4,9.6,0.8,2.4,2.8,3.3,1.3,3.7,5.0,2.3,1.3,0.2,1.8,2.4,14.1,.434,.456,.348,.847,.523,.469,F,DALDETLACLALMIAMILOKCSACWAS,butleca01
292,Don Buse,34.9,109,103,13.6,12.7,4.7,12.3,13.6,21.5,1976-77,1984-85,26-34,648,103,1,26.3,2.8,6.4,2.6,5.6,0.3,0.8,1.0,1.3,0.6,1.8,2.3,4.5,1.8,0.1,0.9,1.5,6.9,.442,.457,.333,.780,.497,.462,G,INDKCKPHOPOR,busedo01
293,Kobe Bryant,172.7,110,105,80.1,22.9,8.1,31.8,11.6,24.2,1996-97,2015-16,18-37,1346,1198,18,36.1,8.7,19.5,7.3,15.3,1.4,4.1,6.2,7.4,1.1,4.1,5.2,4.7,1.4,0.5,3.0,2.5,25.0,.447,.479,.329,.837,.550,.482,G-F,LAL,bryanko01
294,Jaylen Brown,29.5,108,109,8.1,16.5,9.6,25.9,11.4,12.4,2016-17,2022-23,20-26,467,360,2,29.7,6.7,14.0,4.8,8.9,1.9,5.1,2.6,3.7,0.9,4.3,5.2,2.2,1.0,0.4,2.0,2.5,17.9,.477,.541,.367,.724,.573,.544,F-G,BOS,brownja02
295,Fred Brown,63.2,107,101,22.6,17.7,5.5,24.2,11.6,20.2,1971-72,1983-84,23-35,963,4,1,25.4,6.2,13.1,6.1,12.7,0.1,0.3,2.0,2.3,0.7,1.7,2.7,3.3,1.2,0.2,0.9,2.0,14.6,.478,.480,.373,.858,.518,.482,G,SEA,brownfr01
296,Terrell Brandon,65.9,110,105,30.3,19.7,6.1,23.9,12.9,35.5,1991-92,2001-02,21-31,724,480,2,29.8,5.4,12.0,4.9,10.5,0.5,1.5,2.5,2.8,0.6,2.4,3.0,6.1,1.6,0.3,2.0,1.8,13.8,.448,.462,.355,.873,.519,.471,G,CLEMILMIN,brandte01
297,Elton Brand,109.6,110,104,37.3,20.5,15.0,22.8,11.8,11.7,1999-00,2015-16,20-36,1058,868,2,33.0,6.2,12.5,6.2,12.4,0.0,0.0,3.4,4.7,3.1,5.4,8.5,2.1,0.9,1.7,1.9,2.9,15.9,.500,.501,.095,.736,.548,.501,F-C,ATLCHIDALLACPHI,brandel01
298,Chris Bosh,106.0,113,105,31.1,20.6,14.1,24.6,10.7,9.9,2003-04,2015-16,19-31,893,881,11,35.8,7.0,14.1,6.6,13.1,0.3,1.0,5.0,6.3,2.2,6.3,8.5,2.0,0.8,1.0,2.0,2.4,19.2,.494,.506,.335,.799,.571,.506,F-C,MIATOR,boshch01
299,Carlos Boozer,80.3,108,102,23.1,19.5,17.7,24.3,12.6,13.2,2002-03,2014-15,21-33,861,775,2,31.2,6.8,13.0,6.8,13.0,0.0,0.0,2.6,3.7,2.4,7.1,9.5,2.2,0.9,0.4,2.1,3.0,16.2,.521,.522,.071,.722,.554,.521,F-C,CHICLELALUTA,boozeca01
300,Devin Booker,35.6,110,114,13.0,18.4,6.5,30.3,12.9,23.7,2015-16,2022-23,19-26,526,501,3,33.8,8.4,18.2,6.4,12.5,2.1,5.8,5.1,5.8,0.6,3.4,4.0,4.7,0.8,0.3,3.1,3.0,23.9,.461,.508,.358,.868,.575,.517,G,PHO,bookede01
301,Mookie Blaylock,71.8,106,105,39.2,16.8,6.6,20.1,14.4,30.9,1989-90,2001-02,22-34,889,800,1,34.9,5.3,12.9,3.8,8.6,1.4,4.3,1.4,1.9,1.1,3.0,4.1,6.7,2.3,0.3,2.3,1.9,13.5,.409,.445,.336,.736,.488,.465,G,ATLGSWNJN,blaylmo01
302,Rolando Blackman,75.6,113,112,19.8,16.7,5.7,23.2,10.3,14.4,1981-82,1993-94,22-34,980,815,4,32.7,7.0,14.3,6.8,13.6,0.2,0.7,3.7,4.4,1.1,2.3,3.3,3.0,0.7,0.3,1.9,1.7,18.0,.493,.501,.343,.840,.555,.501,G,DALNYK,blackro01
303,Otis Birdsong,48.2,107,107,14.3,16.5,5.3,24.5,11.2,16.0,1977-78,1988-89,22-33,696,317,4,31.1,7.7,15.2,7.6,14.9,0.1,0.3,2.6,3.9,1.3,1.7,3.0,3.2,1.2,0.2,2.1,2.6,18.0,.506,.510,.274,.655,.533,.509,G,BOSKCKNJN,birdsot01
304,Larry Bird,145.8,115,101,77.2,23.5,14.5,26.5,12.7,24.7,1979-80,1991-92,23-35,897,870,12,38.4,9.6,19.3,8.9,17.4,0.7,1.9,4.4,5.0,2.0,8.0,10.0,6.3,1.7,0.8,3.1,2.5,24.3,.496,.509,.376,.886,.564,.514,F,BOS,birdla01
305,Dave Bing,68.8,99,100,5.6,17.6,4.7,22.1,16.8,24.3,1966-67,1977-78,23-34,901,,7,36.4,7.7,17.5,7.7,17.5,,,4.9,6.3,0.5,0.8,3.8,6.0,0.5,0.1,0.2,2.9,20.3,.441,.441,,.775,.502,.441,G,BOSDETWSB,bingda01
306,Chauncey Billups,120.8,118,107,43.5,18.8,5.3,21.9,13.6,28.1,1997-98,2013-14,21-37,1043,937,5,31.6,4.5,10.9,2.8,6.4,1.8,4.5,4.3,4.8,0.5,2.4,2.9,5.4,1.0,0.2,2.0,2.1,15.2,.415,.435,.387,.894,.580,.495,G,BOSDENDETLACMINNYKTOR,billuch01
307,Butch Beard,32.8,105,100,6.2,15.0,7.1,16.1,18.8,20.2,1969-70,1978-79,22-31,605,,1,23.6,3.6,7.4,3.6,7.4,,,2.1,2.7,0.8,1.6,3.4,3.6,0.8,0.1,0.3,2.6,9.3,.487,.487,,.771,.540,.487,G,ATLCLEGSWNYKSEA,beardbu01
308,Bradley Beal,52.3,110,112,22.6,18.4,6.5,27.7,11.1,20.6,2012-13,2022-23,19-29,695,661,3,34.7,8.1,17.6,5.9,11.7,2.2,5.9,3.8,4.6,0.9,3.2,4.1,4.3,1.1,0.4,2.5,2.2,22.1,.460,.503,.372,.823,.564,.522,G,WAS,bealbr01
309,Rick Barry,93.4,105,99,24.8,20.2,7.8,23.1,13.2,20.3,1965-66,1979-80,21-35,794,,8,36.3,9.1,20.4,9.0,20.1,0.1,0.3,4.8,5.3,0.6,3.0,6.5,5.1,1.4,0.3,0.7,2.9,23.2,.449,.450,.330,.900,.510,.451,F,GSWHOUSFW,barryri01
310,Dana Barros,49.6,114,110,18.1,16.4,4.7,20.0,13.5,23.7,1989-90,2003-04,22-36,850,264,1,22.9,3.9,8.4,2.6,5.3,1.3,3.1,1.5,1.7,0.3,1.6,1.9,3.3,0.9,0.1,1.4,1.3,10.5,.460,.488,.411,.858,.572,.536,G,BOSDETPHISEA,barroda01
311,Charles Barkley,177.2,119,105,80.5,24.6,18.2,24.8,14.8,17.5,1984-85,1999-00,21-36,1073,1012,11,36.7,7.9,14.5,7.4,12.7,0.5,1.9,5.9,8.1,4.0,7.7,11.7,3.9,1.5,0.8,3.1,3.1,22.1,.541,.581,.266,.735,.612,.558,F,HOUPHIPHO,barklch01
312,LaMelo Ball,10.5,109,112,6.2,18.6,10.7,28.0,15.3,35.8,2020-21,2022-23,19-21,162,142,1,31.8,7.0,16.3,4.1,8.9,2.8,7.5,2.7,3.3,1.3,5.1,6.4,7.3,1.5,0.4,3.2,3.0,19.4,.426,.467,.377,.828,.547,.512,G,CHO,ballla01
313,Vin Baker,47.0,104,107,5.3,16.3,13.4,23.0,13.4,10.2,1993-94,2005-06,22-34,791,604,4,32.5,5.9,12.2,5.9,12.0,0.0,0.2,3.1,4.8,2.9,4.6,7.4,1.9,0.7,1.0,2.2,3.2,15.0,.485,.490,.215,.638,.522,.487,F,BOSHOULACMILNYKSEA,bakervi01
314,B.J. Armstrong,45.0,115,110,8.1,14.5,4.3,18.4,11.9,20.9,1989-90,1999-00,22-32,747,341,1,23.8,3.8,8.0,3.2,6.6,0.6,1.4,1.6,1.9,0.3,1.5,1.8,3.3,0.7,0.1,1.2,1.5,9.8,.477,.487,.425,.856,.555,.513,G,CHHCHIGSWORL,armstbj01
315,Gilbert Arenas,51.3,109,109,22.3,19.6,6.3,27.7,14.3,26.8,2001-02,2011-12,20-30,552,455,3,35.1,6.7,16.0,4.8,10.5,2.0,5.6,5.2,6.5,0.8,3.1,3.9,5.3,1.6,0.2,3.2,3.0,20.7,.421,.458,.351,.803,.547,.482,G,GSWMEMORLWAS,arenagi01
316,Tiny Archibald,83.4,109,105,12.9,18.0,3.4,18.0,20.2,30.1,1970-71,1983-84,22-35,876,268,6,35.6,6.7,14.4,6.7,14.3,0.0,0.1,5.3,6.6,0.4,1.2,2.3,7.4,0.8,0.1,1.3,2.3,18.8,.467,.469,.224,.810,.543,.468,G,BOSCINKCKKCOMILNYN,architi01
317,Carmelo Anthony,108.5,108,109,36.7,19.5,10.1,29.7,10.5,14.4,2003-04,2021-22,19-37,1260,1120,10,34.5,8.0,18.0,6.7,14.1,1.4,3.9,5.0,6.2,1.6,4.6,6.2,2.7,1.0,0.5,2.4,2.8,22.5,.447,.472,.355,.814,.543,.485,F,DENHOULALNYKOKCPOR,anthoca01
