Rk,Player,WS,ORtg,DRtg,VORP,PER,TRB%,USG%,TOV%,AST%,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
180,Larry Johnson,69.7,112,107,22.0,16.3,11.9,20.6,12.1,14.6,1991-92,2000-01,22-31,707,699,2,36.3,6.2,12.9,5.7,11.3,0.5,1.6,3.2,4.2,2.5,5.0,7.5,3.3,0.7,0.4,2.0,2.7,16.2,.484,.505,.332,.766,.551,.505,F,CHHNYK,johnsla02
181,Kevin Johnson,92.8,118,109,37.3,20.7,5.4,22.6,16.7,38.8,1987-88,1999-00,21-33,735,623,3,34.1,6.1,12.5,5.9,11.7,0.2,0.7,5.4,6.4,0.7,2.6,3.3,9.1,1.5,0.2,3.1,2.1,17.9,.493,.504,.305,.841,.585,.501,G,CLEPHO,johnske02
182,John Johnson,37.1,96,103,5.4,14.1,9.5,19.7,19.8,18.3,1970-71,1981-82,23-34,869,1,2,29.6,5.3,11.8,5.3,11.8,0.0,0.0,2.4,3.0,1.2,2.4,5.5,3.8,0.6,0.3,1.1,2.9,12.9,.446,.446,.000,.779,.491,.446,F,CLEHOUPORSEA,johnsjo01
183,Joe Johnson,82.9,107,110,26.5,15.4,6.6,22.5,11.3,19.6,2001-02,2021-22,20-40,1277,1091,7,34.6,6.1,13.9,4.6,9.7,1.5,4.2,2.2,2.7,0.8,3.1,4.0,3.9,0.8,0.2,1.9,1.8,16.0,.441,.472,.371,.802,.530,.497,G-F,ATLBOSBRKHOUMIAPHOUTA,johnsjo02
184,Eddie Johnson,41.0,106,108,12.1,16.0,4.2,23.3,15.2,26.7,1977-78,1986-87,22-31,675,232,2,29.6,5.9,12.5,5.8,12.0,0.2,0.5,3.0,3.8,0.7,1.6,2.3,5.1,1.1,0.1,2.5,2.5,15.1,.476,.482,.326,.791,.531,.482,G,ATLCLESEA,johnsed02
185,Dennis Johnson,82.6,107,105,24.3,14.6,6.5,20.1,14.4,20.4,1976-77,1989-90,22-35,1100,673,5,32.7,5.3,11.9,5.2,11.5,0.1,0.4,3.4,4.3,1.3,2.5,3.9,5.0,1.3,0.6,2.2,2.8,14.1,.445,.455,.172,.797,.511,.448,G,BOSPHOSEA,johnsde01
186,Antawn Jamison,87.8,109,109,24.5,18.1,12.2,24.4,8.2,8.5,1998-99,2013-14,22-37,1083,864,2,34.8,7.1,15.7,6.0,12.6,1.1,3.1,3.3,4.5,2.4,5.2,7.5,1.6,1.0,0.4,1.6,2.4,18.5,.451,.477,.346,.724,.523,.485,F,CLEDALGSWLACLALWAS,jamisan01
187,LeBron James,254.7,116,104,146.2,27.2,11.3,31.6,13.1,36.3,2003-04,2022-23,19-38,1415,1413,19,38.1,10.0,19.7,8.4,15.1,1.6,4.6,5.7,7.8,1.2,6.3,7.5,7.3,1.5,0.8,3.5,1.8,27.2,.505,.554,.344,.735,.588,.545,F-G,CLELALMIA,jamesle01
188,Mark Jackson,91.8,110,107,37.5,16.0,7.3,16.9,20.9,39.4,1987-88,2003-04,22-38,1296,1092,1,30.2,3.7,8.3,3.1,6.6,0.6,1.7,1.7,2.2,1.0,2.8,3.8,8.0,1.2,0.1,2.4,1.7,9.6,.447,.477,.332,.770,.522,.481,G,DENHOUINDLACNYKTORUTA,jacksma01
189,Jaren Jackson Jr.,18.7,111,107,4.7,17.7,10.7,24.3,10.6,6.2,2018-19,2022-23,19-23,262,253,1,27.3,5.7,12.4,4.1,7.7,1.6,4.7,3.1,4.0,1.4,4.1,5.5,1.1,0.9,2.1,1.7,3.7,16.3,.465,.535,.349,.788,.576,.531,F,MEM,jacksja02
190,Allen Iverson,99.0,105,106,49.6,20.9,5.1,31.8,12.2,28.8,1996-97,2009-10,21-34,914,901,11,41.1,9.3,21.8,8.1,18.1,1.2,3.7,7.0,8.9,0.8,2.9,3.7,6.2,2.2,0.2,3.6,1.9,26.7,.425,.448,.313,.780,.518,.452,G,DENDETMEMPHI,iversal01
191,Dan Issel,82.3,116,106,24.3,21.0,13.2,24.0,10.2,11.6,1976-77,1984-85,28-36,718,236,1,31.1,7.6,14.9,7.5,14.8,0.0,0.1,5.3,6.6,2.3,5.6,7.9,2.5,1.0,0.6,1.8,2.8,20.4,.506,.508,.253,.797,.572,.507,C-F,DEN,isselda01
192,Kyrie Irving,78.9,115,110,37.4,22.4,6.4,29.4,11.3,29.9,2011-12,2022-23,19-30,668,668,8,34.3,8.6,18.2,6.3,12.3,2.3,5.9,3.9,4.4,0.8,3.1,3.9,5.7,1.3,0.4,2.6,2.3,23.4,.472,.510,.391,.884,.580,.535,G,BOSBRKCLEDAL,irvinky01
193,Brandon Ingram,21.3,108,113,6.2,15.6,8.5,25.1,12.7,19.1,2016-17,2022-23,19-25,407,368,1,32.9,6.9,14.9,5.5,11.2,1.4,3.7,3.9,5.0,0.7,4.4,5.1,4.0,0.7,0.6,2.5,2.4,19.0,.463,.496,.365,.781,.557,.509,F,LALNOP,ingrabr01
194,Zydrunas Ilgauskas,66.3,107,103,10.2,18.5,15.7,23.3,12.8,7.5,1997-98,2010-11,22-35,843,724,2,27.2,5.0,10.5,5.0,10.4,0.0,0.1,3.0,3.8,2.9,4.4,7.3,1.1,0.5,1.6,1.8,3.3,13.0,.476,.478,.310,.780,.534,.478,C,CLEMIA,ilgauzy01
195,Andre Iguodala,100.4,111,106,41.3,15.4,8.7,16.9,15.1,19.5,2004-05,2022-23,21-39,1231,784,1,32.1,4.1,8.8,3.2,6.2,0.9,2.7,2.3,3.2,0.9,4.0,4.9,4.2,1.4,0.5,1.8,1.8,11.3,.463,.520,.330,.709,.553,.512,F-G,DENGSWMIAPHI,iguodan01
196,Lou Hudson,81.0,105,103,6.8,17.4,5.8,20.0,12.4,12.4,1966-67,1978-79,22-34,890,,6,33.5,8.3,17.0,8.3,17.0,,,3.5,4.4,0.5,0.8,4.4,2.7,0.6,0.1,0.3,2.7,20.2,.489,.489,,.797,.532,.489,F-G,ATLLALSTL,hudsolo01
