Rk,Player,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
114,Dave Cowens,1970-71,1982-83,22-34,766,89,8,38.6,7.5,16.3,7.5,16.3,0.0,0.0,2.6,3.4,2.1,6.7,13.6,3.8,0.8,0.6,0.7,3.8,17.6,.460,.460,.071,.783,.496,.460,C-F,BOSMIL,cowenda01
115,Bob Cousy,1950-51,1969-70,22-41,924,,13,32.6,6.7,17.8,6.7,17.8,,,5.0,6.2,,,5.2,7.5,,,,2.4,18.4,.375,.375,,.803,.446,.375,G,BOSCIN,cousybo01
116,Larry Costello,1954-55,1967-68,23-36,706,,6,30.0,4.4,10.0,4.4,10.0,,,3.4,4.1,,,3.8,4.6,,,,3.3,12.2,.438,.438,,.841,.517,.438,G,PHIPHWSYR,costela01
117,Nat Clifton,1950-51,1957-58,28-35,544,,1,26.4,3.8,10.6,3.8,10.6,,,2.4,3.7,,,8.2,2.5,,,,3.4,10.0,.361,.361,,.633,.409,.361,C-F,DETNYK,cliftna01
118,Maurice Cheeks,1978-79,1992-93,22-36,1101,978,4,31.6,4.5,8.5,4.4,8.3,0.0,0.2,2.1,2.7,0.6,2.2,2.8,6.7,2.1,0.3,2.1,2.1,11.1,.523,.529,.255,.793,.572,.526,G,ATLNJNNYKPHISAS,cheekma01
119,Wilt Chamberlain,1959-60,1972-73,23-36,1045,,13,45.8,12.1,22.5,12.1,22.5,,,5.8,11.4,,,22.9,4.4,,,,2.0,30.1,.540,.540,,.511,.547,.540,C,LALPHIPHWSFW,chambwi01
120,Kobe Bryant,1996-97,2015-16,18-37,1346,1198,18,36.1,8.7,19.5,7.3,15.3,1.4,4.1,6.2,7.4,1.1,4.1,5.2,4.7,1.4,0.5,3.0,2.5,25.0,.447,.479,.329,.837,.550,.482,G-F,LAL,bryanko01
121,Carl Braun,1947-48,1961-62,20-34,788,,5,23.4,5.0,13.0,5.0,13.0,,,3.6,4.4,,,2.7,3.7,,,,2.7,13.5,.383,.383,,.804,.452,.383,G-F,BOSNYK,braunca01
122,Bill Bradley,1967-68,1976-77,24-33,742,,1,30.7,5.3,11.8,5.3,11.8,,,1.8,2.2,0.3,0.9,3.2,3.4,0.3,0.1,,3.2,12.4,.448,.448,,.840,.486,.448,F-G,NYK,bradlbi01
123,Chris Bosh,2003-04,2015-16,19-31,893,881,11,35.8,7.0,14.1,6.6,13.1,0.3,1.0,5.0,6.3,2.2,6.3,8.5,2.0,0.8,1.0,2.0,2.4,19.2,.494,.506,.335,.799,.571,.506,F-C,MIATOR,boshch01
124,Larry Bird,1979-80,1991-92,23-35,897,870,12,38.4,9.6,19.3,8.9,17.4,0.7,1.9,4.4,5.0,2.0,8.0,10.0,6.3,1.7,0.8,3.1,2.5,24.3,.496,.509,.376,.886,.564,.514,F,BOS,birdla01
125,Dave Bing,1966-67,1977-78,23-34,901,,7,36.4,7.7,17.5,7.7,17.5,,,4.9,6.3,0.5,0.8,3.8,6.0,0.5,0.1,0.2,2.9,20.3,.441,.441,,.775,.502,.441,G,BOSDETWSB,bingda01
126,Walt Bellamy,1961-62,1974-75,22-35,1043,,4,37.3,7.6,14.7,7.6,14.7,,,4.9,7.8,0.3,0.5,13.7,2.4,0.0,0.0,,3.4,20.1,.516,.516,,.632,.554,.516,C,ATLBALCHPCHZDETNOJNYK,bellawa01
127,Zelmo Beaty,1962-63,1974-75,23-35,570,,2,32.2,6.0,12.7,6.0,12.7,,,4.1,5.4,0.2,0.4,10.4,1.5,0.1,0.1,,3.7,16.0,.469,.469,,.750,.530,.469,C,ATLLALSTL,beatyze01
128,Elgin Baylor,1958-59,1971-72,24-37,846,,11,40.0,10.3,23.8,10.3,23.8,,,6.8,8.7,,,13.5,4.3,,,,3.1,27.4,.431,.431,,.780,.494,.431,F,LALMNL,bayloel01
129,Rick Barry,1965-66,1979-80,21-35,794,,8,36.3,9.1,20.4,9.0,20.1,0.1,0.3,4.8,5.3,0.6,3.0,6.5,5.1,1.4,0.3,0.7,2.9,23.2,.449,.450,.330,.900,.510,.451,F,GSWHOUSFW,barryri01
130,Don Barksdale,1951-52,1954-55,28-31,262,,1,28.5,3.9,10.5,3.9,10.5,,,3.3,5.0,,,8.0,2.1,,,,3.6,11.0,.370,.370,,.660,.436,.370,F-C,BLBBOS,barksdo01
131,Charles Barkley,1984-85,1999-00,21-36,1073,1012,11,36.7,7.9,14.5,7.4,12.7,0.5,1.9,5.9,8.1,4.0,7.7,11.7,3.9,1.5,0.8,3.1,3.1,22.1,.541,.581,.266,.735,.612,.558,F,HOUPHIPHO,barklch01
132,Paul Arizin,1950-51,1961-62,22-33,713,,10,34.9,7.9,18.7,7.9,18.7,,,7.0,8.7,,,8.6,2.3,,,,3.9,22.8,.421,.421,,.810,.506,.421,F-G,PHW,arizipa01
133,Tiny Archibald,1970-71,1983-84,22-35,876,268,6,35.6,6.7,14.4,6.7,14.3,0.0,0.1,5.3,6.6,0.4,1.2,2.3,7.4,0.8,0.1,1.3,2.3,18.8,.467,.469,.224,.810,.543,.468,G,BOSCINKCKKCOMILNYN,architi01
134,Ray Allen,1996-97,2013-14,21-38,1300,1149,10,35.6,6.6,14.6,4.3,8.9,2.3,5.7,3.4,3.8,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9,.452,.485,.400,.894,.580,.530,G,BOSMIAMILSEA,allenra02
135,Kareem Abdul-Jabbar,1969-70,1988-89,22-41,1560,625,19,36.8,10.2,18.1,10.2,18.1,0.0,0.0,4.3,6.0,1.9,6.0,11.2,3.6,0.7,2.0,1.6,3.0,24.6,.559,.560,.056,.721,.592,.559,C,LALMIL,abdulka01
