Rk,Player,ORtg,DRtg,PER,TRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
357,Danny Green,103,111,10.8,5.8,6.1,2.2,2.0,16.8,18.9,2022-23,2022-23,35,11,0,12.5,2.0,4.5,0.5,1.1,1.5,3.4,0.1,0.1,0.3,1.0,1.3,0.5,0.5,0.3,0.9,1.5,5.5,.449,.500,.432,1.000,.617,.612,G-F,CLEMEM,greenda02
358,A.J. Green,121,115,11.5,6.8,8.7,0.8,0.0,6.6,16.6,2022-23,2022-23,23,35,1,9.9,1.5,3.6,0.3,0.6,1.3,3.0,0.1,0.1,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4,.424,.450,.419,1.000,.607,.600,G,MIL,greenaj01
359,RaiQuan Gray,115,116,15.5,14.4,29.0,0.0,2.4,23.7,21.4,2022-23,2022-23,23,1,0,35.0,6.0,12.0,4.0,7.0,2.0,5.0,2.0,2.0,3.0,6.0,9.0,7.0,0.0,1.0,4.0,5.0,16.0,.500,.571,.400,1.000,.621,.583,F,BRK,grayra01
360,Jerami Grant,117,120,16.0,7.2,10.3,1.1,2.1,9.8,22.8,2022-23,2022-23,28,63,63,35.7,6.9,14.5,4.6,8.8,2.3,5.7,4.4,5.4,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5,.475,.523,.401,.813,.606,.554,F,POR,grantje01
361,Devonte' Graham,117,117,12.5,5.1,19.4,1.6,1.1,9.8,17.1,2022-23,2022-23,27,73,8,18.3,2.2,5.9,0.6,1.3,1.6,4.6,1.3,1.8,0.3,1.4,1.7,2.7,0.6,0.2,0.7,1.1,7.4,.374,.452,.352,.748,.552,.512,G,NOPSAS,grahade01
362,Eric Gordon,115,122,11.8,3.8,13.4,1.1,1.2,12.5,17.8,2022-23,2022-23,34,69,58,28.5,4.2,9.5,2.3,4.3,1.9,5.2,2.1,2.5,0.2,1.7,1.9,2.7,0.6,0.4,1.5,1.1,12.4,.446,.535,.371,.821,.587,.547,G-F,HOULAC,gordoer01
363,Aaron Gordon,124,115,19.5,12.5,14.2,1.3,2.2,9.8,21.1,2022-23,2022-23,27,68,68,30.2,6.3,11.2,5.4,8.6,0.9,2.5,2.8,4.6,2.4,4.1,6.6,3.0,0.8,0.8,1.4,1.9,16.3,.564,.628,.347,.608,.617,.603,F,DEN,gordoaa01
364,Jordan Goodwin,113,113,14.8,10.3,20.8,2.6,2.0,12.9,17.3,2022-23,2022-23,24,62,7,17.8,2.5,5.7,1.9,3.8,0.6,1.9,0.9,1.1,0.9,2.4,3.3,2.7,0.9,0.4,0.9,1.5,6.6,.448,.511,.322,.768,.531,.501,G,WAS,goodwjo01
365,Rudy Gobert,127,109,18.9,21.2,5.6,1.2,3.9,14.9,16.3,2022-23,2022-23,30,70,70,30.7,5.1,7.8,5.1,7.8,0.0,0.0,3.1,4.9,3.3,8.3,11.6,1.2,0.8,1.4,1.7,3.0,13.4,.659,.663,.000,.644,.675,.659,C,MIN,goberru01
366,Jacob Gilyard,108,110,7.3,5.2,19.4,3.5,0.0,40.0,5.1,2022-23,2022-23,24,1,0,41.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,4.0,7.0,3.0,0.0,2.0,3.0,3.0,.333,,.333,,.500,.500,G,MEM,gilyaja01
367,Anthony Gill,127,119,11.1,8.8,7.2,0.5,1.6,8.5,12.3,2022-23,2022-23,30,59,8,10.6,1.2,2.2,1.1,1.7,0.1,0.5,0.8,1.1,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3,.538,.650,.138,.731,.604,.553,F,WAS,gillan01
