Rk,Player,ORtg,DRtg,PER,TRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
419,Terence Davis,106,114,12.9,9.4,11.1,2.4,1.2,12.2,22.2,2022-23,2022-23,25,64,5,13.1,2.4,5.7,1.0,1.9,1.4,3.8,0.5,0.7,0.3,1.9,2.2,1.0,0.7,0.2,0.8,1.6,6.7,.423,.537,.366,.791,.563,.545,G,SAC,daviste02
420,Johnny Davis,92,117,7.2,8.3,9.2,1.2,1.6,8.0,20.4,2022-23,2022-23,20,28,5,15.1,2.4,6.1,1.8,3.6,0.6,2.5,0.5,1.0,0.3,1.9,2.3,1.0,0.4,0.3,0.6,1.7,5.8,.386,.485,.243,.519,.446,.436,G,WAS,davisjo06
421,Anthony Davis,124,108,27.8,19.7,13.0,1.5,5.1,9.5,28.4,2022-23,2022-23,29,56,54,34.0,9.7,17.2,9.3,15.9,0.3,1.3,6.2,7.9,3.5,9.1,12.5,2.6,1.1,2.0,2.2,2.6,25.9,.563,.589,.257,.784,.627,.573,F-C,LAL,davisan02
422,Dyson Daniels,105,112,8.8,10.2,16.4,2.0,1.0,20.2,11.6,2022-23,2022-23,19,59,11,17.7,1.5,3.5,1.0,2.1,0.5,1.5,0.4,0.7,0.6,2.6,3.2,2.3,0.7,0.2,1.0,1.7,3.8,.418,.492,.314,.650,.503,.483,G,NOP,daniedy01
423,Stephen Curry,123,115,24.1,9.7,30.0,1.3,0.9,12.5,31.0,2022-23,2022-23,34,56,56,34.7,10.0,20.2,5.1,8.8,4.9,11.4,4.6,5.0,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.4,.493,.579,.427,.915,.656,.614,G,GSW,curryst01
424,Seth Curry,113,117,12.3,4.6,11.9,1.5,0.5,9.7,19.2,2022-23,2022-23,32,61,7,19.9,3.4,7.4,1.9,3.6,1.5,3.8,0.8,0.9,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2,.463,.525,.405,.927,.593,.568,G,BRK,curryse01
425,Cade Cunningham,100,119,14.0,10.3,30.7,1.2,1.5,13.8,30.0,2022-23,2022-23,21,12,12,33.3,7.8,18.7,6.3,13.6,1.4,5.1,3.0,3.6,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,.415,.466,.279,.837,.492,.453,G,DET,cunnica01
426,Jarrett Culver,96,113,9.5,15.2,5.5,2.1,1.2,12.6,17.1,2022-23,2022-23,23,10,1,13.7,1.7,4.3,1.6,3.1,0.1,1.2,0.9,1.3,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,.395,.516,.083,.692,.452,.407,G,ATL,culveja01
427,Jae Crowder,133,111,14.6,10.6,10.6,1.7,1.4,6.6,13.2,2022-23,2022-23,32,18,3,18.9,2.5,5.2,1.2,2.2,1.3,3.1,0.6,0.7,0.9,2.9,3.8,1.5,0.7,0.3,0.4,1.5,6.9,.479,.538,.436,.833,.624,.606,F,MIL,crowdja01
428,Torrey Craig,116,113,11.6,12.1,7.9,1.3,2.9,12.3,13.0,2022-23,2022-23,32,79,60,24.7,2.9,6.3,1.6,3.1,1.3,3.2,0.4,0.6,1.8,3.6,5.4,1.5,0.6,0.8,0.9,2.3,7.4,.456,.518,.395,.711,.566,.556,G-F,PHO,craigto01
429,Robert Covington,116,110,14.2,11.9,10.2,2.4,3.7,11.5,15.6,2022-23,2022-23,32,48,0,16.2,2.1,4.8,1.0,1.9,1.1,2.8,0.6,0.8,0.6,2.8,3.5,1.2,0.8,0.7,0.7,1.8,6.0,.445,.516,.397,.750,.584,.563,F-C,LAC,covinro01
430,Xavier Cooks,113,112,14.3,16.8,6.4,2.3,2.7,19.8,13.9,2022-23,2022-23,27,10,1,12.6,1.7,2.8,1.7,2.7,0.0,0.1,0.4,1.0,1.6,2.2,3.8,0.6,0.6,0.4,0.8,1.3,3.8,.607,.630,.000,.400,.586,.607,F,WAS,cooksxa01
431,Pat Connaughton,112,113,10.0,10.2,6.9,1.2,0.6,7.0,13.8,2022-23,2022-23,30,61,33,23.7,2.7,6.9,0.9,1.6,1.8,5.3,0.4,0.7,0.8,3.8,4.6,1.3,0.6,0.2,0.5,1.1,7.6,.392,.566,.339,.659,.531,.521,G,MIL,connapa01
432,Mike Conley,125,118,14.7,4.9,29.4,1.7,0.6,13.1,16.3,2022-23,2022-23,35,67,66,30.3,3.9,9.1,1.9,3.9,2.0,5.2,2.1,2.5,0.5,2.2,2.7,6.7,1.1,0.2,1.5,2.1,11.9,.428,.486,.385,.834,.583,.539,G,MINUTA,conlemi01
433,Zach Collins,112,118,16.4,15.2,18.0,1.2,2.8,17.4,21.2,2022-23,2022-23,25,63,26,22.9,4.5,8.7,3.6,6.4,0.9,2.3,1.7,2.3,1.8,4.5,6.4,2.9,0.6,0.8,2.0,3.2,11.6,.518,.571,.374,.761,.599,.568,C-F,SAS,colliza01
434,John Collins,117,115,13.6,11.9,5.3,0.9,2.9,9.1,17.1,2022-23,2022-23,25,71,71,30.0,5.1,10.0,4.1,6.6,1.0,3.4,2.0,2.5,1.1,5.4,6.5,1.2,0.6,1.0,1.1,3.1,13.1,.508,.619,.292,.803,.593,.557,F,ATL,collijo01
435,Amir Coffey,108,120,7.0,4.7,11.2,0.5,0.7,10.8,13.5,2022-23,2022-23,25,50,9,12.5,1.1,2.9,0.9,2.1,0.2,0.8,1.0,1.3,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1.0,3.4,.386,.429,.275,.778,.498,.424,G,LAC,coffeam01
436,Nic Claxton,132,108,20.8,17.4,9.3,1.4,7.1,12.1,15.4,2022-23,2022-23,23,76,76,29.9,5.4,7.7,5.4,7.7,0.0,0.0,1.8,3.2,2.4,6.8,9.2,1.9,0.9,2.5,1.3,2.8,12.6,.705,.708,.000,.541,.691,.705,C,BRK,claxtni01
437,Jordan Clarkson,109,120,14.7,6.7,20.9,0.8,0.6,14.0,27.8,2022-23,2022-23,30,61,61,32.6,7.5,16.9,5.0,9.4,2.5,7.5,3.3,4.0,1.2,2.9,4.0,4.4,0.5,0.2,3.0,2.0,20.8,.444,.530,.338,.816,.558,.519,G,UTA,clarkjo01
438,Brandon Clarke,131,109,20.0,15.1,9.5,1.5,3.1,11.8,17.7,2022-23,2022-23,26,56,8,19.5,4.1,6.2,4.1,6.1,0.0,0.1,1.8,2.4,1.6,3.9,5.5,1.3,0.6,0.7,1.0,2.3,10.0,.656,.665,.167,.723,.682,.658,F,MEM,clarkbr01
439,Josh Christopher,102,120,11.5,5.0,14.3,2.0,1.9,14.4,21.9,2022-23,2022-23,21,64,2,12.3,2.4,5.1,2.1,3.8,0.3,1.4,0.7,0.9,0.3,0.8,1.1,1.1,0.5,0.2,0.9,0.9,5.8,.465,.550,.236,.750,.523,.497,G,HOU,chrisjo01
440,Max Christie,111,116,7.4,7.8,5.1,0.8,1.2,10.3,10.4,2022-23,2022-23,19,41,3,12.5,1.1,2.6,0.4,1.1,0.6,1.5,0.3,0.4,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1,.415,.409,.419,.875,.566,.538,G,LAL,chrisma02
441,Kennedy Chandler,101,112,10.6,7.2,26.4,2.0,1.6,16.9,15.8,2022-23,2022-23,20,36,0,7.8,1.0,2.3,0.9,1.9,0.1,0.4,0.2,0.4,0.3,0.8,1.1,1.6,0.3,0.1,0.5,0.4,2.2,.422,.485,.133,.462,.440,.434,G,MEM,chandke01
442,Justin Champagnie,96,114,10.3,13.1,16.3,1.4,0.0,0.0,19.2,2022-23,2022-23,21,5,0,6.8,1.0,3.0,0.8,2.0,0.2,1.0,0.0,0.0,0.6,1.0,1.6,0.8,0.2,0.0,0.0,0.4,2.2,.333,.400,.200,,.367,.367,F,BOSTOR,champju01
443,Julian Champagnie,115,121,13.4,10.2,4.5,0.9,1.3,7.4,19.2,2022-23,2022-23,21,17,3,18.8,3.5,7.6,1.5,2.8,1.9,4.8,0.8,1.0,0.6,2.9,3.5,0.6,0.4,0.3,0.6,1.5,9.7,.454,.542,.402,.824,.600,.581,F,PHISAS,champju02
444,Alex Caruso,115,109,11.5,7.1,15.4,3.0,2.8,19.5,11.1,2022-23,2022-23,28,67,36,23.5,1.9,4.3,1.1,2.0,0.8,2.3,0.9,1.1,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6,.455,.556,.364,.808,.588,.551,G,CHI,carusal01
445,Michael Carter-Williams,98,116,9.0,6.4,22.6,1.1,2.2,19.0,20.6,2022-23,2022-23,31,4,0,11.0,1.5,3.5,1.3,2.8,0.3,0.8,1.0,1.8,0.3,1.0,1.3,1.8,0.3,0.3,1.0,1.3,4.3,.429,.455,.333,.571,.498,.464,G,ORL,cartemi01
446,Wendell Carter Jr.,119,113,17.3,16.6,12.0,0.9,1.9,13.2,20.5,2022-23,2022-23,23,57,54,29.6,5.6,10.8,4.2,6.8,1.4,3.9,2.5,3.4,2.1,6.6,8.7,2.3,0.5,0.6,1.9,2.8,15.2,.525,.624,.356,.738,.621,.591,C,ORL,cartewe01
447,Jevon Carter,113,113,10.9,5.8,14.5,1.7,1.3,11.8,15.3,2022-23,2022-23,27,81,39,22.3,3.0,7.0,1.2,2.8,1.8,4.2,0.4,0.5,0.4,2.1,2.5,2.4,0.8,0.4,1.0,2.0,8.0,.423,.425,.421,.816,.560,.549,G,MIL,carteje01
448,Vernon Carey Jr.,87,104,10.8,21.8,13.3,3.5,6.0,18.4,16.9,2022-23,2022-23,21,11,0,2.5,0.2,0.7,0.2,0.7,0.0,0.0,0.2,0.2,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5,.250,.250,,1.000,.338,.250,C,WAS,careyve01
449,Clint Capela,136,112,22.1,22.7,4.7,1.2,3.9,8.3,15.7,2022-23,2022-23,28,65,63,26.6,5.4,8.2,5.4,8.2,0.0,0.0,1.2,2.0,4.0,7.1,11.0,0.9,0.7,1.2,0.8,2.1,12.0,.653,.654,.000,.603,.656,.653,C,ATL,capelca01
450,Vlatko Čančar,119,116,11.0,8.3,11.5,1.2,1.4,13.1,13.8,2022-23,2022-23,25,60,9,14.8,1.8,3.8,1.1,1.9,0.7,1.9,0.6,0.7,0.4,1.7,2.1,1.3,0.4,0.2,0.6,1.4,5.0,.476,.580,.374,.927,.606,.570,F,DEN,cancavl01
451,Facundo Campazzo,86,111,7.8,2.2,22.6,5.7,0.0,17.8,14.7,2022-23,2022-23,31,8,0,6.5,0.4,1.6,0.0,0.3,0.4,1.4,0.1,0.3,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3,.231,.000,.273,.500,.360,.346,G,DAL,campafa01
452,Kentavious Caldwell-Pope,117,115,11.5,5.0,9.8,2.3,1.3,11.1,14.1,2022-23,2022-23,29,76,76,31.3,3.8,8.3,2.1,4.1,1.8,4.2,1.4,1.6,0.5,2.3,2.7,2.4,1.5,0.5,1.1,1.9,10.8,.462,.502,.423,.824,.598,.569,G,DEN,caldwke01
453,Jamal Cain,131,112,16.5,12.7,7.6,2.3,0.4,7.3,15.1,2022-23,2022-23,23,18,0,13.3,2.1,3.7,1.7,2.6,0.4,1.1,0.9,1.2,0.8,2.1,2.9,0.7,0.6,0.1,0.3,1.2,5.4,.561,.652,.350,.773,.647,.614,F,MIA,cainja01
454,John Butler,97,119,5.7,4.4,6.5,1.5,3.6,1.8,11.0,2022-23,2022-23,20,19,1,11.6,0.9,2.8,0.5,0.9,0.4,1.8,0.2,0.2,0.2,0.7,0.9,0.6,0.4,0.5,0.1,1.2,2.4,.321,.500,.229,.750,.411,.396,C,POR,butlejo01
455,Jimmy Butler,135,112,27.6,10.3,27.1,2.7,1.0,8.2,25.6,2022-23,2022-23,33,64,64,33.4,7.5,13.9,6.9,12.3,0.6,1.6,7.4,8.7,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3,22.9,.539,.564,.350,.850,.647,.560,F-G,MIA,butleji01
456,Jared Butler,108,115,13.0,2.8,15.0,3.1,0.0,13.5,20.1,2022-23,2022-23,22,6,1,12.8,2.5,5.3,1.3,3.0,1.2,2.3,0.0,0.0,0.2,0.5,0.7,1.3,0.8,0.0,0.8,0.8,6.2,.469,.444,.500,,.578,.578,G,OKC,butleja02
457,Alec Burks,120,119,16.5,7.8,15.9,1.6,0.6,9.7,22.8,2022-23,2022-23,31,51,8,22.0,3.9,9.0,2.0,4.3,1.9,4.7,3.0,3.7,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8,.436,.459,.414,.814,.602,.544,G,DET,burksal01
458,Reggie Bullock,116,119,7.7,7.0,6.2,1.1,0.5,6.9,10.0,2022-23,2022-23,31,78,55,30.3,2.5,6.0,0.5,0.9,1.9,5.1,0.3,0.5,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2,.409,.562,.380,.703,.577,.569,G-F,DAL,bullore01
459,Thomas Bryant,132,112,19.7,17.0,4.3,0.7,2.4,8.2,18.2,2022-23,2022-23,25,59,26,18.3,3.9,6.3,3.5,5.3,0.4,1.0,1.6,2.1,1.5,4.3,5.7,0.5,0.3,0.5,0.6,1.7,9.8,.623,.658,.441,.738,.682,.659,C,DENLAL,bryanth01
460,Jalen Brunson,125,117,21.2,5.6,28.7,1.3,0.6,9.4,27.2,2022-23,2022-23,26,68,68,35.0,8.6,17.6,6.7,12.8,2.0,4.7,4.8,5.8,0.6,3.0,3.5,6.2,0.9,0.2,2.1,2.2,24.0,.491,.519,.416,.829,.597,.547,G,NYK,brunsja01
461,Troy Brown Jr.,113,115,9.6,8.9,6.6,1.5,0.7,9.2,12.1,2022-23,2022-23,23,76,45,24.5,2.6,6.1,1.2,2.4,1.4,3.7,0.4,0.5,0.8,3.2,4.1,1.3,0.8,0.2,0.6,1.6,7.1,.430,.505,.381,.872,.561,.545,G-F,LAL,browntr01
462,Sterling Brown,75,103,7.0,17.8,9.4,5.9,0.0,0.0,7.0,2022-23,2022-23,27,4,0,6.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0,.000,.000,.000,,.000,.000,G,LAL,brownst02
463,Moses Brown,123,111,22.2,26.5,2.1,0.7,4.2,10.5,21.2,2022-23,2022-23,23,36,1,8.2,1.7,2.7,1.7,2.7,0.0,0.0,0.9,2.0,1.6,2.3,3.9,0.1,0.1,0.4,0.4,1.1,4.3,.635,.635,,.458,.607,.635,C,BRKLAC,brownmo01
464,Kendall Brown,109,113,9.1,8.3,9.7,4.7,0.0,20.2,10.4,2022-23,2022-23,19,6,0,6.7,0.7,1.2,0.7,1.0,0.0,0.2,0.2,0.3,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,.571,.667,.000,.500,.571,.571,G-F,IND,brownke03
465,Jaylen Brown,110,111,19.1,10.4,16.5,1.5,0.9,11.4,31.4,2022-23,2022-23,26,67,67,35.9,10.1,20.6,7.7,13.4,2.4,7.3,3.9,5.1,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6,.491,.576,.335,.765,.581,.550,F-G,BOS,brownja02
466,Greg Brown III,79,114,5.8,11.7,4.5,2.1,4.8,15.3,18.4,2022-23,2022-23,21,16,0,5.8,0.7,1.8,0.6,1.3,0.1,0.4,0.3,0.8,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8,.393,.476,.143,.417,.421,.411,F,POR,browngr01
467,Bruce Brown,113,114,13.3,8.3,15.7,1.9,2.0,13.2,17.8,2022-23,2022-23,26,80,31,28.5,4.5,9.3,3.3,6.1,1.1,3.2,1.5,1.9,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5,.483,.548,.358,.758,.571,.545,G,DEN,brownbr01
468,Dillon Brooks,102,114,9.4,5.8,11.7,1.4,0.7,8.9,21.8,2022-23,2022-23,27,73,73,30.3,5.4,13.6,3.4,7.6,2.0,6.0,1.6,2.1,0.6,2.7,3.3,2.6,0.9,0.2,1.4,3.3,14.3,.396,.451,.326,.779,.494,.468,F-G,MEM,brookdi01
469,Malcolm Brogdon,122,113,18.2,8.8,21.5,1.3,0.9,10.8,22.8,2022-23,2022-23,30,67,0,26.0,5.3,10.9,3.3,6.5,2.0,4.4,2.4,2.7,0.6,3.6,4.2,3.7,0.7,0.3,1.5,1.6,14.9,.484,.510,.444,.870,.615,.574,G,BOS,brogdma01
470,Oshae Brissett,110,118,10.6,11.2,5.4,1.4,1.0,8.2,16.1,2022-23,2022-23,24,65,2,16.7,1.9,4.9,1.2,2.5,0.7,2.4,1.6,2.2,1.0,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1,.386,.457,.310,.717,.520,.461,F,IND,brissos01
471,Mikal Bridges,118,115,16.8,6.8,13.7,1.5,1.8,8.2,22.6,2022-23,2022-23,26,83,83,35.7,7.1,15.3,5.1,9.9,2.0,5.3,3.8,4.3,1.0,3.4,4.4,3.3,1.1,0.7,1.5,1.9,20.1,.468,.514,.382,.895,.587,.535,F-G,BRKPHO,bridgmi01
472,Christian Braun,114,115,10.3,8.8,6.4,1.7,1.3,9.9,13.0,2022-23,2022-23,21,76,6,15.5,1.9,3.8,1.4,2.5,0.4,1.3,0.5,0.8,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,.495,.565,.354,.625,.568,.554,G,DEN,braunch01
473,Jarrell Brantley,134,118,18.5,8.3,11.4,0.0,4.3,11.8,18.1,2022-23,2022-23,26,4,0,9.8,2.0,3.5,1.0,1.3,1.0,2.3,0.5,0.5,0.3,1.3,1.5,0.8,0.0,0.5,0.5,0.8,5.5,.571,.800,.444,1.000,.739,.714,F,UTA,brantja01
474,Malaki Branham,103,123,9.5,6.4,11.4,1.0,0.4,10.6,19.1,2022-23,2022-23,19,66,32,23.5,4.1,9.3,2.9,5.4,1.2,3.9,0.9,1.1,0.4,2.3,2.7,1.9,0.5,0.1,1.2,1.7,10.2,.440,.539,.302,.829,.524,.503,G,SAS,branhma01
475,Tony Bradley,132,107,21.7,18.9,4.4,1.5,2.9,6.8,19.8,2022-23,2022-23,25,12,0,2.8,0.5,1.0,0.3,0.6,0.3,0.4,0.3,0.3,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6,.500,.429,.600,1.000,.690,.625,F-C,CHI,bradlto01
476,Jamaree Bouyea,89,112,6.5,4.9,7.8,2.8,2.9,21.2,11.8,2022-23,2022-23,23,5,0,14.2,1.2,2.8,0.8,1.6,0.4,1.2,0.2,0.4,0.2,1.0,1.2,0.8,0.8,0.4,0.8,1.2,3.0,.429,.500,.333,.500,.504,.500,G,MIAWAS,bouyeja01
477,James Bouknight,90,117,6.2,7.5,11.1,1.3,0.8,13.4,19.5,2022-23,2022-23,22,34,0,15.1,2.0,5.7,1.1,2.5,1.0,3.2,0.6,0.9,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6,.358,.429,.303,.667,.463,.443,G,CHO,bouknja01
478,Chris Boucher,125,112,18.0,15.7,2.7,1.5,4.1,6.4,18.0,2022-23,2022-23,30,76,0,20.0,3.4,7.0,2.6,4.5,0.8,2.5,1.7,2.2,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,9.4,.493,.585,.328,.762,.590,.552,F,TOR,bouchch01
479,Brandon Boston Jr.,105,116,13.4,6.8,12.5,1.8,0.0,8.0,26.5,2022-23,2022-23,21,22,1,11.3,2.3,5.5,1.8,4.2,0.5,1.3,1.3,1.7,0.3,1.0,1.4,0.9,0.4,0.0,0.5,1.0,6.5,.418,.419,.414,.763,.515,.467,G-F,LAC,bostobr01
480,Devin Booker,119,115,22.0,7.2,27.3,1.4,0.9,10.6,31.8,2022-23,2022-23,26,53,53,34.6,9.9,20.1,7.8,14.2,2.1,6.0,5.8,6.8,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0,27.8,.494,.554,.351,.855,.601,.546,G,PHO,bookede01
481,Bol Bol,106,111,14.4,15.2,6.9,1.0,5.5,17.6,18.2,2022-23,2022-23,23,70,33,21.5,3.7,6.8,3.3,5.2,0.4,1.6,1.2,1.5,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,9.1,.546,.633,.265,.759,.603,.577,F-C,ORL,bolbo01
482,Bojan Bogdanović,118,122,17.4,6.5,13.6,0.9,0.4,11.7,25.9,2022-23,2022-23,33,59,59,32.1,7.3,14.9,4.8,9.0,2.5,6.0,4.5,5.1,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6,.488,.539,.411,.884,.627,.570,G-F,DET,bogdabo02
483,Bogdan Bogdanović,117,118,14.2,6.0,13.4,1.4,1.0,9.2,19.8,2022-23,2022-23,30,54,9,27.9,5.1,11.3,2.4,4.6,2.7,6.7,1.2,1.4,0.4,2.6,3.1,2.8,0.8,0.3,1.2,1.6,14.0,.447,.506,.406,.831,.586,.566,G,ATL,bogdabo01
484,Buddy Boeheim,77,123,0.5,3.7,5.8,1.1,0.0,0.0,13.2,2022-23,2022-23,23,10,0,9.0,0.5,2.7,0.1,0.2,0.4,2.5,0.2,0.2,0.2,0.4,0.6,0.4,0.2,0.0,0.0,0.6,1.6,.185,.500,.160,1.000,.287,.259,G,DET,boehebu01
485,Bismack Biyombo,109,108,14.4,16.5,8.7,1.0,9.0,17.7,14.0,2022-23,2022-23,30,61,14,14.3,2.0,3.4,2.0,3.4,0.0,0.0,0.4,1.1,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3,.578,.578,,.357,.555,.578,C-F,PHO,biyombi01
486,Goga Bitadze,123,112,17.1,16.8,12.1,1.7,5.3,13.3,15.4,2022-23,2022-23,23,38,1,12.0,1.8,3.3,1.7,2.6,0.2,0.7,0.6,1.1,1.6,2.0,3.6,1.0,0.4,0.7,0.6,1.7,4.4,.552,.636,.231,.548,.582,.576,C,INDORL,bitadgo01
487,Khem Birch,113,115,9.4,8.7,5.8,1.5,3.0,19.0,11.1,2022-23,2022-23,30,20,0,8.1,1.0,1.6,0.9,1.5,0.1,0.1,0.2,0.3,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,.594,.600,.500,.800,.629,.609,C-F,TOR,birchkh01
488,Saddiq Bey,117,119,14.6,9.4,8.1,1.6,0.5,7.0,20.2,2022-23,2022-23,23,77,37,27.6,4.6,10.9,2.6,5.4,2.0,5.4,2.7,3.1,1.3,3.4,4.7,1.5,0.9,0.2,0.9,1.6,13.8,.422,.483,.361,.861,.564,.513,F,ATLDET,beysa01
489,Patrick Beverley,113,113,8.9,7.5,13.3,1.7,2.0,13.4,10.6,2022-23,2022-23,34,67,67,27.1,2.1,5.4,1.0,1.8,1.2,3.6,0.7,1.0,0.7,3.0,3.7,2.9,0.9,0.6,0.9,2.8,6.2,.400,.529,.335,.723,.534,.511,G,CHILAL,beverpa01
490,Dāvis Bertāns,120,118,11.9,6.3,6.2,1.1,1.5,5.7,16.2,2022-23,2022-23,30,45,1,10.9,1.5,3.6,0.3,0.4,1.2,3.1,0.3,0.3,0.2,1.0,1.2,0.5,0.2,0.2,0.2,1.2,4.6,.431,.737,.390,.867,.618,.603,F,DAL,bertada01
491,MarJon Beauchamp,99,113,8.2,8.5,6.7,1.4,0.8,14.8,18.3,2022-23,2022-23,22,52,11,13.5,1.8,4.7,0.9,1.9,0.9,2.7,0.5,0.7,0.7,1.5,2.2,0.7,0.4,0.1,0.9,1.4,5.1,.395,.485,.331,.730,.513,.492,G,MIL,beaucma01
492,Malik Beasley,105,117,10.9,7.3,8.4,1.5,0.4,8.5,21.1,2022-23,2022-23,26,81,27,25.8,4.6,11.6,1.7,3.4,2.9,8.1,0.6,0.8,0.4,3.1,3.5,1.5,0.8,0.1,1.1,1.3,12.7,.395,.484,.357,.769,.531,.520,G,LALUTA,beaslma01
493,Bradley Beal,114,117,19.7,6.5,26.6,1.3,1.7,12.9,29.2,2022-23,2022-23,29,50,50,33.5,8.9,17.6,7.3,13.2,1.6,4.4,3.8,4.6,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,.506,.552,.365,.842,.593,.551,G,WAS,bealbr01
494,Darius Bazley,107,111,13.1,12.1,8.3,1.7,5.1,11.2,16.4,2022-23,2022-23,22,43,1,14.3,1.9,4.3,1.5,3.0,0.5,1.2,0.9,1.6,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1.0,5.2,.454,.485,.377,.543,.524,.508,F,OKCPHO,bazleda01
495,Nicolas Batum,120,114,11.0,9.8,9.4,1.5,2.3,11.1,11.5,2022-23,2022-23,34,78,19,21.9,2.1,4.9,0.5,0.8,1.6,4.1,0.4,0.6,0.8,3.0,3.8,1.6,0.7,0.6,0.6,1.9,6.1,.420,.563,.391,.708,.594,.583,F-G,LAC,batumni01
496,Keita Bates-Diop,121,120,14.9,9.3,9.8,1.5,1.1,9.5,16.7,2022-23,2022-23,27,67,42,21.7,3.5,6.9,2.7,4.8,0.8,2.1,1.8,2.2,1.0,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7,.508,.557,.394,.793,.609,.568,F,SAS,bateske01
497,Charles Bassey,120,114,18.8,20.7,12.9,1.5,5.4,21.3,15.6,2022-23,2022-23,22,35,2,14.5,2.5,3.9,2.4,3.6,0.1,0.2,0.6,1.1,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,.644,.661,.375,.595,.658,.656,C,SAS,bassech01
498,Will Barton,102,117,10.0,7.7,15.4,1.4,1.1,11.1,18.9,2022-23,2022-23,32,56,2,17.7,2.5,6.5,1.3,3.3,1.2,3.2,0.7,0.8,0.3,2.2,2.4,2.0,0.5,0.2,0.9,1.0,6.8,.379,.391,.367,.787,.493,.470,G,TORWAS,bartowi01
499,RJ Barrett,107,118,12.9,8.2,12.4,0.6,0.6,10.8,26.2,2022-23,2022-23,22,73,73,33.9,7.0,16.1,5.3,10.8,1.7,5.3,4.0,5.4,0.8,4.2,5.0,2.8,0.4,0.2,2.2,2.5,19.6,.434,.495,.310,.740,.531,.485,G-F,NYK,barrerj01
500,Scottie Barnes,113,115,15.5,10.8,20.0,1.5,2.2,12.0,20.3,2022-23,2022-23,21,77,76,34.8,6.0,13.2,5.2,10.3,0.8,2.9,2.5,3.2,2.3,4.3,6.6,4.8,1.1,0.8,2.0,2.2,15.3,.456,.505,.281,.772,.524,.487,G-F,TOR,barnesc01
501,Harrison Barnes,126,119,14.1,7.9,6.3,1.0,0.3,8.1,17.1,2022-23,2022-23,30,82,82,32.5,4.6,9.6,3.0,5.3,1.6,4.3,4.3,5.0,1.1,3.4,4.5,1.6,0.7,0.1,1.0,1.3,15.0,.473,.553,.374,.847,.632,.556,F,SAC,barneha02
502,Dominick Barlow,121,119,12.4,13.7,7.6,1.2,3.8,13.4,11.3,2022-23,2022-23,19,28,0,14.6,1.6,3.1,1.6,2.9,0.0,0.1,0.6,0.9,1.6,2.0,3.6,0.9,0.4,0.7,0.5,2.0,3.9,.535,.561,.000,.720,.567,.535,F,SAS,barlodo01
503,Dalano Banton,105,112,14.9,9.1,19.3,2.3,4.5,11.4,24.2,2022-23,2022-23,23,31,2,9.0,1.8,4.2,1.3,2.5,0.5,1.6,0.5,0.8,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6,.423,.506,.294,.708,.505,.481,G-F,TOR,bantoda01
