Rk,Player,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
451,Justin Champagnie,2022-23,2022-23,21,5,0,6.8,1.0,3.0,0.8,2.0,0.2,1.0,0.0,0.0,0.6,1.0,1.6,0.8,0.2,0.0,0.0,0.4,2.2,.333,.400,.200,,.367,.367,F,BOSTOR,champju01
452,Julian Champagnie,2022-23,2022-23,21,17,3,18.8,3.5,7.6,1.5,2.8,1.9,4.8,0.8,1.0,0.6,2.9,3.5,0.6,0.4,0.3,0.6,1.5,9.7,.454,.542,.402,.824,.600,.581,F,PHISAS,champju02
453,Alex Caruso,2022-23,2022-23,28,67,36,23.5,1.9,4.3,1.1,2.0,0.8,2.3,0.9,1.1,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6,.455,.556,.364,.808,.588,.551,G,CHI,carusal01
454,Michael Carter-Williams,2022-23,2022-23,31,4,0,11.0,1.5,3.5,1.3,2.8,0.3,0.8,1.0,1.8,0.3,1.0,1.3,1.8,0.3,0.3,1.0,1.3,4.3,.429,.455,.333,.571,.498,.464,G,ORL,cartemi01
455,Wendell Carter Jr.,2022-23,2022-23,23,57,54,29.6,5.6,10.8,4.2,6.8,1.4,3.9,2.5,3.4,2.1,6.6,8.7,2.3,0.5,0.6,1.9,2.8,15.2,.525,.624,.356,.738,.621,.591,C,ORL,cartewe01
456,Jevon Carter,2022-23,2022-23,27,81,39,22.3,3.0,7.0,1.2,2.8,1.8,4.2,0.4,0.5,0.4,2.1,2.5,2.4,0.8,0.4,1.0,2.0,8.0,.423,.425,.421,.816,.560,.549,G,MIL,carteje01
457,Vernon Carey Jr.,2022-23,2022-23,21,11,0,2.5,0.2,0.7,0.2,0.7,0.0,0.0,0.2,0.2,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5,.250,.250,,1.000,.338,.250,C,WAS,careyve01
458,Clint Capela,2022-23,2022-23,28,65,63,26.6,5.4,8.2,5.4,8.2,0.0,0.0,1.2,2.0,4.0,7.1,11.0,0.9,0.7,1.2,0.8,2.1,12.0,.653,.654,.000,.603,.656,.653,C,ATL,capelca01
459,Vlatko Čančar,2022-23,2022-23,25,60,9,14.8,1.8,3.8,1.1,1.9,0.7,1.9,0.6,0.7,0.4,1.7,2.1,1.3,0.4,0.2,0.6,1.4,5.0,.476,.580,.374,.927,.606,.570,F,DEN,cancavl01
460,Facundo Campazzo,2022-23,2022-23,31,8,0,6.5,0.4,1.6,0.0,0.3,0.4,1.4,0.1,0.3,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3,.231,.000,.273,.500,.360,.346,G,DAL,campafa01
461,Kentavious Caldwell-Pope,2022-23,2022-23,29,76,76,31.3,3.8,8.3,2.1,4.1,1.8,4.2,1.4,1.6,0.5,2.3,2.7,2.4,1.5,0.5,1.1,1.9,10.8,.462,.502,.423,.824,.598,.569,G,DEN,caldwke01
462,Jamal Cain,2022-23,2022-23,23,18,0,13.3,2.1,3.7,1.7,2.6,0.4,1.1,0.9,1.2,0.8,2.1,2.9,0.7,0.6,0.1,0.3,1.2,5.4,.561,.652,.350,.773,.647,.614,F,MIA,cainja01
463,John Butler,2022-23,2022-23,20,19,1,11.6,0.9,2.8,0.5,0.9,0.4,1.8,0.2,0.2,0.2,0.7,0.9,0.6,0.4,0.5,0.1,1.2,2.4,.321,.500,.229,.750,.411,.396,C,POR,butlejo01
464,Jimmy Butler,2022-23,2022-23,33,64,64,33.4,7.5,13.9,6.9,12.3,0.6,1.6,7.4,8.7,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3,22.9,.539,.564,.350,.850,.647,.560,F-G,MIA,butleji01
465,Jared Butler,2022-23,2022-23,22,6,1,12.8,2.5,5.3,1.3,3.0,1.2,2.3,0.0,0.0,0.2,0.5,0.7,1.3,0.8,0.0,0.8,0.8,6.2,.469,.444,.500,,.578,.578,G,OKC,butleja02
466,Deonte Burton,2022-23,2022-23,29,2,0,3.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.000,.000,.000,,.000,.000,G,SAC,burtode02
467,Alec Burks,2022-23,2022-23,31,51,8,22.0,3.9,9.0,2.0,4.3,1.9,4.7,3.0,3.7,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8,.436,.459,.414,.814,.602,.544,G,DET,burksal01
468,Reggie Bullock,2022-23,2022-23,31,78,55,30.3,2.5,6.0,0.5,0.9,1.9,5.1,0.3,0.5,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2,.409,.562,.380,.703,.577,.569,G-F,DAL,bullore01
469,Thomas Bryant,2022-23,2022-23,25,59,26,18.3,3.9,6.3,3.5,5.3,0.4,1.0,1.6,2.1,1.5,4.3,5.7,0.5,0.3,0.5,0.6,1.7,9.8,.623,.658,.441,.738,.682,.659,C,DENLAL,bryanth01
