,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
36,D.J. Wilson,4.7,20.6,8.1,1.1,2.1,11.2,16.4,21-25,146,6,4.9,11.6,3.0,5.8,1.9,5.9,1.3,2.0,1.6,7.4,9.0,2.2,0.8,0.9,1.6,3.5,12.9,0.419,0.514,0.327,0.618,0.516,0.502,F
37,Zion Williamson,8.6,15.1,19.8,1.4,1.6,12.4,30.1,19-22,114,114,11.1,18.4,10.9,17.7,0.2,0.7,6.5,9.4,2.9,5.0,7.8,4.0,1.0,0.6,3.2,2.4,29.0,0.605,0.615,0.343,0.691,0.643,0.611,F-C
39,Ziaire Williams,2.3,9.3,6.9,1.2,0.8,10.7,15.8,20-21,99,35,5.2,11.7,3.3,5.3,1.9,6.4,1.1,1.5,0.8,3.1,3.9,1.9,0.9,0.3,1.5,3.2,13.4,0.444,0.619,0.298,0.779,0.544,0.525,F
43,Shawne Williams,3.8,16.5,6.2,1.2,2.1,9.0,14.1,27-28,99,35,3.8,9.6,1.7,3.6,2.1,6.0,1.0,1.2,1.2,5.3,6.5,1.4,0.9,1.0,1.0,4.5,10.6,0.394,0.476,0.345,0.817,0.524,0.502,F
44,Robert Williams,14.0,22.7,10.2,1.7,7.4,14.7,12.5,21-25,209,97,5.7,7.9,5.7,7.8,0.0,0.0,1.4,2.1,4.6,7.6,12.2,2.5,1.3,2.9,1.5,3.3,12.9,0.732,0.735,0.0,0.656,0.733,0.732,C-F
46,Patrick Williams,3.9,13.2,6.1,1.5,2.5,13.1,15.2,19-21,170,145,4.7,10.0,3.3,6.6,1.4,3.4,1.6,2.1,1.2,4.3,5.5,1.6,1.1,1.0,1.6,2.3,12.5,0.477,0.509,0.414,0.779,0.575,0.547,F
47,Mo Williams,1.7,7.9,31.1,1.4,0.5,16.5,22.8,30-33,229,93,5.9,14.2,4.1,9.3,1.8,5.0,2.1,2.4,0.6,2.5,3.1,6.8,1.0,0.2,3.0,3.2,15.7,0.415,0.445,0.358,0.878,0.514,0.478,G
49,Marvin Williams,4.2,17.3,7.2,1.4,2.0,8.4,15.2,26-33,585,449,4.5,10.4,2.6,5.1,2.0,5.3,1.6,1.9,1.4,5.6,7.0,1.7,1.0,0.9,1.0,2.4,12.6,0.436,0.502,0.371,0.811,0.559,0.529,F
51,Lou Williams,1.6,8.4,22.7,1.7,0.5,12.1,26.9,26-35,668,84,7.0,16.7,4.7,10.3,2.3,6.4,5.7,6.6,0.5,2.8,3.3,5.1,1.2,0.2,2.7,1.7,21.9,0.418,0.456,0.357,0.865,0.56,0.487,G
52,Kenrich Williams,6.7,15.0,12.7,1.8,1.3,11.8,13.5,24-28,253,70,4.5,9.6,3.1,5.6,1.4,4.0,0.7,1.3,2.3,5.1,7.4,3.2,1.4,0.5,1.4,3.3,11.1,0.468,0.551,0.352,0.52,0.544,0.541,G-F
