,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
171,Matisse Thybulle,3.2,7.4,6.6,3.6,3.6,11.5,10.1,22-25,267,100,3.1,7.0,1.8,3.1,1.3,3.9,0.6,0.9,1.0,2.4,3.4,1.8,2.6,1.5,1.0,3.5,8.1,0.447,0.588,0.334,0.662,0.551,0.54,G
172,Sindarius Thornwell,2.6,10.3,8.5,2.1,1.7,17.1,12.0,23-26,160,19,2.9,7.1,2.2,4.9,0.7,2.2,1.9,2.8,0.9,3.5,4.3,2.3,1.6,0.7,1.7,3.8,8.4,0.407,0.436,0.34,0.672,0.504,0.459,G
173,Marcus Thornton,3.6,9.8,9.3,1.8,0.4,8.1,22.0,25-29,286,44,6.3,15.4,3.7,8.1,2.6,7.3,2.1,2.5,1.2,3.1,4.2,2.0,1.3,0.2,1.5,2.4,17.2,0.408,0.455,0.356,0.843,0.523,0.492,G
174,JT Thor,4.0,13.0,5.8,1.2,2.5,14.3,12.9,19-20,102,8,3.5,8.6,2.1,4.2,1.3,4.4,1.3,2.0,1.4,4.3,5.7,1.6,0.9,1.0,1.6,2.7,9.6,0.406,0.51,0.307,0.672,0.51,0.485,F
175,Tristan Thompson,13.7,22.0,5.8,0.9,2.0,11.9,15.3,21-30,670,453,4.9,9.3,4.9,9.2,0.0,0.1,2.3,3.8,4.4,7.0,11.4,1.4,0.7,0.9,1.5,3.0,12.1,0.526,0.528,0.278,0.61,0.553,0.527,F-C
176,Klay Thompson,1.6,9.9,11.0,1.3,1.3,8.8,25.1,22-32,650,650,8.2,17.9,4.7,9.6,3.4,8.3,2.1,2.4,0.5,3.4,3.9,2.5,0.9,0.6,1.8,2.2,21.9,0.456,0.49,0.416,0.851,0.576,0.552,G-F
177,Jason Thompson,8.3,20.9,5.8,0.9,2.3,12.8,15.2,26-29,292,212,4.7,9.5,4.7,9.4,0.0,0.1,1.9,2.9,2.6,6.6,9.3,1.3,0.7,1.0,1.6,4.2,11.3,0.494,0.497,0.263,0.646,0.524,0.495,F-C
178,Hollis Thompson,3.2,11.0,7.2,1.3,0.8,10.0,14.4,22-25,265,90,4.2,10.1,2.1,4.8,2.0,5.3,1.1,1.6,1.1,3.5,4.6,1.6,0.9,0.4,1.2,3.0,11.5,0.413,0.444,0.386,0.707,0.533,0.514,G-F
180,Matt Thomas,1.7,11.9,7.2,0.9,0.3,8.1,16.6,25-27,126,1,5.2,12.1,2.0,4.1,3.2,7.9,1.1,1.4,0.6,4.0,4.6,1.8,0.6,0.1,1.1,2.2,14.8,0.433,0.489,0.404,0.804,0.582,0.566,G
182,Lance Thomas,4.0,10.8,5.6,1.0,0.6,11.5,13.9,24-31,357,118,3.7,9.0,2.8,6.7,0.9,2.3,1.8,2.3,1.3,3.5,4.8,1.4,0.7,0.3,1.3,3.3,10.1,0.414,0.425,0.382,0.793,0.507,0.463,F
185,Isaiah Thomas,1.9,7.4,29.0,1.5,0.3,12.7,28.1,23-32,485,325,7.5,17.4,5.1,10.5,2.5,6.9,5.7,6.5,0.6,2.4,3.0,6.1,1.1,0.1,2.9,2.7,23.2,0.433,0.48,0.361,0.875,0.573,0.505,G
186,Cam Thomas,1.3,11.7,11.0,1.2,0.6,9.8,24.7,20-21,124,6,7.1,16.3,5.4,11.1,1.7,5.2,4.0,4.7,0.4,3.9,4.3,2.6,0.9,0.3,2.0,2.1,19.9,0.437,0.492,0.319,0.853,0.543,0.488,G
189,Daniel Theis,8.5,18.7,9.3,1.2,4.0,11.8,15.5,25-30,313,148,5.5,10.2,4.6,7.3,0.9,2.9,2.0,2.7,2.8,6.2,9.0,2.3,0.9,1.6,1.5,4.9,14.0,0.543,0.629,0.326,0.714,0.613,0.589,C
190,Hasheem Thabeet,10.0,17.5,1.8,1.8,5.5,26.3,9.9,25-26,89,4,2.9,4.8,2.9,4.8,0.0,0.0,1.2,2.2,2.9,5.9,8.8,0.4,1.3,2.6,2.1,7.3,7.0,0.597,0.597,0.0,0.569,0.605,0.597,C
193,Jason Terry,1.1,7.0,12.9,1.8,0.8,12.8,14.3,35-40,388,53,3.9,9.4,1.6,3.3,2.3,6.0,1.0,1.2,0.3,2.2,2.5,3.1,1.3,0.3,1.4,2.4,11.1,0.416,0.483,0.379,0.838,0.56,0.538,G
198,Garrett Temple,2.2,10.1,11.4,1.9,1.4,12.7,14.3,26-36,665,284,3.8,9.5,2.1,4.6,1.7,4.9,1.3,1.7,0.7,3.3,4.0,2.9,1.4,0.6,1.5,3.1,10.6,0.403,0.464,0.346,0.751,0.52,0.493,G
200,Mirza Teletović,3.7,17.0,7.8,0.9,1.2,9.5,20.9,27-32,324,14,5.8,14.3,2.4,5.2,3.4,9.1,1.5,2.0,1.2,5.3,6.5,1.7,0.6,0.5,1.6,3.4,16.5,0.406,0.468,0.371,0.755,0.543,0.524,F
201,Marquis Teague,0.6,10.9,23.1,1.3,1.0,22.0,17.8,19-24,91,3,3.4,9.8,3.0,8.0,0.4,1.8,1.5,2.2,0.2,3.4,3.6,5.3,0.9,0.5,3.0,3.9,8.6,0.343,0.369,0.222,0.661,0.398,0.363,G
202,Jeff Teague,1.5,8.7,34.1,2.1,0.9,16.6,22.8,24-32,619,524,5.9,13.3,4.7,9.9,1.2,3.4,3.9,4.6,0.5,2.8,3.3,7.9,1.5,0.4,3.1,2.4,17.0,0.443,0.471,0.363,0.854,0.553,0.49,G
205,Jeff Taylor,3.5,8.3,6.9,1.5,0.7,10.1,16.2,23-25,132,50,4.2,10.3,3.0,6.7,1.2,3.6,1.8,2.7,1.1,2.6,3.7,1.5,1.0,0.3,1.3,3.3,11.3,0.409,0.458,0.319,0.665,0.495,0.465,F
208,Jayson Tatum,2.9,19.3,16.0,1.6,1.8,10.4,27.7,19-24,439,439,8.3,18.2,5.8,11.3,2.6,6.9,4.6,5.4,1.0,6.4,7.4,3.5,1.2,0.7,2.4,2.2,23.8,0.458,0.509,0.375,0.847,0.579,0.529,F
209,Jae'Sean Tate,6.8,14.0,15.5,1.8,1.6,13.9,18.1,25-27,179,142,5.9,11.9,4.9,8.6,1.0,3.3,2.1,3.0,2.3,4.6,6.9,3.6,1.3,0.6,2.1,4.6,15.0,0.498,0.573,0.307,0.705,0.567,0.541,F
214,Edmond Sumner,2.5,9.3,11.3,1.9,1.3,13.3,19.3,22-27,161,41,5.7,12.1,4.3,8.0,1.4,4.1,3.2,3.9,0.8,3.1,3.9,2.9,1.5,0.5,2.1,3.9,15.9,0.47,0.535,0.341,0.811,0.576,0.527,G
216,Jared Sullinger,11.5,22.7,12.0,1.4,1.9,10.2,22.0,20-24,269,172,6.5,14.8,5.7,11.9,0.8,2.9,2.2,3.1,3.8,7.3,11.1,2.6,1.0,0.9,1.8,4.3,15.9,0.436,0.476,0.272,0.723,0.493,0.463,F
217,Jalen Suggs,3.5,10.7,21.5,2.4,1.7,17.5,22.9,20-21,101,64,5.4,14.0,3.9,8.4,1.5,5.6,3.0,4.0,1.1,3.5,4.7,5.1,1.8,0.6,3.3,3.7,15.3,0.387,0.465,0.271,0.752,0.487,0.442,G
218,Rodney Stuckey,2.0,10.2,17.7,1.4,0.4,12.6,22.4,26-30,317,66,5.8,13.7,5.0,11.2,0.8,2.5,3.8,4.7,0.6,3.3,3.9,3.9,1.0,0.2,2.3,2.3,16.2,0.421,0.446,0.312,0.809,0.511,0.45,G
219,Max Strus,2.1,11.3,9.9,0.9,0.7,7.7,17.8,23-26,189,49,5.4,12.7,1.9,3.2,3.5,9.5,1.1,1.4,0.7,3.5,4.1,2.4,0.7,0.2,1.1,2.7,15.5,0.427,0.595,0.371,0.82,0.583,0.566,G
220,Amar'e Stoudemire,9.5,18.8,5.1,1.0,2.7,12.9,22.9,30-33,205,72,7.5,13.3,7.5,13.3,0.0,0.0,3.8,5.1,3.0,5.8,8.8,1.0,0.7,1.2,2.3,4.3,18.8,0.562,0.563,0.0,0.749,0.603,0.562,F-C
225,Greg Stiemsma,7.0,18.6,4.5,1.8,5.1,19.5,11.1,27-29,148,39,3.2,6.4,3.2,6.4,0.0,0.0,1.2,1.7,2.2,5.7,7.9,1.1,1.3,2.3,1.7,5.8,7.6,0.498,0.499,0.0,0.705,0.528,0.498,C
226,Isaiah Stewart,11.3,23.6,6.8,0.8,3.7,12.9,15.7,19-21,189,132,5.2,10.3,4.4,7.9,0.8,2.4,1.9,2.6,3.8,7.5,11.3,1.6,0.6,1.5,1.7,4.1,13.0,0.501,0.554,0.328,0.721,0.568,0.539,F-C
228,Lamar Stevens,5.2,15.1,5.6,1.4,1.7,10.0,15.4,23-25,165,38,4.7,10.2,4.0,7.6,0.7,2.5,1.8,2.5,1.6,4.8,6.4,1.4,1.0,0.7,1.2,3.3,12.0,0.467,0.529,0.281,0.71,0.532,0.502,F
230,Lance Stephenson,3.1,16.7,20.4,1.4,0.5,16.2,19.5,22-31,500,199,5.4,12.1,4.3,8.7,1.1,3.4,1.7,2.5,1.0,5.5,6.5,4.6,1.0,0.2,2.5,3.1,13.6,0.448,0.498,0.32,0.697,0.518,0.493,G-F
232,Nik Stauskas,1.3,10.1,11.6,1.0,0.9,13.5,16.3,21-28,343,63,4.1,10.6,2.0,4.6,2.1,6.1,1.9,2.3,0.4,3.3,3.7,2.8,0.7,0.4,1.8,2.3,12.3,0.389,0.435,0.354,0.812,0.527,0.49,G
236,Tiago Splitter,9.8,19.0,10.2,1.5,2.2,13.6,17.9,28-32,236,145,5.5,10.2,5.5,10.1,0.0,0.1,3.4,4.6,3.0,6.3,9.2,2.4,1.1,1.1,1.9,3.3,14.5,0.544,0.547,0.154,0.733,0.593,0.544,F-C
237,Omari Spellman,9.1,17.2,8.0,1.6,2.6,12.4,16.9,21-22,95,14,4.8,11.5,2.9,6.4,1.9,5.1,2.2,2.9,3.2,5.6,8.8,2.0,1.3,1.0,1.8,2.8,13.7,0.417,0.458,0.366,0.766,0.536,0.498,F
238,Marreese Speights,9.7,21.0,8.3,0.8,2.7,10.7,26.5,25-30,440,20,7.7,17.3,6.4,13.7,1.3,3.6,3.7,4.5,3.1,6.9,10.0,1.8,0.6,1.2,2.3,5.5,20.5,0.447,0.469,0.363,0.818,0.531,0.485,C-F
242,Tony Snell,1.5,10.0,7.3,1.0,0.9,9.2,12.1,22-30,601,310,3.7,8.5,1.7,3.4,2.0,5.1,0.8,0.9,0.5,3.3,3.8,1.8,0.7,0.4,0.9,2.3,10.1,0.431,0.486,0.394,0.846,0.567,0.549,G-F
247,Josh Smith,5.6,18.9,18.4,1.9,3.7,14.5,25.1,27-32,294,194,6.7,15.7,5.7,12.2,1.0,3.5,2.0,3.9,1.8,6.0,7.9,3.9,1.3,1.7,3.0,3.0,16.5,0.428,0.468,0.292,0.519,0.474,0.461,F
248,Jason Smith,6.6,16.9,8.7,1.0,3.5,12.0,20.0,26-32,367,66,6.0,12.9,5.6,11.7,0.4,1.1,2.2,2.7,2.1,5.3,7.4,1.9,0.7,1.5,1.9,4.8,14.6,0.468,0.479,0.348,0.813,0.52,0.483,F-C
249,Jalen Smith,11.1,23.4,5.8,0.8,3.9,10.6,20.4,20-22,146,40,6.7,13.9,5.2,8.8,1.5,5.0,2.9,3.8,3.6,7.6,11.3,1.4,0.6,1.6,1.8,4.0,17.8,0.485,0.592,0.297,0.76,0.573,0.539,F
251,J.R. Smith,1.9,11.5,12.0,1.7,0.7,9.2,19.6,27-34,439,265,5.4,13.2,2.8,6.3,2.6,6.9,1.3,1.8,0.6,3.6,4.1,2.7,1.2,0.3,1.4,2.9,14.7,0.409,0.445,0.377,0.719,0.526,0.508,G-F
252,Ish Smith,1.9,12.0,30.7,1.7,1.1,13.6,20.3,24-34,693,163,5.9,13.7,5.2,11.4,0.8,2.3,1.2,1.8,0.6,3.9,4.5,7.1,1.3,0.5,2.3,2.4,13.8,0.431,0.454,0.324,0.678,0.476,0.459,G
253,Greg Smith,10.4,19.5,3.4,0.9,2.4,12.1,13.2,22-25,141,12,4.8,7.8,4.8,7.8,0.0,0.0,2.2,3.9,3.3,6.3,9.6,0.8,0.6,1.1,1.3,5.6,11.9,0.616,0.618,0.0,0.576,0.623,0.616,C
255,Dennis Smith Jr.,2.6,10.9,28.0,2.3,1.3,16.1,23.4,20-25,270,150,5.9,14.7,4.6,10.3,1.3,4.4,2.2,3.3,0.9,3.5,4.4,6.5,1.7,0.5,3.1,3.1,15.4,0.403,0.448,0.299,0.667,0.476,0.448,G
256,Marcus Smart,3.0,9.8,21.6,2.6,1.1,15.3,17.6,20-28,581,360,4.3,11.0,2.4,5.2,1.9,5.8,2.3,2.9,1.0,3.3,4.2,5.6,1.9,0.4,2.2,3.1,12.7,0.386,0.456,0.323,0.777,0.514,0.471,G
259,Donald Sloan,1.3,12.8,27.2,1.2,0.1,15.3,17.2,25-28,185,55,4.3,10.5,3.2,7.1,1.1,3.4,2.0,2.6,0.4,4.1,4.5,6.4,0.8,0.1,2.1,1.8,11.8,0.411,0.45,0.33,0.752,0.503,0.464,G
263,Kyle Singler,4.4,10.3,5.2,1.3,1.1,11.2,14.0,24-29,356,172,3.9,9.3,2.5,5.5,1.4,3.8,1.6,2.0,1.5,3.3,4.7,1.3,0.9,0.5,1.3,3.4,10.7,0.418,0.458,0.362,0.786,0.527,0.493,F
264,Jericho Sims,12.6,20.2,4.6,0.9,3.5,20.6,7.2,23-24,93,21,3.2,4.2,3.2,4.2,0.0,0.0,0.6,1.2,4.2,6.6,10.8,1.2,0.7,1.3,1.2,4.3,7.1,0.758,0.763,0.0,0.533,0.741,0.758,F
265,Henry Sims,10.2,18.9,9.7,1.5,2.0,13.5,19.4,22-25,135,61,5.7,12.1,5.7,11.8,0.1,0.3,3.1,4.1,3.5,6.0,9.5,2.0,1.1,0.9,2.2,4.1,14.6,0.471,0.479,0.174,0.767,0.525,0.473,C
267,Anfernee Simons,1.4,9.0,16.1,0.9,0.5,10.5,22.4,19-23,273,97,6.8,15.6,3.5,7.2,3.3,8.5,2.2,2.5,0.5,2.9,3.4,3.7,0.6,0.2,2.0,2.7,19.0,0.433,0.487,0.387,0.857,0.567,0.538,G
270,Jonathon Simmons,2.6,10.3,13.5,1.5,0.9,14.5,19.8,26-29,258,69,5.3,12.1,4.4,8.9,1.0,3.1,2.9,3.8,0.8,3.4,4.2,3.3,1.1,0.4,2.3,3.5,14.6,0.443,0.487,0.317,0.756,0.53,0.484,G-F
271,Ben Simmons,6.0,19.5,34.1,2.4,1.8,20.2,20.7,21-26,317,308,6.6,11.8,6.6,11.7,0.0,0.1,2.9,4.9,1.9,6.6,8.6,8.2,1.8,0.8,3.5,3.2,16.1,0.56,0.565,0.139,0.591,0.578,0.561,G-F
275,Pascal Siakam,5.1,18.5,18.2,1.5,1.9,11.1,23.7,22-28,471,377,7.6,15.5,6.4,11.9,1.2,3.7,3.6,4.7,1.7,6.0,7.7,4.1,1.1,0.8,2.2,3.3,20.0,0.487,0.537,0.327,0.774,0.567,0.526,F
276,Alexey Shved,2.8,9.6,23.2,1.7,1.2,15.0,22.0,24-26,182,25,4.9,13.3,3.1,7.5,1.8,5.8,3.3,4.3,0.9,3.0,3.9,5.1,1.2,0.5,2.7,2.2,14.8,0.369,0.417,0.306,0.762,0.489,0.436,G
277,Iman Shumpert,3.3,12.4,10.2,2.2,1.0,13.1,14.6,22-30,402,211,3.7,9.6,2.1,4.8,1.6,4.8,1.1,1.4,1.0,3.9,5.0,2.5,1.5,0.4,1.5,3.3,10.2,0.389,0.437,0.341,0.754,0.498,0.474,G
282,Landry Shamet,1.0,7.2,10.0,1.0,0.6,8.3,15.9,21-25,302,92,4.6,11.4,1.5,3.3,3.2,8.1,1.7,2.0,0.3,2.5,2.8,2.7,0.7,0.2,1.1,2.8,14.1,0.406,0.448,0.388,0.842,0.573,0.544,G
284,Collin Sexton,3.0,7.4,17.3,1.2,0.3,12.2,26.7,20-24,266,223,8.1,17.4,6.4,13.1,1.6,4.2,4.1,4.9,1.0,2.3,3.3,3.7,0.9,0.1,2.7,2.7,21.8,0.464,0.491,0.38,0.826,0.558,0.51,G
285,Ramon Sessions,1.8,10.1,24.4,1.4,0.3,13.6,22.1,26-31,368,38,5.2,12.5,4.5,10.3,0.7,2.2,5.0,6.3,0.6,3.2,3.8,5.4,1.0,0.1,2.4,1.9,16.2,0.419,0.443,0.31,0.795,0.529,0.447,G
286,Kevin Séraphin,7.8,17.1,7.5,0.6,3.5,15.2,22.0,23-27,308,12,6.7,13.9,6.7,13.9,0.0,0.0,1.4,1.9,2.5,5.5,8.0,1.6,0.4,1.6,2.7,5.0,14.9,0.484,0.485,0.0,0.728,0.503,0.484,F
287,Alperen Şengün,11.3,20.9,20.2,1.7,3.5,17.9,21.6,19-20,147,85,6.8,13.0,6.3,11.3,0.5,1.7,3.6,5.1,3.7,6.8,10.5,4.7,1.3,1.4,3.3,4.6,17.7,0.522,0.559,0.276,0.713,0.58,0.54,C-F
288,Wayne Selden,2.5,9.4,12.3,1.2,0.7,14.0,19.3,22-27,127,27,5.1,12.3,3.4,7.4,1.7,4.9,1.9,2.7,0.8,3.0,3.8,2.9,0.9,0.3,2.2,3.2,13.8,0.415,0.463,0.344,0.718,0.513,0.484,G-F
290,Thabo Sefolosha,3.8,15.3,8.6,2.7,1.4,12.4,12.7,28-35,460,210,3.8,8.3,2.6,4.9,1.2,3.4,1.2,1.6,1.2,5.1,6.3,2.1,1.9,0.6,1.3,2.5,10.1,0.459,0.526,0.364,0.733,0.558,0.534,G-F
294,Mike Scott,4.7,16.1,8.3,1.0,0.7,9.5,18.1,24-32,555,34,5.6,12.4,3.7,7.1,1.9,5.4,1.5,1.9,1.5,5.3,6.8,2.0,0.7,0.3,1.4,3.2,14.6,0.453,0.521,0.362,0.757,0.552,0.531,F
295,Luis Scola,8.0,21.8,11.1,1.4,1.1,11.9,22.1,32-36,357,162,6.5,14.1,6.1,12.8,0.4,1.2,2.6,3.5,2.5,7.1,9.6,2.3,1.0,0.5,2.1,4.2,16.1,0.466,0.476,0.358,0.735,0.517,0.482,F
296,Dennis Schröder,1.7,10.0,28.0,1.5,0.4,14.9,25.3,20-29,687,317,6.9,16.0,5.4,11.4,1.6,4.6,3.4,4.0,0.6,3.3,3.9,6.3,1.1,0.2,3.1,2.7,18.8,0.434,0.473,0.337,0.836,0.529,0.482,G
297,Admiral Schofield,4.0,12.9,7.7,0.7,1.0,10.7,13.6,22-25,108,3,4.0,9.6,2.1,3.6,1.9,6.0,1.2,1.5,1.3,4.2,5.5,2.0,0.6,0.4,1.2,4.7,11.2,0.42,0.581,0.322,0.811,0.546,0.52,G-F
299,Tomáš Satoranský,4.0,10.5,25.3,1.7,0.6,17.8,14.4,25-30,388,182,4.2,8.9,3.2,6.1,1.0,2.8,1.9,2.3,1.3,3.4,4.7,6.6,1.3,0.3,2.1,2.7,11.2,0.468,0.52,0.354,0.82,0.564,0.523,G
301,Dario Šarić,6.6,19.0,11.8,1.2,0.7,13.4,20.5,22-28,413,217,6.0,13.5,3.9,7.8,2.1,5.7,2.7,3.2,2.2,6.3,8.4,2.8,0.9,0.3,2.3,3.1,16.7,0.443,0.503,0.36,0.838,0.56,0.518,F-C
302,Larry Sanders,12.2,23.6,6.4,1.6,6.8,12.0,16.9,24-28,126,101,5.4,10.9,5.4,10.8,0.0,0.0,1.6,2.8,4.1,7.5,11.6,1.4,1.1,3.2,1.6,4.8,12.4,0.497,0.499,0.0,0.564,0.512,0.497,C-F
304,JaKarr Sampson,4.7,15.0,7.4,1.3,2.6,13.9,16.6,21-27,236,94,4.9,10.4,4.3,8.0,0.6,2.5,2.1,3.1,1.6,4.8,6.4,1.6,0.9,1.1,1.9,4.6,12.5,0.471,0.54,0.248,0.67,0.531,0.5,G-F
307,John Salmons,1.5,9.2,13.5,1.3,0.9,11.2,13.5,33-35,175,80,3.5,9.0,2.0,5.2,1.4,3.8,1.1,1.4,0.5,2.8,3.3,3.3,0.9,0.4,1.2,2.5,9.4,0.382,0.389,0.373,0.765,0.487,0.461,G
308,Robert Sacre,8.2,15.3,7.0,1.0,3.1,11.0,14.9,23-26,189,35,4.2,9.6,4.2,9.5,0.0,0.0,2.0,3.0,2.8,5.0,7.8,1.7,0.7,1.4,1.3,4.4,10.3,0.436,0.437,0.0,0.671,0.475,0.436,C
309,Domantas Sabonis,9.1,27.4,21.3,1.2,1.3,16.1,21.9,20-26,494,354,7.2,13.1,6.7,11.5,0.5,1.6,3.6,4.9,2.9,8.9,11.9,5.1,0.9,0.6,2.9,3.8,18.5,0.548,0.579,0.326,0.731,0.605,0.568,C-F
311,D'Angelo Russell,1.8,10.8,31.4,1.8,0.8,14.6,27.3,19-26,495,431,7.7,18.1,4.7,9.8,3.0,8.3,2.9,3.7,0.6,3.6,4.2,6.8,1.3,0.4,3.4,2.3,21.4,0.426,0.48,0.362,0.788,0.541,0.509,G
312,Brandon Rush,1.9,12.4,6.7,0.9,1.9,13.1,11.4,27-31,192,58,2.9,7.7,1.3,3.3,1.6,4.5,0.5,0.8,0.6,4.1,4.7,1.8,0.7,0.9,1.2,2.1,8.0,0.38,0.395,0.369,0.631,0.497,0.487,G-F
313,Damjan Rudež,1.2,5.0,7.8,1.0,0.3,13.9,13.6,28-30,146,2,3.8,9.1,1.5,2.8,2.3,6.2,0.5,0.7,0.4,1.6,2.0,1.8,0.7,0.2,1.5,3.1,10.5,0.424,0.535,0.373,0.774,0.563,0.552,F
314,Ricky Rubio,2.4,13.2,36.3,2.9,0.4,19.1,19.5,22-32,657,572,4.3,11.2,3.2,7.7,1.1,3.5,3.5,4.1,0.8,4.2,5.0,9.0,2.1,0.2,3.1,3.1,13.3,0.39,0.42,0.323,0.845,0.513,0.44,G
315,Terry Rozier,2.7,13.1,19.3,1.7,0.8,9.4,22.4,21-28,540,298,6.6,15.7,3.8,8.3,2.7,7.5,2.2,2.7,0.9,4.3,5.2,4.5,1.3,0.3,1.8,2.0,18.1,0.417,0.461,0.367,0.819,0.534,0.504,G
317,Terrence Ross,1.6,11.3,8.2,1.6,1.1,8.6,20.1,21-31,733,187,5.9,14.1,3.2,6.7,2.7,7.4,1.7,2.0,0.5,3.6,4.1,1.9,1.2,0.5,1.4,2.5,16.1,0.418,0.48,0.362,0.837,0.538,0.513,F-G
318,Derrick Rose,2.7,8.8,27.3,1.2,0.9,12.5,27.6,25-34,420,233,8.2,18.2,7.0,14.6,1.1,3.6,3.1,3.7,0.9,2.9,3.8,5.6,0.9,0.4,2.8,1.4,20.6,0.449,0.481,0.318,0.85,0.52,0.48,G
319,Rajon Rondo,3.1,15.1,41.1,2.3,0.4,23.2,18.7,26-35,520,349,4.8,11.2,3.9,8.3,1.0,2.8,0.9,1.5,1.0,5.0,6.0,10.2,1.7,0.2,3.6,2.6,11.6,0.434,0.465,0.344,0.596,0.489,0.478,G
323,Isaiah Roby,6.6,18.0,11.5,1.8,2.5,15.5,18.1,21-24,151,64,5.5,11.4,4.4,8.1,1.2,3.4,2.3,3.5,2.3,6.1,8.4,2.7,1.3,1.0,2.4,4.1,14.6,0.485,0.541,0.351,0.675,0.563,0.536,F
324,Jeremiah Robinson-Earl,7.9,17.2,6.8,1.3,1.3,8.6,15.1,21-22,92,56,4.6,10.8,2.8,5.6,1.8,5.2,1.4,1.8,2.8,5.8,8.6,1.7,1.0,0.5,1.1,2.8,12.5,0.427,0.503,0.344,0.781,0.536,0.51,F
325,Thomas Robinson,14.0,25.7,7.2,1.9,2.0,16.8,19.8,21-25,313,12,5.5,11.7,5.5,11.6,0.0,0.1,2.1,4.2,4.6,8.3,12.9,1.6,1.4,1.0,2.7,4.7,13.1,0.47,0.472,0.0,0.505,0.484,0.47,F
327,Nate Robinson,2.1,7.9,28.0,2.1,0.4,12.1,24.1,28-31,170,26,6.6,15.7,4.3,9.5,2.3,6.2,2.4,3.0,0.7,2.5,3.2,5.8,1.4,0.2,2.3,3.8,17.9,0.417,0.446,0.374,0.79,0.523,0.491,G
328,Mitchell Robinson,15.6,19.1,3.8,1.8,7.4,10.4,11.7,20-24,289,175,5.2,7.3,5.2,7.3,0.0,0.0,1.7,3.3,5.3,6.3,11.6,0.9,1.3,2.9,1.0,4.3,12.1,0.712,0.712,0.0,0.529,0.694,0.712,C
330,Jerome Robinson,1.3,12.5,10.9,1.5,1.4,12.8,16.5,21-23,113,12,4.2,11.6,2.4,5.9,1.8,5.7,1.4,1.9,0.4,4.2,4.7,2.9,1.1,0.6,1.8,4.2,11.5,0.363,0.414,0.31,0.721,0.465,0.439,G
331,Glenn Robinson III,4.2,12.1,6.7,1.4,0.9,8.6,14.8,21-27,304,105,4.7,10.2,3.4,6.7,1.3,3.5,1.6,2.0,1.4,3.9,5.3,1.6,1.0,0.4,1.1,1.9,12.3,0.457,0.501,0.373,0.779,0.55,0.521,G-F
332,Duncan Robinson,0.8,11.0,8.3,0.9,0.7,8.8,16.8,24-28,281,210,5.1,11.9,1.0,1.7,4.1,10.2,1.0,1.2,0.3,3.5,3.8,2.0,0.7,0.3,1.2,3.3,15.3,0.429,0.609,0.399,0.866,0.616,0.599,G-F
334,Brian Roberts,1.3,8.1,22.6,1.3,0.3,12.0,19.9,27-31,314,59,5.2,12.7,3.7,8.4,1.5,4.2,2.3,2.6,0.4,2.5,2.9,5.0,0.9,0.1,1.9,2.5,14.2,0.411,0.439,0.356,0.908,0.516,0.471,G
335,Andre Roberson,5.9,13.8,5.3,2.0,2.4,12.2,9.5,22-29,307,269,3.0,6.4,2.4,4.1,0.6,2.3,0.7,1.4,1.9,4.6,6.5,1.4,1.4,1.1,1.0,3.5,7.3,0.473,0.6,0.253,0.468,0.52,0.519,G-F
336,Austin Rivers,1.5,8.0,13.2,1.5,0.6,11.2,17.2,20-30,707,184,4.7,11.3,3.0,6.5,1.7,4.8,1.7,2.5,0.5,2.6,3.1,3.2,1.1,0.2,1.6,3.2,12.8,0.419,0.47,0.349,0.653,0.516,0.493,G
338,Luke Ridnour,1.9,8.1,21.9,1.6,0.5,14.3,17.2,31-33,190,96,4.8,11.0,3.7,7.8,1.0,3.2,1.5,1.8,0.6,2.5,3.1,4.9,1.1,0.2,2.0,2.9,12.0,0.432,0.478,0.321,0.825,0.509,0.479,G
341,Josh Richardson,2.7,9.0,13.6,1.8,1.7,11.2,18.4,22-29,503,316,5.3,12.5,3.4,7.1,2.0,5.4,2.0,2.4,0.9,3.0,3.8,3.3,1.3,0.7,1.7,2.8,14.6,0.428,0.477,0.365,0.84,0.542,0.508,G
343,Nick Richards,11.7,21.6,4.6,0.6,4.9,14.3,15.4,23-25,133,14,5.7,9.0,5.7,9.0,0.0,0.0,3.8,5.2,4.0,7.2,11.2,1.2,0.4,2.0,1.9,4.6,15.2,0.633,0.634,0.5,0.734,0.675,0.635,F-C
347,Naz Reid,7.2,20.3,9.3,1.5,4.6,11.2,23.0,20-23,245,43,7.9,15.7,6.0,10.2,1.9,5.5,2.9,4.1,2.4,6.6,9.0,2.1,1.1,1.9,2.2,5.1,20.6,0.505,0.59,0.344,0.711,0.59,0.564,F
348,Willie Reed,12.4,21.4,3.8,0.9,4.2,9.5,16.2,25-27,152,12,6.1,10.3,6.1,10.2,0.0,0.1,2.1,3.8,4.1,6.9,11.0,0.9,0.6,1.9,1.3,4.6,14.3,0.592,0.595,0.333,0.561,0.6,0.594,F-C
349,Paul Reed,17.7,21.1,6.8,3.6,5.8,13.9,17.4,21-23,133,4,6.4,11.2,6.3,10.6,0.1,0.6,1.4,2.1,5.4,6.7,12.1,1.6,2.6,2.3,2.0,6.1,14.3,0.574,0.598,0.15,0.658,0.591,0.578,F
